DateTime,AddedIPs,RemovedIPs
1496976275,167,822
1496987089,30,0
1497001444,80,0
1497023138,141,0
1497044676,26,0
1497066269,240,439
1497071679,122,0
1497093296,92,0
1497114855,53,0
1497136692,139,0
1497158059,180,551
1497177983,75,0
1497188893,126,0
1497210246,195,0
1497231849,82,501
1497248076,78,0
1497260685,45,0
1497282279,135,0
1497303859,256,0
1497325507,128,791
1497347101,17,0
1497368946,842,0
1497390279,386,0
1497411894,194,541
1497433468,88,0
1497455277,118,0
1497476777,171,0
1497498264,154,691
1497520073,84,0
1497541478,379,0
1497563275,204,0
1497584677,145,561
1497606274,64,0
1497627923,90,0
1497649442,70,0
1497662083,183,442
1497683684,101,0
1497705261,120,0
1497726993,192,0
1497746652,128,811
1497768243,55,0
1497789864,34,0
1497811450,35,0
1497833060,143,652
1497854692,184,0
1497872690,65,0
1497894271,72,0
1497916100,236,0
1497937508,146,700
1497959090,108,0
1497980928,149,2
1498002282,189,103
1498023875,46,623
1498045640,38,0
1498067544,182,0
1498088703,172,15
1498110272,212,530
1498130106,41,0
1498151665,75,0
1498173310,869,15
1498194865,94,572
1498216483,42,0
1498238068,489,0
1498259685,221,0
1498281543,182,553
1498302902,254,0
1498324461,200,0
1498344801,146,15
1498360482,225,931
1498382065,196,0
1498398256,132,0
1498419856,179,0
1498441683,117,769
1498463298,125,0
1498482913,173,0
1498502670,159,0
1498578609,5,0
1498610712,0,0
1505841403,6712,28991
1505862951,757,0
1505884589,93,0
1505904489,15,0
1505925939,2,0
1505946771,6,0
1505967397,2,0
1505987638,1,0
1506008756,6,0
1506030376,3,0
1506052136,2,0
1506073715,2,0
1506095129,80,0
1506116770,1096,0
1506159940,2,0
1506174298,5,0
1506195912,4,0
1506217520,5,0
1506239196,2,0
1506260702,3,0
1506282267,1,0
1506303905,3,0
1506347096,7,0
1506368663,8,0
1506390403,9154,0
1506411968,1251,0
1506433566,1,0
1506453357,2350,0
1506475005,1157,0
1506496583,1276,0
1506518258,1274,0
1506539724,1067,0
1506561344,563,0
1506582953,1075,0
1506604563,1110,0
1506624328,3,0
1506644142,590,0
1506665776,267,0
1506687582,1619,0
1506707145,1007,0
1506728741,588,0
1506748559,286,0
1506770195,956,0
1506791950,672,0
1506813315,352,0
1506834936,440,0
1506856568,676,0
1506878162,721,0
1506899743,37,0
1506921372,270,0
1506942955,445,0
1506964573,663,0
1506986237,720,0
1507007747,249,0
1507027706,545,0
1507049212,521,0
1507070175,558,0
1507090801,377,0
1507110357,550,0
1507132040,630,0
1507153581,360,0
1507175216,152,0
1507196812,252,0
1507216570,584,0
1507236421,604,0
1507258219,393,0
1507279656,513,0
1507301217,419,0
1507321100,422,0
1507342586,356,0
1507364234,605,0
1507385808,350,0
1507407397,365,0
1507428968,329,0
1507450582,98,0
1507472208,501,0
1507493993,325,0
1507509972,383,0
1507529812,423,0
1507551444,520,0
1507573028,383,0
1507594629,512,0
1507616201,625,0
1507638027,549,0
1507659481,608,199
1507681328,151,0
1507702653,311,0
1507724199,730,0
1507747587,769,8
1507769187,615,0
1507790863,499,0
1507812395,1242,0
1507834007,764,2073
1507855579,543,0
1507877318,736,0
1507898798,968,0
1507918617,666,23
1507935768,457,0
1507956411,99,0
1507978127,854,0
1507999799,889,12
1508017790,641,0
1508039235,428,0
1508060800,562,0
1508082367,503,1788
1508103988,247,0
1508125606,213,0
1508147223,1264,0
1508168843,687,2091
1508190702,665,0
1508212005,716,0
1508233641,483,0
1508255214,342,2185
1508276907,492,0
1508298416,456,0
1508320052,915,0
1508341668,695,2005
1508363303,772,0
1508384841,533,0
1508406482,903,0
1508428116,679,2379
1508449962,545,0
1508471200,95,0
1508492904,1524,0
1508514494,554,2249
1508536120,532,0
1508557664,558,0
1508579279,758,0
1508601031,94,1874
1508622430,728,0
1508636872,466,0
1508658440,576,0
1508680039,346,0
1508701645,274,1297
1508723215,363,0
1508744850,654,0
1508764684,687,0
1508786318,404,1947
1508807846,217,0
1508824054,469,0
1508845678,949,0
1508867246,481,1699
1508889077,369,0
1508910511,506,0
1508932075,692,0
1508953648,567,1665
1508975264,510,0
1508996853,439,0
1509018514,702,0
1509040037,342,1400
1509061716,145,0
1509072476,139,0
1509094001,524,0
1509115731,446,0
1509137307,306,1497
1509158930,91,0
1509180662,657,0
1509202007,654,0
1509223588,897,1612
1509245206,654,0
1509266787,155,0
1509288418,1502,0
1509310018,782,1665
1509331617,789,0
1509353236,1195,0
1509373032,673,0
1509393360,706,1714
1509414447,531,0
1509436021,1011,0
1509449615,1,0
1509470268,487,2218
1509490085,450,0
1509504403,109,0
1509526024,1141,0
1509545833,570,0
1509567552,222,2364
1509589043,378,0
1509605236,427,0
1509625305,1297,0
1509646641,1015,2646
1509668360,1273,0
1509689804,2009,0
1509711522,1811,0
1509733327,1579,2235
1509753948,1450,0
1509774440,4,0
1509796230,2283,0
1509817621,1208,1989
1509839189,1092,0
1509860827,90,0
1509882640,1433,0
1509904101,692,2475
1509925660,599,0
1509947321,301,0
1509969116,920,0
1509990745,489,2444
1510012145,582,0
1510033695,590,0
1510055570,680,0
1510076944,789,2851
1510098405,347,0
1510120220,154,0
1510142007,553,0
1510163393,551,2415
1510181352,567,0
1510202950,18,0
1510224642,728,0
1510246114,645,3124
1510267800,401,0
1510289408,207,0
1510311167,587,0
1510330728,395,2600
1510350742,176,0
1510372090,250,0
1510393669,433,0
1510411666,395,0
1510433254,441,2387
1510454897,334,0
1510474767,526,0
1510496314,356,0
1510517869,286,2427
1510537900,73,0
1510559294,720,0
1510580855,198,0
1510602695,219,2233
1510624046,316,0
1510643876,236,0
1510665524,726,0
1510687122,351,2516
1510708651,362,0
1510730263,762,0
1510751924,887,0
1510773511,556,2397
1510795063,637,0
1510815108,864,0
1510836481,644,0
1510858062,596,1776
1510879693,424,0
1510899511,8,0
1510921301,969,0
1510942647,520,2443
1510962319,570,0
1510984063,539,0
1511004870,1112,0
1511025461,772,2558
1511045247,784,0
1511066866,1079,0
1511088464,941,0
1511108263,694,3222
1511128048,210,0
1511149738,747,0
1511171248,962,0
1511193139,970,0
1511214508,727,2473
1511236055,644,0
1511257652,749,0
1511279237,591,0
1511300879,442,2659
1511322488,76,0
1511344039,920,0
1511365644,564,0
1511387274,524,3403
1511408874,548,0
1511430497,762,0
1511452048,53,0
1511473863,723,2977
1511495226,658,0
1511516822,808,0
1511538450,820,0
1511560055,675,3172
1511581679,912,0
1511603267,1070,0
1511624850,711,0
1511646460,805,3350
1511666288,103,0
1511686101,1335,0
1511707643,673,0
1511729254,353,3280
1511750854,236,0
1511768899,669,0
1511790499,830,0
1511812235,666,2627
1511833734,670,0
1511855334,707,0
1511876906,647,0
1511896779,531,2042
1511918317,701,0
1511939926,903,0
1511961539,722,0
1511983179,574,2334
1512004716,7,0
1512026365,70,0
1512046086,1172,0
1512065956,743,2115
1512086596,611,0
1512107223,746,0
1512129101,1034,0
1512150478,742,2029
1512172222,861,0
1512193631,857,0
1512215726,1049,0
1512236843,985,1552
1512254881,1,0
1512274675,935,0
1512296274,1124,0
1512317853,1051,1848
1512339426,1088,0
1512361117,210,0
1512382642,1833,0
1512404324,1084,2296
1512425954,1107,0
1512447445,1125,0
1512469082,1456,0
1512490922,1035,2014
1512512262,860,0
1512533849,279,0
1512553636,1178,0
1512575277,1396,0
1512600470,984,2345
1512622124,903,0
1512643700,1186,0
1512665289,929,2402
1512686939,901,0
1512708590,97,0
1512728424,1258,0
1512749936,941,2496
1512769746,748,0
1512791333,675,0
1512812907,859,0
1512834476,410,0
1512856095,179,2764
1512875878,662,0
1512895673,758,0
1512915471,619,0
1512937060,591,2908
1512958675,561,0
1512980293,1054,0
1513001915,472,0
1513023485,463,2240
1513043293,55,0
1513064870,352,0
1513086740,605,0
1513100873,533,2522
1513122703,423,0
1513144195,502,0
1513162078,607,0
1513181937,496,2351
1513212742,478,0
1513234415,609,0
1513252365,476,0
1513271929,534,2473
1513291807,40,0
1513304335,411,0
1513324166,815,0
1513345703,431,0
1513367282,411,2366
1513387090,15,1
1513397889,37,0
1513419519,1054,0
1513439323,487,0
1513459077,402,2913
1513480682,290,0
1513502409,481,0
1513520315,241,0
1513541911,440,2719
1513563479,432,0
1513583302,562,0
1513603094,493,0
1513624695,458,2389
1513655305,393,0
1513677103,734,0
1513698569,340,0
1513718317,358,2159
1513738102,43,0
1513759815,843,0
1513781721,450,0
1513802909,339,2576
1513835359,383,0
1513856151,630,0
1513876756,450,2936
1513896643,373,0
1513918132,432,0
1513939728,290,0
1513961328,208,2837
1513981175,379,0
1514002851,301,0
1514024267,759,0
1514045874,357,2232
1514067445,371,0
1514080099,52,0
1514101662,150,0
1514123244,750,0
1514139450,417,3123
1514155681,336,0
1514175527,309,0
1514197068,726,0
1514218656,327,0
1514231221,1,3998
1514251081,379,0
1514272727,526,0
1514294238,612,0
1514315889,384,3728
1514337513,361,0
1514359085,727,0
1514380719,399,0
1514396819,5,3631
1514414858,446,0
1514427442,74,0
1514449058,1064,0
1514470634,126,0
1514490423,230,3785
1514512041,404,0
1514533876,394,0
1514555219,829,0
1514573469,365,3406
1514595044,417,0
1514616437,555,0
1514638049,825,0
1514657840,377,3192
1514679621,340,0
1514693910,7,0
1514713631,838,0
