DateTime,AddedIPs,RemovedIPs
1512825380,11,0
1512832562,11,22
1512843315,18,16
1512846977,3,11
1512850559,3,19
1512861341,35,21
1512864982,33,14
1512868504,9,7
1512872525,12,15
1512875746,8,27
1512879364,5,18
1512886547,13,24
1512890163,8,9
1512900978,40,16
1512908163,28,11
1512911746,2,0
1512922552,10,61
1512926184,18,3
1512929748,7,5
1512933331,15,35
1512936940,25,3
1512940604,1,14
1512951342,40,30
1512954963,14,10
1512958547,10,9
1512962132,6,40
1512965727,13,12
1512969336,32,14
1512972942,3,7
1512976525,16,17
1512980138,15,12
1512983724,30,10
1512987371,6,2
1512990943,3,3
1512994568,16,6
1512998138,7,17
1513001774,15,36
1513005335,28,1
1513008897,17,14
1513012539,13,8
1513016133,4,13
1513019748,3,6
1513023312,1,33
1513026959,7,23
1513030529,16,14
1513034146,22,8
1513037791,20,9
1513041304,9,10
1513044931,7,15
1513048541,12,30
1513052138,6,26
1513055725,11,10
1513059315,53,6
1513062932,10,6
1513066510,15,1
1513070105,13,2
1513073729,4,12
1513077333,6,7
1513080916,9,4
1513084528,0,16
1513088082,13,13
1513091752,5,4
1513095334,12,26
1513098920,9,6
1513102557,14,24
1513106120,12,13
1513109749,11,10
1513113300,13,7
1513116915,13,10
1513120543,6,27
1513124184,35,5
1513127721,20,10
1513131326,5,11
1513134884,21,26
1513138534,13,8
1513142135,7,14
1513145750,12,5
1513149316,9,25
1513152909,39,11
1513156516,21,5
1513160134,5,6
1513163710,8,6
1513167335,6,11
1513170915,8,6
1513174553,3,10
1513178130,7,16
1513181730,4,10
1513185317,7,23
1513188959,10,10
1513192505,13,8
1513196138,5,13
1513199719,9,9
1513203340,19,6
1513206921,8,11
1513210569,20,1
1513214124,8,6
1513217736,4,34
1513221287,15,36
1513224939,11,10
1513228533,21,15
1513232117,28,4
1513235719,9,11
1513239317,19,4
1513242929,5,8
1513246516,9,16
1513250141,5,18
1513253716,3,11
1513257343,13,8
1513260931,12,19
1513264564,24,11
1513268117,13,10
1513271746,8,9
1513275314,9,27
1513279066,17,18
1513282601,11,18
1513286148,42,4
1513289755,9,4
1513293320,10,6
1513296957,27,4
1513300510,0,26
1513304138,6,27
1513307725,14,33
1513311343,7,15
1513314917,27,7
1513318537,7,10
1513322119,10,6
1513325732,26,9
1513329305,10,23
1513332932,24,13
1513336521,24,4
1513340111,10,9
1513343723,6,2
1513347329,24,5
1513350949,3,10
1513354522,5,8
1513358115,3,10
1513361693,10,52
1513365329,20,8
1513368920,7,13
1513372504,8,5
1513376130,2,9
1513379709,19,34
1513383395,39,6
1513386891,47,7
1513390519,11,4
1513394129,7,23
1513401429,11,40
1513405009,7,14
1513408530,18,11
1513412160,25,12
1513415733,17,5
1513419400,13,3
1513422955,6,4
1513426561,7,15
1513430103,11,7
1513433693,2,3
1513437310,4,0
1513440884,3,15
1513444485,12,23
1513448092,11,9
1513451706,22,10
1513455337,7,6
1513458917,6,11
1513462547,7,10
1513466094,12,14
1513469765,34,4
1513473334,11,2
1513476900,6,8
1513480544,7,56
1513484123,8,20
1513487708,40,6
1513491337,6,7
1513494954,19,2
1513498502,7,12
1513502131,3,16
1513505753,18,11
1513509296,7,2
1513512927,9,32
1513516499,31,5
1513520126,9,12
1513523725,8,16
1513527328,14,12
1513530966,7,14
1513534522,13,35
1513538142,22,15
1513541716,10,23
1513545319,39,8
1513548939,13,6
1513552568,6,9
1513556196,22,1
