DateTime,AddedIPs,RemovedIPs
1507273771,1,0
1507284543,0,1
1507291787,1,1
1507298982,1,0
1507338578,0,1
1507345774,0,1
1507370969,0,1
1507374587,1,1
1507378168,1,0
1507392590,0,1
1507399769,1,0
1507468212,0,1
1507471789,1,0
1507511398,0,1
1507515010,0,1
1507518601,1,1
1507522216,1,0
1507590602,0,1
1507594226,0,1
1507597819,1,0
1507604987,1,1
1507612193,1,0
1507626590,0,2
1507630180,1,0
1507633787,1,1
1507637385,1,0
1507655376,0,1
1507658970,1,0
1507691394,0,1
1507720199,0,1
1507723789,1,0
1507738194,0,1
1507745409,1,0
1507752595,0,1
1507756211,1,0
1507770585,0,1
1507774191,1,0
1507849796,0,1
1507853445,1,0
1507928994,0,1
1507932591,1,0
1507964998,0,1
1507968587,1,0
1507997372,0,1
1508000985,1,0
1508026218,1,0
1508044175,0,1
1508047769,1,0
1508083763,0,1
1508087383,1,0
1508137774,0,1
1508144990,1,0
1508159357,0,1
1508162967,1,0
1508184591,0,1
1508188162,1,0
1508199011,0,1
1508202603,1,0
1508209795,1,0
1508252962,0,1
1508263758,1,1
1508267385,1,0
1508317812,0,2
1508321404,1,0
1508324964,1,0
1508335805,0,1
1508339400,1,0
1508343007,1,0
1508353780,0,2
1508357398,2,0
1508386197,0,1
1508393384,0,1
1508396983,1,0
1508418606,0,1
1508425803,1,0
1508451001,0,1
1508454594,1,0
1508468991,0,1
1508533772,0,1
1508537398,1,0
1508540990,0,1
1508544654,0,1
1508548212,2,0
1508562601,0,1
1508573413,1,0
1508634577,1,0
1508641787,0,1
1508681390,0,1
1508684996,1,0
1508702976,0,1
1508710192,1,0
1508720955,1,1
1508728172,1,1
1508735357,1,0
1508836181,0,2
1508839773,1,0
1508843382,1,0
1508872171,0,1
1508882961,1,1
1508890218,1,0
1508911789,0,1
1508915383,1,0
1508980177,1,0
1508987377,0,1
1508990978,1,0
1509001779,0,1
1509005360,1,0
1509012582,0,1
1509016167,1,0
1509041368,0,1
1509048589,1,0
1509063001,1,0
1509073783,0,1
1509091778,0,1
1509102576,1,0
1509113378,0,1
1509116959,0,1
1509120583,2,0
1509160172,0,1
1509167362,0,1
1509170974,0,1
1509174570,1,0
1509178164,1,0
1509192565,0,1
1509203342,1,0
1509224978,0,1
1509228584,1,0
1509268195,1,0
1509279016,0,2
1509286205,1,0
1509293405,1,0
1509300610,0,3
1509307814,1,0
1509311388,1,0
1509336587,1,0
1509347394,0,1
1509358196,1,0
1509365385,0,1
1509368988,1,1
1509376201,0,1
1509379784,1,0
1509415781,0,1
1509422994,0,1
1509426590,1,0
1509448209,1,0
1509458997,0,1
1509469788,0,1
1509480592,2,0
1509484175,0,1
1509495046,1,0
1509505792,0,1
1509534596,0,1
1509541819,1,0
1509703764,0,1
1509732565,1,0
1509746960,0,1
1509750586,1,0
1509757771,1,0
1509764986,0,1
1509782977,1,1
1509790189,1,0
1509829785,0,3
1509833373,1,0
1509836984,2,0
1509851387,0,1
1509858585,1,0
1509901792,0,1
1509905387,1,0
1509937759,0,1
1509952160,0,2
1509955784,1,0
1509966588,1,0
