DateTime,Entries,UniqueIPs
1513689396,27643,27643
1513691301,27700,27700
1513693220,27741,27741
1513695129,27753,27753
1513697050,27817,27817
1513699017,27867,27867
1513700906,27873,27873
1513702824,27886,27886
1513704730,25584,25584
1513706945,23060,23060
1513709084,20634,20634
1513712910,15590,15590
1513719348,15689,15689
1513721372,14469,14469
1513723480,13872,13872
1513728613,14071,14071
1513730452,14109,14109
1513732443,14156,14156
1513734265,14225,14225
1513736288,14299,14299
1513738119,14520,14520
1513740106,14362,14362
1513741961,14046,14046
1513743920,14077,14077
1513745808,14169,14169
1513747772,14218,14218
1513749660,14268,14268
1513751631,14245,14245
1513753481,14303,14303
1513755678,14301,14301
1513757560,14319,14319
1513759757,14356,14356
1513762063,15347,15347
1513764072,15161,15161
1513766180,15204,15204
1513768111,14997,14997
1513770263,14994,14994
1513772078,15113,15113
1513774050,15147,15147
1513776269,15179,15179
1513778202,15273,15273
1513780137,15325,15325
1513783053,15422,15422
1513784900,15440,15440
1513787827,15442,15442
1513791886,15230,15230
1513799094,14933,14933
1513801237,14975,14975
1513803151,15027,15027
1513805079,15041,15041
1513806976,15083,15083
1513808935,15126,15126
1513810826,15050,15050
1513813089,15026,15026
1513814944,15008,15008
1513817066,15048,15048
1513818985,15060,15060
1513820808,15101,15101
1513822824,15079,15079
1513824672,14921,14921
1513826658,14918,14918
1513828515,14140,14140
1513830504,14088,14088
1513832352,13778,13778
1513834599,13955,13955
1513836523,13928,13928
1513838493,13943,13943
1513840368,13913,13913
1513842258,13916,13916
1513844458,13914,13914
1513846599,13867,13867
1513848520,13106,13106
1513850465,13622,13622
1513852603,13649,13649
1513854528,13926,13926
1513856433,13982,13982
1513858468,13882,13882
1513860291,13864,13864
1513862220,13696,13696
1513864375,13605,13605
1513866273,13526,13526
1513869467,13343,13343
1513871779,13346,13346
1513873715,13427,13427
1513875672,13558,13558
1513877812,13751,13751
1513879720,13848,13848
1513881629,14016,14016
1513883848,14109,14109
1513895529,13534,13534
1513897342,13473,13473
1513904697,13115,13115
1513908758,13122,13122
1513910893,13105,13105
1513912816,13105,13105
1513914695,13127,13127
1513916652,13178,13178
1513918586,13238,13238
1513920495,13203,13203
1513923399,13209,13209
1513925333,13247,13247
1513927250,13249,13249
1513929150,13236,13236
1513931305,13190,13190
1513933256,13242,13242
1513935155,13108,13108
1513937090,12689,12689
1513939154,12617,12617
1513941129,12362,12362
1513943071,12354,12354
1513944874,11829,11829
1513946755,11728,11728
1513948609,11783,11783
1513950531,11757,11757
1513952436,11743,11743
1513954359,11830,11830
1513956267,11883,11883
1513958201,11885,11885
1513960115,11940,11940
1513962034,11966,11966
1513963968,11849,11849
1513965975,11806,11806
1513967792,11782,11782
1513969730,11803,11803
1513971630,11902,11902
1513973563,11962,11962
1513975457,12038,12038
1513977409,12080,12080
1513979326,12191,12191
1513981232,12235,12235
1513983933,12317,12317
1513985809,12408,12408
1513988182,12589,12589
1513990088,12714,12714
1513991970,12887,12887
1513993940,13018,13018
1513995808,12792,12792
1513997766,12814,12814
1513999700,12717,12717
1514001654,12707,12707
1514003602,12714,12714
1514005460,12693,12693
1514007318,12695,12695
1514009297,12667,12667
1514011208,12906,12906
1514013144,12855,12855
1514014993,12881,12881
1514016979,12887,12887
1514018846,12765,12765
1514020823,12733,12733
1514022702,12799,12799
1514024648,12829,12829
1514026623,12772,12772
1514028509,12699,12699
1514030442,12702,12702
1514032345,12699,12699
1514034266,12686,12686
1514036425,12572,12572
1514038268,12602,12602
1514040296,12476,12476
1514042134,12402,12402
1514044140,12351,12351
1514046026,12231,12231
1514048023,12177,12177
1514049855,12105,12105
1514051838,12102,12102
1514053643,12096,12096
1514055702,12011,12011
1514057832,11840,11840
1514059819,11857,11857
1514061642,11851,11851
1514063654,11823,11823
1514065643,11858,11858
1514067469,11888,11888
1514069555,11944,11944
1514071726,12013,12013
1514073712,11966,11966
1514075570,11966,11966
1514077537,11909,11909
1514079408,11789,11789
1514081388,11848,11848
1514083242,11872,11872
1514085167,11825,11825
1514087069,11847,11847
1514089058,11908,11908
1514090930,11937,11937
1514093148,11961,11961
1514094986,11998,11998
1514096961,12206,12206
1514098856,11983,11983
1514101079,11942,11942
1514102928,11997,11997
1514104880,11993,11993
1514106759,11984,11984
1514108968,11991,11991
1514110817,12509,12509
1514113032,12679,12679
1514114925,12792,12792
1514116935,13000,13000
1514118993,13150,13150
1514121250,13353,13353
1514123072,13534,13534
1514125021,13687,13687
1514126931,13924,13924
1514129076,14115,14115
1514130997,14270,14270
1514133271,14461,14461
1514135305,14614,14614
1514137472,14826,14826
1514139414,14906,14906
1514141331,15094,15094
1514143668,15298,15298
1514145612,15474,15474
1514147551,15660,15660
1514149500,15845,15845
1514151643,16097,16097
1514153556,16321,16321
1514155482,16441,16441
1514157412,16509,16509
1514159236,16622,16622
1514161245,17666,17666
1514163228,18577,18577
1514165068,18592,18592
1514167087,18585,18585
1514168908,18543,18543
1514170898,18551,18551
1514172749,18634,18634
1514174794,18598,18598
1514176611,18611,18611
1514178645,18584,18584
1514180450,18632,18632
1514182557,18583,18583
1514184505,18406,18406
1514186402,18552,18552
1514188597,18540,18540
1514190524,18608,18608
1514192432,18719,18719
1514194370,18677,18677
1514196279,18656,18656
1514198203,18044,18044
1514200130,17858,17858
1514202646,17597,17597
1514204680,17374,17374
1514206572,17159,17159
1514208598,16924,16924
1514210565,16971,16971
1514212569,16723,16723
1514214421,16545,16545
1514216667,16468,16468
1514218942,16257,16257
1514221200,16332,16332
1514223157,16635,16635
1514225065,16453,16453
1514226998,16247,16247
1514228912,16076,16076
1514230834,15945,15945
1514232763,15706,15706
1514234681,15542,15542
1514236587,15279,15279
1514238429,15113,15113
1514240432,14885,14885
1514242240,14688,14688
1514244056,14502,14502
1514246119,14307,14307
1514248086,14230,14230
1514249913,14257,14257
1514251716,14231,14231
1514253736,14174,14174
1514255574,14124,14124
1514257578,14158,14158
1514259387,14048,14048
1514261473,14025,14025
1514263450,14012,14012
1514265258,13982,13982
1514267077,13953,13953
1514269157,13902,13902
1514271139,13893,13893
1514273249,13862,13862
1514275270,13893,13893
1514277274,13667,13667
1514279076,13715,13715
1514281126,13652,13652
1514283097,13614,13614
1514285152,13567,13567
1514286991,13605,13605
1514289034,13593,13593
1514290848,13578,13578
1514292833,13537,13537
1514294686,13552,13552
1514296722,13324,13324
1514298542,13290,13290
1514300542,13273,13273
1514302363,13405,13405
1514304356,13277,13277
1514306208,13314,13314
1514308255,12940,12940
1514310526,12805,12805
1514312671,13026,13026
1514314883,13093,13093
1514317009,13037,13037
1514319200,13103,13103
1514321081,13075,13075
1514323035,13089,13089
1514324940,12993,12993
1514326856,13066,13066
1514328731,13055,13055
1514330718,13065,13065
1514333477,13102,13102
1514336195,13066,13066
1514338266,13104,13104
1514340141,13252,13252
1514342191,13272,13272
1514344361,13191,13191
1514346285,14026,14026
1514348215,14027,14027
1514350120,14043,14043
1514352038,14143,14143
1514354464,14194,14194
1514356361,14227,14227
1514358267,14229,14229
1514360205,14171,14171
1514362118,14238,14238
1514364021,15547,15547
1514365943,17552,17552
1514368124,16427,16427
1514370021,15975,15975
1514371975,16100,16100
1514373877,16160,16160
1514376046,16312,16312
1514378204,16478,16478
1514380109,16620,16620
1514382034,16703,16703
1514384222,16886,16886
