DateTime,AddedIPs,RemovedIPs
1512364141,13,6
1512386202,21,14
1512408270,18,7
1512430358,14,10
1512452461,3,10
1512474487,15,16
1512497045,15,18
1512518919,12,18
1512541008,9,16
1512563083,8,21
1512584985,21,11
1512606973,6,144
1512629057,6,9
1512650922,7,15
1512673101,13,14
1512695328,12,12
1512717388,10,544
1512739379,16,11
1512761308,9,13
1512783167,19,7
1512805311,5,8
1512827326,5,7
1512849390,994,14
1512871492,4,7
1512893556,4,11
1512915674,7,7
1512937515,7,35
1512959811,6,13
1512981860,9,6
1513003951,15,35
1513026252,62,26
1513048142,141,6
1513070179,75,8
1513092257,15,14
1513114123,13,13
1513136200,7,12
1513158271,14,6
1513180112,13,29
1513202200,16,4
1513224272,26,5
1513257626,13,15
1513279468,5,10
1513301563,11,18
1513323616,9,10
1513345704,15,14
1513367826,7,12
1513389875,6,6
1513411985,9,4
1513434048,3,4
1513456115,8,991
1513477991,7,8
1513500014,9,2
1513521866,13,25
1513543951,21,13
1513565802,31,11
1513588142,19,14
1513610001,18,9
1513632038,10,65
1513654099,9,148
1513675960,6,15
1513697870,17,4
1513719893,14,10
1513741962,12,9
1513775421,13,29
1513808618,18,18
1513830505,14,24
1513852603,15,9
1513874660,15,4
1513897342,10,27
1513919304,10,5
1513941414,8,7
1513963536,17,6
1513985810,7,16
1514007879,7,12
1514029927,4,21
1514051839,7,10
1514073715,6,7
1514095959,10,7
1514117883,18,14
1514139862,18,8
1514161723,13,14
1514183892,8,11
1514205850,5,20
1514227958,27,58
1514249913,6,52
1514271878,9,9
1514293728,4,7
1514315797,6,22
1514337764,5,23
1514359749,40,23
1514382035,35,31
1514404122,24,18
1514425977,8,6
1514459311,15,20
1514481409,16,16
1514504226,15,8
1514526257,8,11
1514548361,12,5
1514570303,16,16
1514592533,7,7
1514614584,9,4
1514636853,8,5
1514658766,6,6
1514680814,8,6
1514702897,9,6
