DateTime,AddedIPs,RemovedIPs
1512361260,1,0
1512376621,1,0
1512386203,0,1
1512390281,1,0
1512394118,0,1
1512403736,1,0
1512409474,1,0
1512411417,1,0
1512413468,0,1
1512429166,0,1
1512437101,1,0
1512447636,0,1
1512458187,1,0
1512463980,0,1
1512476197,1,1
1512478097,1,0
1512487959,1,0
1512489860,0,1
1512495879,0,1
1512497798,0,1
1512520360,1,0
1512522278,0,1
1512543375,0,1
1512562607,0,1
1512564508,0,1
1512566453,1,0
1512575325,0,1
1512589034,1,0
1512602921,1,0
1512606816,0,1
1512618559,1,0
1512653380,0,1
1512658351,1,0
1512660254,1,0
1512668776,1,0
1512672519,1,0
1512674421,0,1
1512685003,0,1
1512697014,1,0
1512705172,0,1
1512744720,0,1
1512746664,0,1
1512754366,0,1
1512760358,0,1
1512780506,0,1
1512951425,1,0
1512960972,1,0
1513038503,0,1
1513045357,0,1
1513079921,1,0
1513154916,1,0
1513166473,0,1
1513238799,0,1
1513337568,1,0
1513375285,1,0
1513424692,0,1
1513458984,0,1
1513682409,1,0
1513698304,1,0
1513769109,0,1
1513782092,0,1
1513861309,1,0
1513946202,0,1
1514355390,1,0
1514441538,0,1
1514448753,1,0
1514534219,0,1
1514666907,1,0
