DateTime,AddedIPs,RemovedIPs
1512343979,1,0
1512419570,1,0
1512431328,0,1
1512482997,0,1
1512502849,0,1
1512516253,1,0
1512566453,1,0
1512602922,0,1
1512613697,1,0
1512651393,0,1
1512672519,1,0
1512692921,1,0
1512699077,0,1
1512758792,0,1
1512768751,1,0
1512772582,1,0
1512778530,0,1
1512855861,0,1
1512906048,1,0
1512924517,1,0
1512950922,1,0
1512992660,0,1
1513002681,0,1
1513004653,1,0
1513010672,0,1
1513038503,0,1
1513050495,1,0
1513062092,1,0
1513081258,1,0
1513091819,0,1
1513137164,0,1
1513148200,0,1
1513159718,1,0
1513167419,0,1
1513185417,1,0
1513189251,1,0
1513221928,1,0
1513249140,0,1
1513253439,1,0
1513270883,0,1
1513272764,2,0
1513274701,0,1
1513278536,1,0
1513286197,1,0
1513289174,1,0
1513299150,1,0
1513308021,0,1
1513333223,1,0
1513340919,0,1
1513357427,0,1
1513359336,0,1
1513365131,0,1
1513372101,0,1
1513374020,0,1
1513385802,0,1
1513417482,0,1
1513420356,1,0
1513497367,1,0
1513507953,0,1
1513570618,1,0
1513582120,1,0
1513584081,0,1
1513591965,2,0
1513607316,1,0
1513627807,1,0
1513646994,1,0
1513653641,5,0
1513655569,0,1
1513667330,0,1
1513669224,1,0
1513678891,0,1
1513693221,0,1
1513704167,1,0
1513710095,0,1
1513712911,0,1
1513723097,1,0
1513740107,0,5
1513754473,0,1
1513761187,1,0
1513785898,1,0
1513787828,1,1
1513810591,0,1
1513834600,1,0
1513836524,1,0
1513848521,0,1
1513866274,1,0
1513871780,0,1
1513873717,0,1
1513888670,0,1
1513920496,0,1
1513922499,0,1
1513952022,1,1
1514018185,1,0
1514035708,1,0
1514038615,0,1
1514057833,1,0
1514073716,1,0
1514087069,1,0
1514089059,1,0
1514123073,0,1
1514133272,1,0
1514157414,0,2
1514159237,0,1
1514172750,0,1
1514174796,0,1
1514182558,2,0
1514221238,0,1
1514242241,8,0
1514249917,2,0
1514255575,1,0
1514319202,1,0
1514336198,0,12
1514342192,0,1
1514399824,1,0
1514405814,0,1
1514409707,1,0
1514419501,1,0
1514487730,0,1
1514497220,0,1
1514503082,0,1
1514508998,1,0
1514513783,7,0
1514562080,1,0
1514569978,1,0
1514575715,1,0
1514596116,0,1
1514598145,0,7
1514649357,0,1
1514657310,0,1
1514659233,1,0
1514661407,0,1
