DateTime,Entries,UniqueIPs
1512342127,1,1
1512343979,2,2
1512419570,3,3
1512431328,2,2
1512482997,1,1
1512502849,0,0
1512516253,1,1
1512566453,2,2
1512602922,1,1
1512613697,2,2
1512651393,1,1
1512672519,2,2
1512692921,3,3
1512699077,2,2
1512758792,1,1
1512768751,2,2
1512772582,3,3
1512778530,2,2
1512855861,1,1
1512906048,2,2
1512924517,3,3
1512950922,4,4
1512992660,3,3
1513002681,2,2
1513004653,3,3
1513010672,2,2
1513038503,1,1
1513050495,2,2
1513062092,3,3
1513081258,4,4
1513091819,3,3
1513137164,2,2
1513148200,1,1
1513159718,2,2
1513167419,1,1
1513185417,2,2
1513189251,3,3
1513221928,4,4
1513249140,3,3
1513253439,4,4
1513270883,3,3
1513272764,5,5
1513274701,4,4
1513278536,5,5
1513286197,6,6
1513289174,7,7
1513299150,8,8
1513308021,7,7
1513333223,8,8
1513340919,7,7
1513357427,6,6
1513359336,5,5
1513365131,4,4
1513372101,3,3
1513374020,2,2
1513385802,1,1
1513417482,0,0
1513420356,1,1
1513497367,2,2
1513507953,1,1
1513570618,2,2
1513582120,3,3
1513584081,2,2
1513591965,4,4
1513607316,5,5
1513627807,6,6
1513646994,7,7
1513653641,12,12
1513655569,11,11
1513667330,10,10
1513669224,11,11
1513678891,10,10
1513693221,9,9
1513704167,10,10
1513710095,9,9
1513712911,8,8
1513723097,9,9
1513740107,4,4
1513754473,3,3
1513761187,4,4
1513785898,5,5
1513787828,5,5
1513810591,4,4
1513834600,5,5
1513836524,6,6
1513848521,5,5
1513866274,6,6
1513871780,5,5
1513873717,4,4
1513888670,3,3
1513920496,2,2
1513922499,1,1
1513952022,1,1
1514018185,2,2
1514035708,3,3
1514038615,2,2
1514057833,3,3
1514073716,4,4
1514087069,5,5
1514089059,6,6
1514123073,5,5
1514133272,6,6
1514157414,4,4
1514159237,3,3
1514172750,2,2
1514174796,1,1
1514182558,3,3
1514221238,2,2
1514242241,10,10
1514249917,12,12
1514255575,13,13
1514319202,14,14
1514336198,2,2
1514342192,1,1
1514399824,2,2
1514405814,1,1
1514409707,2,2
1514419501,3,3
1514487730,2,2
1514497220,1,1
1514503082,0,0
1514508998,1,1
1514513783,8,8
1514562080,9,9
1514569978,10,10
1514575715,11,11
1514596116,10,10
1514598145,3,3
1514649357,2,2
1514657310,1,1
1514659233,2,2
1514661407,1,1
