DateTime,Entries,UniqueIPs
1512342131,12,12
1512347815,11,11
1512349781,10,10
1512355491,8,8
1512357418,6,6
1512365084,5,5
1512368923,4,4
1512384273,3,3
1512386204,4,4
1512388129,4,4
1512390281,5,5
1512397952,4,4
1512409475,3,3
1512417381,4,4
1512421488,6,6
1512468079,7,7
1512471865,6,6
1512473800,5,5
1512481697,6,6
1512487959,7,7
1512493949,8,8
1512503817,7,7
1512508606,5,5
1512512444,6,6
1512518197,5,5
1512524203,6,6
1512537659,8,8
1512547292,9,9
1512556913,10,10
1512558754,11,11
1512560694,10,10
1512568346,9,9
1512573442,8,8
1512579170,9,9
1512581079,9,9
1512583004,10,10
1512602922,9,9
1512604887,10,10
1512608931,9,9
1512618559,10,10
1512624275,8,8
1512634090,7,7
1512643761,5,5
1512656225,6,6
1512666270,5,5
1512668776,3,3
1512690995,2,2
1512692922,3,3
1512705172,3,3
1512710899,4,4
1512742117,3,3
1512764656,4,4
1512778530,3,3
1512791831,2,2
1512797733,1,1
1512799701,2,2
1512803538,4,4
1512838591,5,5
1512850119,4,4
1512855862,5,5
1512865712,6,6
1512886845,5,5
1512890664,3,3
1512900266,4,4
1512902213,5,5
1512910104,6,6
1512924517,5,5
1512933419,6,6
1512943293,5,5
1512950922,6,6
1512952843,7,7
1512979960,8,8
1512985709,7,7
1512987648,6,6
1512991476,7,7
1512993377,8,8
1512998435,7,7
1513014706,8,8
1513019304,7,7
1513040483,4,4
1513063476,5,5
1513067301,5,5
1513073085,8,8
1513076900,9,9
1513080865,8,8
1513098306,7,7
1513100371,6,6
1513102347,7,7
1513108121,8,8
1513115791,9,9
1513128053,10,10
1513145969,11,11
1513150125,10,10
1513153959,9,9
1513155882,10,10
1513159718,7,7
1513163548,6,6
1513169335,7,7
1513173173,8,8
1513175104,10,10
1513189251,9,9
1513191153,11,11
1513193072,10,10
1513201005,9,9
1513206979,11,11
1513214698,10,10
1513221416,11,11
1513231110,10,10
1513241074,9,9
1513255243,8,8
1513257159,9,9
1513261013,6,6
1513264856,7,7
1513276615,6,6
1513278536,5,5
1513286197,6,6
1513293041,4,4
1513306091,5,5
1513308022,4,4
1513343780,3,3
1513363257,2,2
1513372101,1,1
1513387947,2,2
1513393737,1,1
1513407396,2,2
1513493530,1,1
1513502173,2,2
1513507953,3,3
1513519455,4,4
1513555311,6,6
1513582120,7,7
1513585995,8,8
1513588143,8,8
1513593858,7,7
1513603247,8,8
1513605200,7,7
1513612186,8,8
1513617870,13,13
1513637345,14,14
1513641161,13,13
1513657475,14,14
1513661317,16,16
1513673785,14,14
1513675964,13,13
1513691303,12,12
1513693221,14,14
1513699021,13,13
1513704167,9,9
1513708128,9,9
1513723097,8,8
1513743921,7,7
1513747773,5,5
1513754473,6,6
1513771004,7,7
1513777877,6,6
1513779938,5,5
1513782095,6,6
1513787829,5,5
1513795477,5,5
1513802475,6,6
1513806336,7,7
1513814945,8,8
1513818986,9,9
1513820809,10,10
1513824676,11,11
1513834601,12,12
1513842259,11,11
1513850499,12,12
1513858469,11,11
1513860292,10,10
1513869470,9,9
1513877813,8,8
1513888671,10,10
1513896191,9,9
1513901667,8,8
1513906116,7,7
1513908283,6,6
1513910190,5,5
1513920496,4,4
1513926340,5,5
1513928190,6,6
1513936388,6,6
1513938211,7,7
1513940292,8,8
1513959678,9,9
1513971221,8,8
1513973072,7,7
1513976920,8,8
1514002822,9,9
1514010500,10,10
1514013465,9,9
1514015323,10,10
1514017303,10,10
1514023005,9,9
1514024970,8,8
1514027792,7,7
1514031882,8,8
1514037669,9,9
1514047218,8,8
1514049143,9,9
1514054907,10,10
1514064517,9,9
1514087069,8,8
1514089059,7,7
1514096962,6,6
1514101082,5,5
1514104883,4,4
1514116936,5,5
1514118994,4,4
1514125022,3,3
1514130998,4,4
1514135307,3,3
1514141334,2,2
1514157414,4,4
1514159237,6,6
1514161247,7,7
1514180451,8,8
1514182559,9,9
1514193403,10,10
1514203187,9,9
1514212842,10,10
1514218944,9,9
1514225066,10,10
1514228913,14,14
1514230836,16,16
1514238430,17,17
1514240433,19,19
1514242241,20,20
1514246120,19,19
1514248087,17,17
1514255575,18,18
1514263451,19,19
1514269158,18,18
1514275283,17,17
1514279077,16,16
1514281126,17,17
1514285153,18,18
1514289035,19,19
1514290849,20,20
1514298543,19,19
1514310527,18,18
1514314901,16,16
1514317010,15,15
1514319202,14,14
1514323036,15,15
1514324941,13,13
1514326857,12,12
1514328732,11,11
1514330720,12,12
1514338267,13,13
1514340143,14,14
1514342192,13,13
1514350121,12,12
1514363176,13,13
1514371352,12,12
1514375574,9,9
1514385413,10,10
1514401900,9,9
1514403857,8,8
1514413393,7,7
1514417323,6,6
1514425485,4,4
1514433413,3,3
1514445383,4,4
1514449225,3,3
1514453066,4,4
1514457146,5,5
1514463411,6,6
1514471816,5,5
1514473704,6,6
1514481611,7,7
1514483525,9,9
1514485470,10,10
1514487730,9,9
1514489557,11,11
1514528427,12,12
1514534219,11,11
1514537994,12,12
1514539913,11,11
1514549708,11,11
1514557781,12,12
1514562080,11,11
1514567811,10,10
1514569979,9,9
1514571864,8,8
1514575716,7,7
1514577694,6,6
1514609731,5,5
1514611654,6,6
1514615541,5,5
1514623285,3,3
1514633069,4,4
1514635012,3,3
1514641002,4,4
1514644837,3,3
1514653463,4,4
1514687040,6,6
1514697045,5,5
1514705026,6,6
1514714911,7,7
1514718772,6,6
