DateTime,Entries,UniqueIPs
1512342137,1,1
1512403737,0,0
1512419097,1,1
1512504737,0,0
1512512444,1,1
1512518197,2,2
1512602922,1,1
1512613231,1,1
1512689006,2,2
1512694898,3,3
1512701062,2,2
1512774720,1,1
1512780507,0,0
1512838592,1,1
1512848208,125,125
1512850120,130,130
1512868595,131,131
1512906996,132,132
1512926428,131,131
1512937152,2,2
1512952844,3,3
1512954740,2,2
1512962674,3,3
1512994988,2,2
1513040485,1,1
1513046182,0,0
1513107417,1,1
1513195284,1,1
1513278536,0,0
1513351006,1,1
1513435949,0,0
1513482965,1,1
1513507953,2,2
1513527161,3,3
1513564831,4,4
1513570619,3,3
1513591966,4,4
1513593859,3,3
1513613565,2,2
1513617421,4,4
1513637345,5,5
1513651719,4,4
1513663286,5,5
1513671190,6,6
1513699021,7,7
1513704167,4,4
1513727659,3,3
1513749686,2,2
1513757562,1,1
1513783964,0,0
1513802684,1,1
1513888671,0,0
1513906117,1,1
1513914274,2,2
1513922503,3,3
1513924372,4,4
1513955850,5,5
1514000909,4,4
1514008586,3,3
1514038615,4,4
1514042455,3,3
1514050127,2,2
1514055860,1,1
1514059820,2,2
1514075571,4,4
1514125022,3,3
1514146793,2,2
1514155007,3,3
1514161247,2,2
1514207084,3,3
1514241164,2,2
1514260360,1,1
1514290174,0,0
1514298543,1,1
1514346286,2,2
1514386358,1,1
1514431263,0,0
1514490044,1,1
1514551720,2,2
1514571864,3,3
1514577695,2,2
1514638889,1,1
1514655394,0,0
1514716598,1,1
