DateTime,AddedIPs,RemovedIPs
1512351639,0,1
1512366999,0,1
1512372765,1,0
1512392193,0,1
1512401812,1,0
1512413469,0,1
1512419571,0,2
1512444778,0,1
1512458188,0,1
1512473335,1,0
1512484837,1,0
1512524203,1,0
1512537659,0,1
1512560695,0,1
1512570523,0,1
1512572484,1,0
1512608932,0,1
1512657409,0,1
1512810977,1,0
1512813123,1,0
1512857789,1,0
1512873376,1,0
1512888752,1,0
1512894511,1,0
1512896501,1,1
1512900266,0,1
1512910105,1,0
1512919719,1,0
1512937152,1,0
1512943294,0,1
1512958859,0,1
1512976116,0,1
1512981861,0,2
1512998436,0,1
1513006582,0,1
1513012596,1,0
1513025072,0,1
1513034675,1,0
1513098307,0,1
1513120134,0,1
1513165971,1,0
1513251143,0,1
1513266453,1,0
1513303286,2,0
1513318582,1,0
1513322410,2,0
1513351607,1,0
1513353691,0,1
1513375288,1,0
1513379310,1,0
1513388917,0,1
1513394895,0,1
1513396841,1,0
1513406442,0,1
1513408368,0,2
1513412426,1,0
1513439544,0,1
1513460917,0,1
1513464757,0,1
1513466682,1,0
1513482285,0,1
1513489938,1,0
1513498590,0,1
1513527382,2,0
1513537287,2,0
1513539146,1,0
1513545099,1,0
1513551149,1,0
1513552987,1,1
1513568672,1,0
1513576364,0,1
1513582121,1,0
1513607793,1,0
1513613566,0,2
1513623718,0,2
1513625577,0,1
1513629648,0,1
1513637346,1,1
1513639334,0,1
1513641162,1,0
1513655570,1,1
1513663289,1,0
1513667331,0,1
1513669225,1,0
1513676911,1,0
1513686380,1,0
1513692522,1,0
1513694461,0,1
1513717369,1,0
1513738120,0,1
1513740107,1,0
1513741964,0,1
1513749689,0,1
1513755679,0,1
1513764094,0,1
1513766181,1,0
1513770264,0,1
1513772079,0,1
1513778202,0,1
1513787829,1,0
1513798647,1,0
1513802476,3,0
1513817067,0,1
1513826662,0,1
1513834601,1,0
1513852606,0,1
1513871780,1,0
1513873717,0,1
1513888671,0,3
1513901667,1,0
1513920496,0,1
1513926340,1,0
1513934381,1,0
1513959678,0,1
1513988928,0,1
1513997058,0,1
1514020099,0,1
1514040501,0,1
1514169880,1,0
1514175713,1,0
1514257579,0,1
1514261475,0,1
1514292019,1,0
1514293941,1,0
1514350122,1,0
1514378204,0,1
1514380109,0,1
1514433414,0,1
1514446605,1,0
1514448500,1,0
1514499142,1,0
1514534220,0,2
1514577695,1,0
1514585830,0,1
1514596117,5,0
1514611655,2,0
1514623286,1,0
1514631164,2,0
1514633069,1,0
1514635013,3,0
1514653463,1,0
1514659234,1,0
1514665463,0,1
1514672028,1,0
1514675804,1,0
1514677852,1,0
1514682079,2,5
1514685878,1,0
1514697868,0,2
1514701742,3,0
1514703881,1,0
1514705805,1,0
1514709628,0,1
1514713486,3,0
1514717301,0,2
1514719241,0,1
