DateTime,Entries,UniqueIPs
1513633476,959,959
1513635501,969,969
1513637344,980,980
1513639333,1000,1000
1513641161,1015,1015
1513643124,1027,1027
1513645105,1044,1044
1513646994,1064,1064
1513649814,1104,1104
1513651718,1118,1118
1513653640,1142,1142
1513655569,1162,1162
1513657474,1175,1175
1513659404,1181,1181
1513661316,1191,1191
1513664216,1214,1214
1513666187,1220,1220
1513668012,1232,1232
1513669966,1239,1239
1513671854,1245,1245
1513673784,1252,1252
1513675963,1256,1256
1513678435,1267,1267
1513680467,1276,1276
1513682409,1294,1294
1513684344,1297,1297
1513686378,1297,1297
1513689396,1300,1300
1513691302,1305,1305
1513693221,1313,1313
1513695132,1318,1318
1513697054,1321,1321
1513699020,1331,1331
1513700907,1333,1333
1513702857,1334,1334
1513704731,1333,1333
1513706946,1338,1338
1513709084,1345,1345
1513715614,1361,1361
1513717743,1363,1363
1513719895,1365,1365
1513722760,1373,1373
1513725888,1377,1377
1513730033,1374,1374
1513731876,1379,1379
1513734924,1380,1380
1513737166,1392,1392
1513739083,1387,1387
1513741011,511,511
1513742929,384,384
1513744827,404,404
1513746776,404,404
1513748671,404,404
1513750614,403,403
1513754472,402,402
1513756352,399,399
1513758232,400,400
1513761187,402,402
1513763060,401,401
1513765054,401,401
1513767159,399,399
1513769108,397,397
1513771004,401,401
1513772964,401,401
1513775808,403,403
1513777876,404,404
1513779938,405,405
1513782088,406,406
1513783963,402,402
1513785897,404,404
1513787828,406,406
1513791887,404,404
1513799097,400,400
1513801237,400,400
1513803153,403,403
1513805079,406,406
1513806976,406,406
1513808935,401,401
1513810829,400,400
1513813090,401,401
1513814945,403,403
1513817066,403,403
1513818986,406,406
1513820808,406,406
1513822825,403,403
1513824675,406,406
1513826661,404,404
1513828518,403,403
1513830508,402,402
1513832352,106,106
1513834600,105,105
1513836523,108,108
1513840369,109,109
1513842259,109,109
1513844459,108,108
1513846601,106,106
1513848521,105,105
1513850493,107,107
1513852605,107,107
1513854529,106,106
1513856434,104,104
1513858468,105,105
1513860291,102,102
1513862220,102,102
1513864375,100,100
1513866274,98,98
1513869470,93,93
1513871779,94,94
1513873716,94,94
1513875683,99,99
1513877813,102,102
1513879720,101,101
1513881629,103,103
1513883849,107,107
1513888670,103,103
1513897343,101,101
1513901666,98,98
1513906116,93,93
1513908282,92,92
1513910189,88,88
1513912371,87,87
1513914273,88,88
1513918587,86,86
1513920495,84,84
1513922470,85,85
1513924371,86,86
1513926339,88,88
