DateTime,Entries,UniqueIPs
1513452267,61,61
1513454197,60,60
1513456117,58,58
1513458984,59,59
1513460918,57,57
1513462838,59,59
1513464757,59,59
1513466683,63,63
1513468601,64,64
1513470514,64,64
1513472508,66,66
1513474346,67,67
1513476516,68,68
1513478422,69,69
1513480380,70,70
1513482286,69,69
1513484206,68,68
1513488052,69,69
1513491878,68,68
1513493791,67,67
1513495715,66,66
1513501466,67,67
1513511158,68,68
1513513256,66,66
1513515160,64,64
1513518985,65,65
1513520909,62,62
1513523785,58,58
1513525712,56,56
1513527634,52,52
1513529540,53,53
1513531463,51,51
1513533404,46,46
1513535313,45,45
1513537287,44,44
1513539146,45,45
1513541087,41,41
1513542980,40,40
1513545099,37,37
1513547081,36,36
1513549244,38,38
1513551150,37,37
1513552987,34,34
1513555312,34,34
1513557184,34,34
1513559091,32,32
1513561008,32,32
1513562923,32,32
1513564831,33,33
1513566791,33,33
1513568672,34,34
1513570620,37,37
1513572511,39,39
1513574456,38,38
1513576364,39,39
1513585996,40,40
1513588144,39,39
1513596036,40,40
1513597961,43,43
1513600098,44,44
1513602090,46,46
1513603964,48,48
1513605875,49,49
1513607794,50,50
1513609695,52,52
1513611637,52,52
1513613566,56,56
1513615455,60,60
1513617422,66,66
1513619303,72,72
1513621459,74,74
1513623718,78,78
1513625578,81,81
1513627808,83,83
1513631637,84,84
1513633477,90,90
1513635503,89,89
1513637346,88,88
1513639335,88,88
1513641162,91,91
1513643125,94,94
1513645106,95,95
1513646996,94,94
1513648926,98,98
1513650794,96,96
1513652678,95,95
1513654685,96,96
1513656506,95,95
1513658529,94,94
1513660336,93,93
1513662355,93,93
1513669967,94,94
1513671855,93,93
1513680468,94,94
1513682410,93,93
1513684345,90,90
1513686380,86,86
1513688483,85,85
1513690639,85,85
1513694461,87,87
1513696369,85,85
1513698304,86,86
1513700207,85,85
1513702120,81,81
1513704168,77,77
1513705981,77,77
1513708129,78,78
1513710096,78,78
1513712912,76,76
1513717370,76,76
1513720973,72,72
1513723098,74,74
1513727659,73,73
1513729467,69,69
1513732446,69,69
1513734267,70,70
1513736289,70,70
1513738120,71,71
1513740108,70,70
1513741964,70,70
1513743922,72,72
1513745810,73,73
1513747774,72,72
1513755679,71,71
1513759757,72,72
1513768112,72,72
1513770265,74,74
1513772079,73,73
1513774051,74,74
1513776270,76,76
1513778203,75,75
1513780138,77,77
1513782097,78,78
1513783965,76,76
1513785899,79,79
1513787830,79,79
1513795477,71,71
1513798647,70,70
1513800532,71,71
1513802476,70,70
1513804382,72,72
1513806337,72,72
1513808620,68,68
1513810592,67,67
1513813091,68,68
1513814946,69,69
1513817068,69,69
1513818987,71,71
1513820810,70,70
1513822826,67,67
1513824678,69,69
1513826662,68,68
1513828519,68,68
1513830510,66,66
1513832354,66,66
1513834602,65,65
1513836525,66,66
1513844460,65,65
1513850500,66,66
1513852606,67,67
1513854530,66,66
1513856435,65,65
1513858470,66,66
1513860293,64,64
1513862222,64,64
1513864377,62,62
1513866275,58,58
1513869471,54,54
1513871781,55,55
1513873717,53,53
1513875687,59,59
1513877814,62,62
1513879721,61,61
1513881630,62,62
1513883850,67,67
1513888672,68,68
1513896192,64,64
1513901668,62,62
1513908284,59,59
1513910191,57,57
1513912372,56,56
1513914274,56,56
1513918588,55,55
1513922503,57,57
1513936388,56,56
1513946203,56,56
1513948234,62,62
1513952023,64,64
1513953866,63,63
1513955850,64,64
1513957728,65,65
1513959679,68,68
1513961555,67,67
1513963539,51,51
1513965411,52,52
1513967377,52,52
1513969284,55,55
1513971221,50,50
1513973073,51,51
1513975057,52,52
1513976921,53,53
1513980773,54,54
1513982747,55,55
1513984860,56,56
1513988929,58,58
1513991052,57,57
1513995160,55,55
1513997058,55,55
1513998985,56,56
1514000909,55,55
1514002823,56,56
1514004739,57,57
1514006678,58,58
1514008587,56,56
1514010501,55,55
1514027793,56,56
1514029710,55,55
1514031882,55,55
1514033861,52,52
1514035709,50,50
1514038615,49,49
1514040502,50,50
1514042456,49,49
1514044354,48,48
1514046316,47,47
1514048196,49,49
1514050128,48,48
1514052082,47,47
1514053956,46,46
1514055861,41,41
1514057834,43,43
1514059821,43,43
1514061643,40,40
1514063655,44,44
1514065644,47,47
1514067471,44,44
1514069556,43,43
1514071728,43,43
1514073717,45,45
1514075571,44,44
1514077539,46,46
1514079410,48,48
1514081390,50,50
1514083244,51,51
1514085168,53,53
1514087070,54,54
1514089060,53,53
1514090932,52,52
1514093150,51,51
1514104883,52,52
1514106760,53,53
1514108969,54,54
1514114927,54,54
1514116937,57,57
1514118995,59,59
1514121253,61,61
1514123074,64,64
1514125023,66,66
1514126933,67,67
1514129078,68,68
1514130999,68,68
1514133273,65,65
1514135308,65,65
1514137474,66,66
1514139417,68,68
1514141335,66,66
1514143672,67,67
1514146794,65,65
1514149065,64,64
1514151161,59,59
1514153079,60,60
1514155008,61,61
1514156968,61,61
1514159238,59,59
1514161248,57,57
1514163232,55,55
1514165071,52,52
1514167089,52,52
1514168910,51,51
1514170900,50,50
