DateTime,AddedIPs,RemovedIPs
1513574457,1,0
1513576365,1,0
1513578290,0,4
1513582121,3,3
1513584088,0,3
1513588144,1,6
1513590027,0,1
1513591967,1,0
1513600099,0,2
1513605875,1,3
1513613566,1,1
1513619304,3,1
1513621460,1,3
1513623718,1,2
1513625578,0,1
1513627809,0,1
1513631638,4,3
1513633477,0,2
1513635503,0,18
1513637346,1,66
1513639335,1,0
1513641163,0,1
1513645107,1,1
1513646996,1,0
1513648945,1,3
1513654686,0,4
1513658529,4,3
1513662355,0,2
1513664218,2,0
1513668013,0,1
1513669968,1,2
1513673786,0,1
1513675965,1,0
1513678437,137,1
1513682410,19,0
1513684346,2,0
1513688484,1,0
1513692523,0,1
1513694461,2,0
1513698305,2,0
1513700208,2,1
1513702120,2,0
1513704168,1,2
1513705981,0,1
1513708129,3,1
1513712912,1,1
1513717371,1,3
1513720973,5,1
1513723098,1,1
1513727660,0,1
1513729467,4,0
1513732447,0,1
1513734267,4,2
1513740108,2,0
1513741965,2,0
1513745810,2,4
1513751632,2,2
1513757563,5,1
1513759758,2,0
1513762064,1,0
1513764095,1,138
1513768112,2,17
1513770265,2,4
1513774052,3,0
1513776270,0,1
1513778203,1,0
1513780139,1,0
1513782097,2,2
1513783965,2,1
1513785899,0,1
1513787830,0,3
1513795478,9,5
1513798648,5,1
1513800532,6,0
1513802476,11,0
1513804383,7,1
1513806337,8,3
1513808621,12,3
1513810593,7,0
1513813091,9,0
1513814947,9,4
1513817068,10,0
1513818987,5,0
1513820810,7,4
1513822826,10,0
1513824678,5,0
1513826662,11,2
1513828519,8,2
1513830510,6,0
1513832354,10,2
1513834602,11,0
1513836525,9,0
1513838495,11,2
1513840371,6,0
1513842260,6,0
1513844461,8,6
1513846603,6,1
1513848522,4,1
1513850500,8,1
1513852607,8,0
1513854531,7,2
1513856436,7,2
1513858470,8,0
1513860293,9,0
1513862222,0,3
1513864377,1,1
1513866275,12,0
1513869471,13,5
1513871781,13,0
1513873718,8,0
1513875688,9,0
1513877814,7,1
1513879722,6,4
1513881631,4,2
1513883851,5,4
1513888672,17,18
1513896192,12,34
1513901669,9,21
1513908284,12,26
1513910191,2,8
1513912373,6,9
1513914274,6,9
1513916193,7,7
1513918588,4,12
1513920497,3,8
1513922503,7,10
1513924373,3,12
1513926341,10,4
1513928191,7,8
1513930374,7,8
1513932269,7,4
1513934381,1,6
1513936389,0,7
1513938212,3,8
1513940293,1,7
1513942381,1,7
1513944291,3,8
1513946203,0,9
1513948234,0,2
1513950036,1,0
1513952023,1,8
1513953867,1,13
1513955851,3,5
1513957729,0,11
1513959679,1,10
1513961555,5,8
1513963539,1,6
1513965412,10,6
1513967378,7,4
1513969285,7,4
1513971221,6,13
1513973073,7,4
1513975057,8,3
1513976921,8,1
1513978876,11,2
1513980773,7,7
1513982747,11,2
1513984860,3,3
1513986987,63,6
1513988929,7,1
1513991052,16,6
1513992982,6,2
1513995160,6,4
1513997059,5,3
1513998985,8,5
1514000910,9,5
1514002823,9,8
1514004739,11,3
1514006678,5,3
1514008587,0,6
1514010501,7,4
1514012483,7,10
1514014359,6,6
1514016265,3,6
1514018186,4,7
1514020099,3,3
1514022019,9,0
1514023953,12,2
1514025864,6,2
1514027793,1,0
1514029710,0,4
1514031883,2,0
1514033862,1,0
1514035710,0,1
1514039554,5,2
1514041478,0,3
1514043388,52,0
1514045298,4,0
1514047218,7,4
1514049144,1,3
1514051063,0,7
1514053090,1,10
1514054908,1,5
1514056824,0,5
1514058753,1,9
1514060668,0,6
1514062589,2,8
1514064518,1,7
1514066482,0,11
1514068364,0,11
1514070180,8,2
1514072206,0,5
1514074140,0,40
1514076048,0,6
1514077967,0,12
1514080029,0,8
1514082268,0,6
1514084205,0,6
1514086123,2,8
1514089061,0,13
1514090932,0,12
1514093150,2,6
1514094988,5,0
1514096963,2,7
1514098881,3,7
1514101083,0,7
1514102930,0,3
1514104884,0,3
1514106761,2,4
1514108969,1,11
1514110819,3,11
1514113034,2,5
1514114927,3,0
1514116937,1,1
1514118995,7,1
1514121253,1,1
1514123074,1,0
1514125023,0,2
1514126933,2,3
1514129079,0,8
1514130999,0,66
1514133273,2,8
1514135308,1,1
1514139417,0,1
1514141335,1,1
1514143673,1,1
1514147552,2,0
1514149502,0,3
1514151645,31,0
1514153558,11,0
1514155484,1,0
1514157415,2,8
1514161248,3,0
1514163232,2,0
1514165071,2,0
1514167089,1,0
1514170901,3,0
1514172751,0,2
1514174797,2,0
1514176613,2,0
1514178647,1,0
1514180452,0,4
1514182560,4,5
1514184509,3,3
1514188599,2,0
1514190526,3,0
1514192485,6,2
1514194372,5,0
1514196281,4,2
1514198205,8,3
1514200131,3,1
1514202647,8,3
1514204682,9,16
1514206573,9,1
1514208600,5,1
1514210567,9,0
1514212570,9,0
1514214422,8,2
1514216669,6,0
1514218945,7,0
1514221284,11,2
1514223159,6,1
1514225067,2,0
1514227000,3,1
1514228914,5,1
1514230837,5,0
1514232766,4,0
1514234683,4,2
1514236589,5,1
1514238431,72,29
1514240434,10,6
1514242242,4,2
1514244058,7,1
1514246121,5,0
1514248088,5,5
1514249918,9,0
1514251719,2,2
1514253738,3,1
1514257580,2,3
1514259389,4,0
1514261476,0,2
1514263452,0,3
1514265260,2,0
1514267079,1,0
1514269159,7,4
1514271141,1,3
1514273251,1,0
1514275285,0,2
1514277275,2,5
1514279078,5,5
1514281127,1,5
1514283099,0,3
1514285154,3,8
1514286993,2,6
1514289035,3,5
1514290850,0,9
1514292836,1,9
1514294688,1,5
1514296724,1,7
1514298544,1,9
1514300544,0,9
1514302365,0,6
1514304358,0,5
1514306210,1,6
1514308258,1,8
1514310528,1,7
1514312673,2,4
1514314902,0,3
1514317011,0,7
1514319203,0,4
1514321083,1,4
1514323037,2,8
1514324942,4,75
1514326858,6,10
1514328733,1,4
1514330721,3,7
1514333479,1,7
1514336199,2,11
1514338268,32,4
1514340144,42,2
1514342193,3,2
1514344364,1,0
1514346287,4,4
1514348217,3,0
1514350122,5,2
1514352040,2,0
1514354493,5,8
1514356362,6,1
1514358268,4,0
1514360206,3,1
1514362119,3,0
1514364022,6,2
1514365944,3,5
1514368125,8,1
1514370022,4,0
1514371976,4,3
1514373879,3,4
1514376083,2,1
1514378205,7,0
1514380110,4,1
1514382037,5,1
1514384223,9,1
1514386358,1,1
1514388281,3,0
1514390206,2,0
1514392116,6,1
1514395075,38,1
1514397794,3,3
1514399825,1,0
1514403858,1,0
1514407691,1,1
1514409708,1,2
1514411556,2,4
1514413394,0,6
1514415405,0,2
1514417324,0,2
1514419502,1,1
1514421408,1,2
1514423333,1,0
1514425486,0,53
1514427422,1,11
1514429310,3,2
1514431264,0,2
1514433414,1,4
1514435320,0,4
