DateTime,Entries,UniqueIPs
1513574457,133,133
1513576365,134,134
1513578290,130,130
1513582121,130,130
1513584088,127,127
1513588144,122,122
1513590027,121,121
1513591967,122,122
1513600099,120,120
1513605875,118,118
1513613566,118,118
1513619304,120,120
1513621460,118,118
1513623718,117,117
1513625578,116,116
1513627809,115,115
1513631638,116,116
1513633477,114,114
1513635503,96,96
1513637346,31,31
1513639335,32,32
1513641163,31,31
1513645107,31,31
1513646996,32,32
1513648945,30,30
1513654686,26,26
1513658529,27,27
1513662355,25,25
1513664218,27,27
1513668013,26,26
1513669968,25,25
1513673786,24,24
1513675965,25,25
1513678437,161,161
1513682410,180,180
1513684346,182,182
1513688484,183,183
1513692523,182,182
1513694461,184,184
1513698305,186,186
1513700208,187,187
1513702120,189,189
1513704168,188,188
1513705981,187,187
1513708129,189,189
1513712912,189,189
1513717371,187,187
1513720973,191,191
1513723098,191,191
1513727660,190,190
1513729467,194,194
1513732447,193,193
1513734267,195,195
1513740108,197,197
1513741965,199,199
1513745810,197,197
1513751632,197,197
1513757563,201,201
1513759758,203,203
1513762064,204,204
1513764095,67,67
1513768112,52,52
1513770265,50,50
1513774052,53,53
1513776270,52,52
1513778203,53,53
1513780139,54,54
1513782097,54,54
1513783965,55,55
1513785899,54,54
1513787830,51,51
1513795478,55,55
1513798648,59,59
1513800532,65,65
1513802476,76,76
1513804383,82,82
1513806337,87,87
1513808621,96,96
1513810593,103,103
1513813091,112,112
1513814947,117,117
1513817068,127,127
1513818987,132,132
1513820810,135,135
1513822826,145,145
1513824678,150,150
1513826662,159,159
1513828519,165,165
1513830510,171,171
1513832354,179,179
1513834602,190,190
1513836525,199,199
1513838495,208,208
1513840371,214,214
1513842260,220,220
1513844461,222,222
1513846603,227,227
1513848522,230,230
1513850500,237,237
1513852607,245,245
1513854531,250,250
1513856436,255,255
1513858470,263,263
1513860293,272,272
1513862222,269,269
1513864377,269,269
1513866275,281,281
1513869471,289,289
1513871781,302,302
1513873718,310,310
1513875688,319,319
1513877814,325,325
1513879722,327,327
1513881631,329,329
1513883851,330,330
1513888672,329,329
1513896192,307,307
1513901669,295,295
1513908284,281,281
1513910191,275,275
1513912373,272,272
1513914274,269,269
1513916193,269,269
1513918588,261,261
1513920497,256,256
1513922503,253,253
1513924373,244,244
1513926341,250,250
1513928191,249,249
1513930374,248,248
1513932269,251,251
1513934381,246,246
1513936389,239,239
1513938212,234,234
1513940293,228,228
1513942381,222,222
1513944291,217,217
1513946203,208,208
1513948234,206,206
1513950036,207,207
1513952023,200,200
1513953867,188,188
1513955851,186,186
1513957729,175,175
1513959679,166,166
1513961555,163,163
1513963539,158,158
1513965412,162,162
1513967378,165,165
1513969285,168,168
1513971221,161,161
1513973073,164,164
1513975057,169,169
1513976921,176,176
1513978876,185,185
1513980773,185,185
1513982747,194,194
1513984860,194,194
1513986987,251,251
1513988929,257,257
1513991052,267,267
1513992982,271,271
1513995160,273,273
1513997059,275,275
1513998985,278,278
1514000910,282,282
1514002823,283,283
1514004739,291,291
1514006678,293,293
1514008587,287,287
1514010501,290,290
1514012483,287,287
1514014359,287,287
1514016265,284,284
1514018186,281,281
1514020099,281,281
1514022019,290,290
1514023953,300,300
1514025864,304,304
1514027793,305,305
1514029710,301,301
1514031883,303,303
1514033862,304,304
1514035710,303,303
1514039554,306,306
1514041478,303,303
1514043388,355,355
1514045298,359,359
1514047218,362,362
1514049144,360,360
1514051063,353,353
1514053090,344,344
1514054908,340,340
1514056824,335,335
1514058753,327,327
1514060668,321,321
1514062589,315,315
1514064518,309,309
1514066482,298,298
1514068364,287,287
1514070180,293,293
1514072206,288,288
1514074140,248,248
1514076048,242,242
1514077967,230,230
1514080029,222,222
1514082268,216,216
1514084205,210,210
1514086123,204,204
1514089061,191,191
1514090932,179,179
1514093150,175,175
1514094988,180,180
1514096963,175,175
1514098881,171,171
1514101083,164,164
1514102930,161,161
1514104884,158,158
1514106761,156,156
1514108969,146,146
1514110819,138,138
1514113034,135,135
1514114927,138,138
1514116937,138,138
1514118995,144,144
1514121253,144,144
1514123074,145,145
1514125023,143,143
1514126933,142,142
1514129079,134,134
1514130999,68,68
1514133273,62,62
1514135308,62,62
1514139417,61,61
1514141335,61,61
1514143673,61,61
1514147552,63,63
1514149502,60,60
1514151645,91,91
1514153558,102,102
1514155484,103,103
1514157415,97,97
1514161248,100,100
1514163232,102,102
1514165071,104,104
1514167089,105,105
1514170901,108,108
1514172751,106,106
1514174797,108,108
1514176613,110,110
1514178647,111,111
1514180452,107,107
1514182560,106,106
1514184509,106,106
1514188599,108,108
1514190526,111,111
1514192485,115,115
1514194372,120,120
1514196281,122,122
1514198205,127,127
1514200131,129,129
1514202647,134,134
1514204682,127,127
1514206573,135,135
1514208600,139,139
1514210567,148,148
1514212570,157,157
1514214422,163,163
1514216669,169,169
1514218945,176,176
1514221284,185,185
1514223159,190,190
1514225067,192,192
1514227000,194,194
1514228914,198,198
1514230837,203,203
1514232766,207,207
1514234683,209,209
1514236589,213,213
1514238431,256,256
1514240434,260,260
1514242242,262,262
1514244058,268,268
1514246121,273,273
1514248088,273,273
1514249918,282,282
1514251719,282,282
1514253738,284,284
1514257580,283,283
1514259389,287,287
1514261476,285,285
1514263452,282,282
1514265260,284,284
1514267079,285,285
1514269159,288,288
1514271141,286,286
1514273251,287,287
1514275285,285,285
1514277275,282,282
1514279078,282,282
1514281127,278,278
1514283099,275,275
1514285154,270,270
1514286993,266,266
1514289035,264,264
1514290850,255,255
1514292836,247,247
1514294688,243,243
1514296724,237,237
1514298544,229,229
1514300544,220,220
1514302365,214,214
1514304358,209,209
1514306210,204,204
1514308258,197,197
1514310528,191,191
1514312673,189,189
1514314902,186,186
1514317011,179,179
1514319203,175,175
1514321083,172,172
1514323037,166,166
1514324942,95,95
1514326858,91,91
1514328733,88,88
1514330721,84,84
1514333479,78,78
1514336199,69,69
1514338268,97,97
1514340144,137,137
1514342193,138,138
1514344364,139,139
1514346287,139,139
1514348217,142,142
1514350122,145,145
1514352040,147,147
1514354493,144,144
1514356362,149,149
1514358268,153,153
1514360206,155,155
1514362119,158,158
1514364022,162,162
1514365944,160,160
1514368125,167,167
1514370022,171,171
1514371976,172,172
1514373879,171,171
1514376083,172,172
1514378205,179,179
1514380110,182,182
1514382037,186,186
1514384223,194,194
1514386358,194,194
1514388281,197,197
1514390206,199,199
1514392116,204,204
1514395075,241,241
1514397794,241,241
1514399825,242,242
1514403858,243,243
1514407691,243,243
1514409708,242,242
1514411556,240,240
1514413394,234,234
1514415405,232,232
1514417324,230,230
1514419502,230,230
1514421408,229,229
1514423333,230,230
1514425486,177,177
1514427422,167,167
1514429310,168,168
1514431264,166,166
1514433414,163,163
1514435320,159,159
1514437482,156,156
1514439634,155,155
1514441539,149,149
1514443474,150,150
1514445384,150,150
1514447295,146,146
1514449226,145,145
1514451155,144,144
1514453067,137,137
1514455283,130,130
1514457147,128,128
1514459313,124,124
1514461236,123,123
1514463412,121,121
1514465447,116,116
1514467454,111,111
1514469458,103,103
1514471816,101,101
1514473705,98,98
1514475561,98,98
1514477557,100,100
1514479658,45,45
1514481612,43,43
1514483526,45,45
1514485471,46,46
1514489558,46,46
1514491491,47,47
1514493408,48,48
1514495340,96,96
1514497221,126,126
1514499143,127,127
1514501070,128,128
1514505165,130,130
1514507076,129,129
1514508999,128,128
1514514781,129,129
1514516673,128,128
1514518616,128,128
1514520517,129,129
1514522701,131,131
1514524608,130,130
1514526524,131,131
1514528428,126,126
1514530365,128,128
1514532290,124,124
1514534220,127,127
1514536111,126,126
1514537995,124,124
1514539914,126,126
1514541932,126,126
1514545664,128,128
1514547621,131,131
1514549709,130,130
1514553621,130,130
1514555525,128,128
1514557782,132,132
1514559687,133,133
1514562081,133,133
1514563986,131,131
1514567812,132,132
1514569980,130,130
1514571865,131,131
1514573842,132,132
1514575717,133,133
1514577695,133,133
1514579797,133,133
1514581757,84,84
1514583623,54,54
1514585830,57,57
1514587720,65,65
1514589988,116,116
1514592131,128,128
1514594091,129,129
1514598146,130,130
1514600124,128,128
1514602005,127,127
1514603943,126,126
1514605855,126,126
1514607758,125,125
1514609732,126,126
1514611655,125,125
1514613483,124,124
1514617396,121,121
1514619456,120,120
1514621302,119,119
1514623286,120,120
1514625405,117,117
1514627324,116,116
1514631165,115,115
1514633070,115,115
1514635013,112,112
1514638891,114,114
1514641003,155,155
1514642910,178,178
1514644838,190,190
1514646760,194,194
1514649358,194,194
1514651560,195,195
1514653464,194,194
1514655394,194,194
1514657311,192,192
1514659234,192,192
1514661408,189,189
1514663510,190,190
1514665463,188,188
1514667534,190,190
1514669865,191,191
1514672029,191,191
1514673982,180,180
1514675804,146,146
1514677852,135,135
1514679872,134,134
1514682082,135,135
1514683959,138,138
