DateTime,AddedIPs,RemovedIPs
1513666189,0,1
1513668014,1,1
1513669969,1,2
1513671856,1,39
1513673786,2,4
1513675965,2,0
1513680469,54,2
1513682411,126,2
1513684346,2,75
1513686381,5,1
1513688485,3,1
1513690640,1,1
1513692524,2,2
1513694462,0,1
1513696370,2,0
1513698305,1,0
1513700208,1,0
1513702121,2,2
1513704169,0,1
1513705982,0,1
1513708130,1,1
1513710097,3,4
1513712913,1,2
1513717371,6,3
1513720974,2,105
1513723099,1,3
1513727660,3,1
1513729468,1,0
1513732447,3,2
1513734267,0,1
1513736290,2,0
1513738121,152,0
1513740109,33,4
1513741965,211,2
1513743923,4,2
1513745811,8,1
1513747774,0,1
1513749690,27,11
1513751632,2,53
1513753482,54,1
1513755680,0,1
1513757563,0,1
1513759758,1,0
1513762065,1038,3
1513764095,4,0
1513766182,1,53
1513768113,3,169
1513770265,1,2
1513772080,1,2
1513774052,0,3
1513776271,1,4
1513778204,79,1
1513780139,1,1
1513782098,0,1
1513783965,2,1
1513785899,5,0
1513787830,0,2
1513795478,3,3
1513798648,1,1
1513800533,0,3
1513802477,1,1
1513804383,1,1
1513806338,28,1
1513808621,47,2
1513810593,1,17
1513813092,4,0
1513814947,1,0
1513817068,35,0
1513818988,1,2
1513820811,1,0
1513822827,1,1
1513824679,1,176
1513826663,1,1
1513828520,2,206
1513830511,2,4
1513832354,0,7
1513834602,21,24
1513836526,1,3
1513838495,1,2
1513840371,0,1
1513842261,2,1
1513846604,2,73
1513848523,2,896
1513850501,2,1
1513852607,1,1
1513854531,205,3
1513856436,2,1
1513858470,1,1
1513860294,4,0
1513862223,0,1
1513864377,2,44
1513866276,41,33
1513868481,1,0
1513870368,4,2
1513872291,1,6
1513874198,1,0
1513876352,3,1
1513878308,3,1
1513880183,2,1
1513882354,2,0
1513884284,0,2
1513888672,2,2
1513892782,42,3
1513896193,5,147
1513901670,1,33
1513908285,230,17
1513910191,0,1
1513912373,1,1
1513914275,70,1
1513916194,0,2
1513918589,2,1
1513920497,1,43
1513922504,27,22
1513924373,2,1
1513928191,0,2
1513930374,1,0
1513932269,70,1
1513934382,1,3
1513936389,4,2
1513938212,1,1
1513940293,5,60
1513942381,1,156
1513944291,1,1
1513946204,0,2
1513948235,2,2
1513950037,3,1
1513952024,1,1
1513953867,2,0
1513955851,1,3
1513957729,0,2
1513959679,1,1
1513961556,2,2
1513963539,0,3
1513965412,1,46
1513967378,4,3
1513969285,13,1
1513971222,2,1
1513973074,1,0
1513975058,1,0
1513976922,1,43
1513978876,3,1
1513980774,0,3
1513982748,0,2
1513984860,5,0
1513986987,3,2
1513991052,1,1
1513992983,2,0
1513995161,2,140
1513998986,1,1
1514000910,3,118
1514002824,1,2
1514004740,2,0
1514006679,21,1
1514008588,18,27
1514010501,1,2
1514012483,2,0
1514014360,3,0
1514016266,0,1
1514018187,2,34
1514020100,4,85
1514022020,3,0
1514023953,10,4
1514025865,0,4
1514027793,1,2
1514029711,119,0
1514033862,8,2
1514035710,4,4
1514039554,6,2
1514041479,2,1
1514043389,1,1
1514045298,2,1
1514047219,2,1
1514049144,0,2
1514051064,2,1
1514053090,2,3
1514054908,1,3
1514056824,2,13
1514058754,3,2
1514060669,2,1
1514062589,1,1
1514064518,12,2
1514066484,2,1
1514068364,12,0
1514070180,0,3
1514072206,2,2
1514074141,0,3
1514076049,22,1
1514077968,2,0
1514080030,0,1
1514082268,2,2
1514084206,1,1
1514086124,2,1
1514088082,3,3
1514089964,0,1
1514091886,1,21
1514094040,72,18
1514095962,1,0
1514097857,482,55
1514099815,1,4
1514102043,0,1
1514103874,0,2
1514105845,1,1
1514107792,0,5
1514109936,1,11
1514114028,1,1
1514116001,3,1
1514117885,1,0
1514119820,1,125
1514121686,4,3
1514123722,1,1
1514125535,1,5
1514127520,2,2
1514129391,1,0
1514131445,1,1
1514133274,1,1
1514137475,30,2
1514139417,1,2
1514141335,2,0
1514143673,2,2
1514145683,2,2
1514147553,13,2
1514149503,1,1
1514151645,1,0
1514153559,0,3
1514155484,3,9
1514157416,1,2
1514161249,2,1
1514163233,2,1
1514165072,1,1
1514167090,2,1
1514168911,0,2
1514170901,2,2
1514172752,85,1
1514174797,3,2
1514176614,3,1
1514178648,1,0
1514180453,63,26
1514182560,2,1
1514184510,4,151
1514186405,81,1
1514188600,3,0
1514190527,77,0
1514192485,96,1
1514194372,2,0
1514196281,7,1
1514198206,2,0
1514200132,8,1
1514202648,9,3
1514204683,2,1
1514206574,4,1
1514208600,2,5
1514210567,5,0
1514212571,2,1
1514214423,1,1
1514216670,228,1
1514218945,36,3
1514221284,343,0
1514223160,520,27
1514225068,4,0
1514227000,2,1
1514228915,1,2
1514230837,2,1
1514232767,4,2
1514234683,1,9
1514236590,2,0
1514238431,1,10
1514240435,2,1
1514242242,0,2
1514244059,2,1
1514246121,1,0
1514248088,1,16
1514249918,3,2
1514251719,3,1
1514253739,0,2
1514255577,2,0
1514257580,0,1
1514259389,1,80
1514261476,1,4
1514263452,4,1
1514265262,3,1
1514267079,27,53
1514269159,0,2
1514271141,62,1
1514273251,1,3
1514275285,15,2
1514277276,0,190
1514279078,3,1
1514281128,5,2
1514283100,3,3
1514285155,0,3
1514286994,0,8
1514289036,1,7
1514290850,1,1
1514292837,3,5
1514294689,18,1
1514296725,4,2
1514298544,1,4
1514302365,1,3
1514304359,3,251
1514306211,2,2
1514308258,0,666
1514310529,4,215
1514312674,290,2
1514314903,84,2
1514317011,1,1
1514319204,1,5
1514321084,3,0
1514323038,1,2
1514324943,11,2
1514326859,182,1
1514328733,1,0
1514330721,4,2
1514333480,3,2
1514336200,2,4
1514338269,2,3
1514342194,0,2
1514344364,3,2
1514346287,1,0
1514348217,2,2
1514350123,0,4
1514352041,1,3
1514354494,131,26
1514356363,0,3
1514358269,2,1
1514360206,4,1
1514362120,1,1
1514364023,3,0
1514365945,2,4
1514368126,1,5
1514370023,2,3
1514371977,1,1
1514373879,0,3
1514376088,1,0
1514378205,2,1
1514380110,2,3
1514382037,1,18
1514384224,5,3
1514386359,29,0
1514388281,1,0
1514390207,2,2
1514392116,1,2
1514395980,3,1
1514397794,4,3
1514399826,2,286
1514401901,0,83
1514403859,3,1
1514405815,1,1
1514407691,1,4
1514409709,1,1
1514411557,0,1
1514413394,1,178
1514415406,2,2
1514417325,0,3
1514419503,4,3
1514421408,0,7
1514423333,4,18
1514425487,3,1
1514427423,4,0
1514429311,1,1
1514431265,0,3
1514433415,1,1
1514435321,0,2
1514437482,0,1
1514439634,4,55
1514441540,3,82
1514443474,4,67
1514445384,2,3
1514447295,2,2
1514449227,234,2
1514451155,336,3
1514453068,0,2
1514455284,3,1
1514457148,1,2
1514459313,1,0
1514461237,2,1
1514463412,0,2
1514467454,4,2
1514469459,3,3
1514471817,2,2
1514473705,0,2
1514475561,1,0
1514477558,2,1
1514479659,2,15
1514481613,1,3
1514483526,1,3
1514485472,3,3
1514487732,3,1
1514489558,1,0
1514491492,1,3
1514493409,2,0
1514495341,1,1
1514497221,3,1
1514499143,2,0
1514501071,3,2
1514503083,4,0
1514505166,1,3
1514507076,34,2
1514509000,3,1
1514510917,3,5
1514512891,3,2
1514514782,0,4
1514516674,1,1
1514518617,2,1
1514520517,1,0
1514522702,1,0
1514524609,10,2
1514526525,16,40
1514528428,1,1
1514530365,1,4
1514532291,1,3
1514534221,0,1
1514536111,1,1
1514537996,1,2
1514539915,1,1
1514541933,2,3
1514543801,0,1
1514545665,0,2
1514547622,2,3
1514549709,2,0
1514551721,2,0
1514553621,2,2
1514555525,3,3
1514557782,0,2
1514559688,2,1
1514562082,0,1
1514563987,166,3
1514565903,3,1
1514567812,0,293
1514569980,0,1
1514571865,0,2
1514573843,1,1
1514575717,180,1
1514577696,4,1
1514579798,2,220
1514581758,7,1
1514583623,86,3
1514585831,1,2
1514587721,2,3
1514589988,3,3
1514592132,1,35
1514594091,8,1
1514596118,0,5
1514598146,0,2
1514600124,1,1
1514602005,5,47
1514603943,2,2
1514607758,1,2
1514611656,42,4
1514613484,4,16
1514615542,8,22
1514617396,21,0
1514619456,2,1
1514621302,3,0
1514623287,0,2
1514625406,1,0
1514627325,2,3
1514629246,1,0
1514631166,3,6
1514633070,0,1
1514635014,2,1
1514638892,1,3
1514641004,2,1
1514642911,1,2
1514644838,1,1
1514646761,4,1
1514649359,0,2
1514651560,0,181
1514653464,0,3
1514655395,2,0
1514657312,2,0
1514659235,2,1
1514661408,1,2
1514663510,0,2
1514665464,3,3
1514667535,1,1
1514669866,9,89
1514672030,1,1
1514673983,1,2
1514675805,19,3
1514677853,4,1
1514679873,15,12
1514682083,2,0
1514683960,2,0
1514685879,2,1
1514688121,3,2
1514689975,0,4
1514691883,86,2
1514694043,1,1
1514695981,2,0
1514697869,1,0
1514699798,81,4
1514701743,66,48
1514703882,55,366
1514705806,0,2
1514707722,2,3
1514709629,4,189
1514711564,0,1
1514713487,2,1
1514715413,0,1
1514717302,1,5
