DateTime,Entries,UniqueIPs
1513666189,743,743
1513668014,743,743
1513669969,742,742
1513671856,704,704
1513673786,702,702
1513675965,704,704
1513680469,756,756
1513682411,880,880
1513684346,807,807
1513686381,811,811
1513688485,813,813
1513690640,813,813
1513692524,813,813
1513694462,812,812
1513696370,814,814
1513698305,815,815
1513700208,816,816
1513702121,816,816
1513704169,815,815
1513705982,814,814
1513708130,814,814
1513710097,813,813
1513712913,812,812
1513717371,815,815
1513720974,712,712
1513723099,710,710
1513727660,712,712
1513729468,713,713
1513732447,714,714
1513734267,713,713
1513736290,715,715
1513738121,867,867
1513740109,896,896
1513741965,1105,1105
1513743923,1107,1107
1513745811,1114,1114
1513747774,1113,1113
1513749690,1129,1129
1513751632,1078,1078
1513753482,1131,1131
1513755680,1130,1130
1513757563,1129,1129
1513759758,1130,1130
1513762065,2165,2165
1513764095,2169,2169
1513766182,2117,2117
1513768113,1951,1951
1513770265,1950,1950
1513772080,1949,1949
1513774052,1946,1946
1513776271,1943,1943
1513778204,2021,2021
1513780139,2021,2021
1513782098,2020,2020
1513783965,2021,2021
1513785899,2026,2026
1513787830,2024,2024
1513795478,2024,2024
1513798648,2024,2024
1513800533,2021,2021
1513802477,2021,2021
1513804383,2021,2021
1513806338,2048,2048
1513808621,2093,2093
1513810593,2077,2077
1513813092,2081,2081
1513814947,2082,2082
1513817068,2117,2117
1513818988,2116,2116
1513820811,2117,2117
1513822827,2117,2117
1513824679,1942,1942
1513826663,1942,1942
1513828520,1738,1738
1513830511,1736,1736
1513832354,1729,1729
1513834602,1726,1726
1513836526,1724,1724
1513838495,1723,1723
1513840371,1722,1722
1513842261,1723,1723
1513846604,1652,1652
1513848523,758,758
1513850501,759,759
1513852607,759,759
1513854531,961,961
1513856436,962,962
1513858470,962,962
1513860294,966,966
1513862223,965,965
1513864377,923,923
1513866276,931,931
1513868481,932,932
1513870368,934,934
1513872291,929,929
1513874198,930,930
1513876352,932,932
1513878308,934,934
1513880183,935,935
1513882354,937,937
1513884284,935,935
1513888672,935,935
1513892782,974,974
1513896193,832,832
1513901670,800,800
1513908285,1013,1013
1513910191,1012,1012
1513912373,1012,1012
1513914275,1081,1081
1513916194,1079,1079
1513918589,1080,1080
1513920497,1038,1038
1513922504,1043,1043
1513924373,1044,1044
1513928191,1042,1042
1513930374,1043,1043
1513932269,1112,1112
1513934382,1110,1110
1513936389,1112,1112
1513938212,1112,1112
1513940293,1057,1057
1513942381,902,902
1513944291,902,902
1513946204,900,900
1513948235,900,900
1513950037,902,902
1513952024,902,902
1513953867,904,904
1513955851,902,902
1513957729,900,900
1513959679,900,900
1513961556,900,900
1513963539,897,897
1513965412,852,852
1513967378,853,853
1513969285,865,865
1513971222,866,866
1513973074,867,867
1513975058,868,868
1513976922,826,826
1513978876,828,828
1513980774,825,825
1513982748,823,823
1513984860,828,828
1513986987,829,829
1513991052,829,829
1513992983,831,831
1513995161,693,693
1513998986,693,693
1514000910,578,578
1514002824,577,577
1514004740,579,579
1514006679,599,599
1514008588,590,590
1514010501,589,589
1514012483,591,591
1514014360,594,594
1514016266,593,593
1514018187,561,561
1514020100,480,480
1514022020,483,483
1514023953,489,489
1514025865,485,485
1514027793,484,484
1514029711,603,603
1514033862,609,609
1514035710,609,609
1514039554,613,613
1514041479,614,614
1514043389,614,614
1514045298,615,615
1514047219,616,616
1514049144,614,614
1514051064,615,615
1514053090,614,614
1514054908,612,612
1514056824,601,601
1514058754,602,602
1514060669,603,603
1514062589,603,603
1514064518,613,613
1514066484,614,614
1514068364,626,626
1514070180,623,623
1514072206,623,623
1514074141,620,620
1514076049,641,641
1514077968,643,643
1514080030,642,642
1514082268,642,642
1514084206,642,642
1514086124,643,643
1514088082,643,643
1514089964,642,642
1514091886,622,622
1514094040,676,676
1514095962,677,677
1514097857,1104,1104
1514099815,1101,1101
1514102043,1100,1100
1514103874,1098,1098
1514105845,1098,1098
1514107792,1093,1093
1514109936,1083,1083
1514114028,1083,1083
1514116001,1085,1085
1514117885,1086,1086
1514119820,962,962
1514121686,963,963
1514123722,963,963
1514125535,959,959
1514127520,959,959
1514129391,960,960
1514131445,960,960
1514133274,960,960
1514137475,988,988
1514139417,987,987
1514141335,989,989
1514143673,989,989
1514145683,989,989
1514147553,1000,1000
1514149503,1000,1000
1514151645,1001,1001
1514153559,998,998
1514155484,992,992
1514157416,991,991
1514161249,992,992
1514163233,993,993
1514165072,993,993
1514167090,994,994
1514168911,992,992
1514170901,992,992
1514172752,1076,1076
1514174797,1077,1077
1514176614,1079,1079
1514178648,1080,1080
1514180453,1117,1117
1514182560,1118,1118
1514184510,971,971
1514186405,1051,1051
1514188600,1054,1054
1514190527,1131,1131
1514192485,1226,1226
1514194372,1228,1228
1514196281,1234,1234
1514198206,1236,1236
1514200132,1243,1243
1514202648,1249,1249
1514204683,1250,1250
1514206574,1253,1253
1514208600,1250,1250
1514210567,1255,1255
1514212571,1256,1256
1514214423,1256,1256
1514216670,1483,1483
1514218945,1516,1516
1514221284,1859,1859
1514223160,2352,2352
1514225068,2356,2356
1514227000,2357,2357
1514228915,2356,2356
1514230837,2357,2357
1514232767,2359,2359
1514234683,2351,2351
1514236590,2353,2353
1514238431,2344,2344
1514240435,2345,2345
1514242242,2343,2343
1514244059,2344,2344
1514246121,2345,2345
1514248088,2330,2330
1514249918,2331,2331
1514251719,2333,2333
1514253739,2331,2331
1514255577,2333,2333
1514257580,2332,2332
1514259389,2253,2253
1514261476,2250,2250
1514263452,2253,2253
1514265262,2255,2255
1514267079,2229,2229
1514269159,2227,2227
1514271141,2288,2288
1514273251,2286,2286
1514275285,2299,2299
1514277276,2109,2109
1514279078,2111,2111
1514281128,2114,2114
1514283100,2114,2114
1514285155,2111,2111
1514286994,2103,2103
1514289036,2097,2097
1514290850,2097,2097
1514292837,2095,2095
1514294689,2112,2112
1514296725,2114,2114
1514298544,2111,2111
1514302365,2109,2109
1514304359,1861,1861
1514306211,1861,1861
1514308258,1195,1195
1514310529,984,984
1514312674,1272,1272
1514314903,1354,1354
1514317011,1354,1354
1514319204,1350,1350
1514321084,1353,1353
1514323038,1352,1352
1514324943,1361,1361
1514326859,1542,1542
1514328733,1543,1543
1514330721,1545,1545
1514333480,1546,1546
1514336200,1544,1544
1514338269,1543,1543
1514342194,1541,1541
1514344364,1542,1542
1514346287,1543,1543
1514348217,1543,1543
1514350123,1539,1539
1514352041,1537,1537
1514354494,1642,1642
1514356363,1639,1639
1514358269,1640,1640
1514360206,1643,1643
1514362120,1643,1643
1514364023,1646,1646
1514365945,1644,1644
1514368126,1640,1640
1514370023,1639,1639
1514371977,1639,1639
1514373879,1636,1636
1514376088,1637,1637
1514378205,1638,1638
1514380110,1637,1637
1514382037,1620,1620
1514384224,1622,1622
1514386359,1651,1651
1514388281,1652,1652
1514390207,1652,1652
1514392116,1651,1651
1514395980,1653,1653
1514397794,1654,1654
1514399826,1370,1370
1514401901,1287,1287
1514403859,1289,1289
1514405815,1289,1289
1514407691,1286,1286
1514409709,1286,1286
1514411557,1285,1285
1514413394,1108,1108
1514415406,1108,1108
1514417325,1105,1105
1514419503,1106,1106
1514421408,1099,1099
1514423333,1085,1085
1514425487,1087,1087
1514427423,1091,1091
1514429311,1091,1091
1514431265,1088,1088
1514433415,1088,1088
