DateTime,Entries,UniqueIPs
1513700209,940,940
1513702121,941,941
1513704170,937,937
1513705982,932,932
1513708130,933,933
1513710097,931,931
1513712913,931,931
1513717371,932,932
1513720974,830,830
1513723099,827,827
1513727660,822,822
1513729468,820,820
1513732448,816,816
1513734268,813,813
1513736290,812,812
1513738123,966,966
1513740109,987,987
1513741966,1193,1193
1513743925,1194,1194
1513745811,1201,1201
1513747775,1201,1201
1513749690,1216,1216
1513751633,1165,1165
1513753483,1220,1220
1513755680,1218,1218
1513757564,1208,1208
1513759760,1209,1209
1513762067,2247,2247
1513764096,2246,2246
1513766182,2188,2188
1513768113,2019,2019
1513770266,2015,2015
1513772080,2013,2013
1513774053,2008,2008
1513776271,2003,2003
1513778204,2080,2080
1513780140,2078,2078
1513782100,2084,2084
1513783966,2084,2084
1513785900,2088,2088
1513787831,2085,2085
1513795479,2081,2081
1513798651,2079,2079
1513800535,2075,2075
1513802477,2078,2078
1513804385,2077,2077
1513806338,2107,2107
1513808622,2153,2153
1513810594,2135,2135
1513813092,2142,2142
1513814948,2143,2143
1513817069,2179,2179
1513818988,2177,2177
1513820811,2177,2177
1513822827,2177,2177
1513824682,2003,2003
1513826663,2004,2004
1513828522,1802,1802
1513830512,1801,1801
1513832355,1793,1793
1513834603,1789,1789
1513836526,1787,1787
1513838496,1789,1789
1513840372,1786,1786
1513842261,1787,1787
1513844461,1786,1786
1513846604,1713,1713
1513848523,819,819
1513850501,822,822
1513852608,820,820
1513854531,1023,1023
1513856436,1026,1026
1513858471,1026,1026
1513860294,1033,1033
1513862223,1034,1034
1513864378,990,990
1513866276,998,998
1513868485,987,987
1513870368,988,988
1513872292,984,984
1513874198,988,988
1513876352,991,991
1513878308,995,995
1513880184,997,997
1513882354,999,999
1513884285,997,997
1513888673,992,992
1513892812,1030,1030
1513896193,888,888
1513901670,853,853
1513908285,1067,1067
1513910192,1067,1067
1513912374,1064,1064
1513914275,1132,1132
1513916194,1129,1129
1513918589,1131,1131
1513920498,1091,1091
1513922504,1096,1096
1513924374,1097,1097
1513926342,1096,1096
1513928191,1096,1096
1513930375,1098,1098
1513932270,1166,1166
1513934382,1163,1163
1513936389,1164,1164
