DateTime,AddedIPs,RemovedIPs
1512364145,1,2
1512386210,0,1
1512408275,1,0
1512430363,10,0
1512452469,0,1
1512474489,0,1
1512497049,3,2
1512518921,0,1
1512541011,0,2
1512563087,1,4
1512584991,1,4
1512606976,0,4
1512629060,1,2
1512673105,0,1
1512695330,2,0
1512717393,0,1
1512783170,0,2
1512827329,1,1
1512849392,0,1
1512871497,2,1
1512915686,1,0
1512937966,3,1
1512959814,0,1
1512981864,0,1
1513003953,0,1
1513026254,1,11
1513048149,6,1
1513114127,0,2
1513136203,1,0
1513158274,2,0
1513180115,1,0
1513202203,1,1
1513224277,1,1
1513257629,2,0
1513301570,1,1
1513323622,0,1
1513345712,0,2
1513389879,0,1
1513411988,1,0
1513434051,1,0
1513477994,0,2
1513500019,2,0
1513521869,3,1
1513543956,0,3
1513588147,9,1
1513610004,7,0
1513632041,1,1
1513654101,2,6
1513719897,4,0
1513741967,0,1
1513764097,0,1
1513852609,0,1
1513897346,1,1
1513919306,0,1
1513941417,1,1
1513985812,1,0
1514007881,0,2
1514117887,0,5
1514139865,0,1
1514183894,0,5
1514205853,0,5
1514227964,1,1
1514249920,1,1
1514271881,4,1
1514315799,2,2
1514337767,1,5
1514359751,0,3
1514382039,6,0
1514404125,0,2
1514425979,1,0
1514491956,0,1
1514514024,1,0
1514535872,1,0
1514557784,1,0
1514602007,0,1
1514646158,1,0
1514689976,1,0
1514712097,1,0
