DateTime,Entries,UniqueIPs
1512342159,72,72
1512364145,71,71
1512386210,70,70
1512408275,71,71
1512430363,81,81
1512452469,80,80
1512474489,79,79
1512497049,80,80
1512518921,79,79
1512541011,77,77
1512563087,74,74
1512584991,71,71
1512606976,67,67
1512629060,66,66
1512673105,65,65
1512695330,67,67
1512717393,66,66
1512783170,64,64
1512827329,64,64
1512849392,63,63
1512871497,64,64
1512915686,65,65
1512937966,67,67
1512959814,66,66
1512981864,65,65
1513003953,64,64
1513026254,54,54
1513048149,59,59
1513114127,57,57
1513136203,58,58
1513158274,60,60
1513180115,61,61
1513202203,61,61
1513224277,61,61
1513257629,63,63
1513301570,63,63
1513323622,62,62
1513345712,60,60
1513389879,59,59
1513411988,60,60
1513434051,61,61
1513477994,59,59
1513500019,61,61
1513521869,63,63
1513543956,60,60
1513588147,68,68
1513610004,75,75
1513632041,75,75
1513654101,71,71
1513719897,75,75
1513741967,74,74
1513764097,73,73
1513852609,72,72
1513897346,72,72
1513919306,71,71
1513941417,71,71
1513985812,72,72
1514007881,70,70
1514117887,65,65
1514139865,64,64
1514183894,59,59
1514205853,54,54
1514227964,54,54
1514249920,54,54
1514271881,57,57
1514315799,57,57
1514337767,53,53
1514359751,50,50
1514382039,56,56
1514404125,54,54
1514425979,55,55
1514491956,54,54
1514514024,55,55
1514535872,56,56
1514557784,57,57
1514602007,56,56
1514646158,57,57
1514689976,58,58
1514712097,59,59
