DateTime,AddedIPs,RemovedIPs
1512372767,1,0
1512384277,0,1
1512392196,1,0
1512411420,0,1
1512415455,1,0
1512458190,0,1
1512477867,0,1
1512501898,0,1
1512561728,1,0
1512589037,1,0
1512602925,1,0
1512649567,0,1
1512655290,1,0
1512659302,21,0
1512668779,1,0
1512672522,1,0
1512674424,0,1
1512689008,0,1
1512690998,1,0
1512709017,22,0
1512710903,1,0
1512736379,1,0
1512740208,1,0
1512742120,0,1
1512745968,0,21
1512754118,0,1
1512759871,0,1
1512776665,0,1
1512795693,0,22
1512803540,0,1
1512822760,0,1
1512826840,0,1
1512896521,1,0
1512910108,1,0
1512922604,1,0
1512981865,0,1
1512997291,0,1
1513008762,0,1
1513012598,1,0
1513055783,1,0
1513098310,0,1
1513152095,1,0
1513177025,1,0
1513181467,0,1
1513239620,0,1
1513262123,0,1
1513275849,1,0
1513281884,1,0
1513295317,1,0
1513312742,1,0
1513361314,0,1
1513368986,0,1
1513381220,0,1
1513388919,1,0
1513394897,1,0
1513399010,0,1
1513406962,1,0
1513424694,1,0
1513458073,1,0
1513459972,1,0
1513475561,0,1
1513477474,1,0
1513479394,0,1
1513493793,0,1
1513511160,0,1
1513529542,1,0
1513545101,0,1
1513547082,0,1
1513562925,0,1
1513593861,1,0
1513607796,1,0
1513611639,1,0
1513617424,0,1
1513680470,0,1
1513694463,0,1
1513698308,0,1
1513749691,1,0
1513934383,1,0
1513969286,0,1
1513998988,2,0
1514016267,1,0
1514020101,0,1
1514086126,1,0
1514102046,0,2
1514107793,0,1
1514157417,1,0
1514172753,0,1
1514242243,0,1
1514248089,64,0
1514251720,2,0
1514257581,1,0
1514312675,17,0
1514336201,0,64
1514338270,0,2
1514344365,47,1
1514397795,0,17
1514403860,1,0
1514431266,0,47
1514461238,3,0
1514489559,0,1
1514516675,46,0
1514547623,0,3
1514585832,4,0
1514594092,59,0
1514600125,1,0
1514602008,0,46
1514672031,0,4
1514673984,74,0
1514679875,0,59
1514685880,0,1
