DateTime,AddedIPs,RemovedIPs
1513698310,5,5
1513700210,3,1
1513702122,2,6
1513704171,4,6
1513705983,1,4
1513708131,3,2
1513710098,0,7
1513712914,5,2
1513714993,3,4
1513720975,3,7
1513723100,0,3
1513727661,7,12
1513729469,2,3
1513732448,3,10
1513734269,2,3
1513736291,4,0
1513738124,4,0
1513740110,3,3
1513741968,3,6
1513743927,4,3
1513745813,6,2
1513747777,4,2
1513749693,1,2
1513751635,1,2
1513753484,4,5
1513755682,5,1
1513757565,2,2
1513759761,3,2
1513762068,3,3
1513764098,2,5
1513766183,2,6
1513768114,1,6
1513770267,7,2
1513772081,0,2
1513774054,6,1
1513776272,2,3
1513778205,1,5
1513780141,1,2
1513782101,5,1
1513783967,3,5
1513785901,7,2
1513787832,3,2
1513795479,3,10
1513798651,2,4
1513800536,10,4
1513802479,2,3
1513804387,3,1
1513806339,1,0
1513808624,3,0
1513810595,3,1
1513813093,3,6
1513814948,7,2
1513817070,5,2
1513818989,3,3
1513820812,3,1
1513822828,4,3
1513824683,0,3
1513826664,5,5
1513828523,3,2
1513830513,2,4
1513832356,2,7
1513834604,1,3
1513836527,5,0
1513838496,5,2
1513840372,2,3
1513842262,3,5
1513844462,4,4
1513846605,5,3
1513848524,2,2
1513850502,2,2
1513852610,6,1
1513854532,3,2
1513856437,2,6
1513858472,5,0
1513860295,1,5
1513862224,2,2
1513864379,4,2
1513866277,0,1
1513868486,1,5
1513870369,5,3
1513872293,2,7
1513874199,2,3
1513876353,1,1
1513878309,1,0
1513880184,4,0
1513882355,2,3
1513884286,5,1
1513888674,8,11
1513895531,9,7
1513897346,0,2
1513901671,5,10
1513908286,1,11
1513910193,3,2
1513912375,3,5
1513914276,1,2
1513916195,3,2
1513918590,1,3
1513920499,5,1
1513922505,5,3
1513924375,5,5
1513926343,7,4
1513928192,3,4
1513930376,2,6
1513932271,4,2
1513934383,4,4
1513936390,3,2
1513938214,1,3
1513940294,9,7
1513942383,2,1
1513944293,3,3
1513946206,2,4
1513948237,6,1
1513950039,7,3
1513952025,5,1
1513953868,4,1
1513955853,3,2
1513957730,3,4
1513959681,7,4
1513961557,2,1
1513963542,3,1
1513965413,3,1
1513967379,1,4
1513969286,5,4
1513971223,1,4
1513973075,4,2
1513975059,3,5
1513976925,2,4
1513978877,2,2
1513980775,4,3
1513982749,5,0
1513984862,7,1
1513986988,7,2
1513988933,4,2
1513991054,3,0
1513992984,8,1
1513995163,4,0
1513997061,3,3
1513998990,6,3
1514000912,7,1
1514002825,2,3
1514004741,3,0
1514006680,4,6
1514008589,2,5
1514010502,3,3
1514012484,4,8
1514014361,5,3
1514016267,1,2
1514018188,3,4
1514020101,3,4
1514022021,5,2
1514023954,3,1
1514025866,4,6
1514027794,2,5
1514029712,4,3
1514031884,8,3
1514033863,1,5
1514035711,3,7
1514037684,5,4
1514039556,2,3
1514041480,6,2
1514043390,3,3
1514045300,2,4
1514047221,5,6
1514049146,6,3
1514051065,7,4
1514053092,4,0
1514054912,4,3
1514056826,3,4
1514058755,2,2
1514060671,3,4
1514062591,2,2
1514064520,4,2
1514066486,4,3
1514068366,3,5
1514070182,2,3
1514072208,0,9
1514074143,3,6
1514076051,3,2
1514077970,3,7
