DateTime,Entries,UniqueIPs
1513698310,146,146
1513700210,148,148
1513702122,144,144
1513704171,142,142
1513705983,139,139
1513708131,140,140
1513710098,133,133
1513712914,136,136
1513714993,135,135
1513720975,131,131
1513723100,128,128
1513727661,123,123
1513729469,122,122
1513732448,115,115
1513734269,114,114
1513736291,118,118
1513738124,122,122
1513740110,122,122
1513741968,119,119
1513743927,120,120
1513745813,124,124
1513747777,126,126
1513749693,125,125
1513751635,124,124
1513753484,123,123
1513755682,127,127
1513757565,127,127
1513759761,128,128
1513762068,128,128
1513764098,125,125
1513766183,121,121
1513768114,116,116
1513770267,121,121
1513772081,119,119
1513774054,124,124
1513776272,123,123
1513778205,119,119
1513780141,118,118
1513782101,122,122
1513783967,120,120
1513785901,125,125
1513787832,126,126
1513795479,119,119
1513798651,117,117
1513800536,123,123
1513802479,122,122
1513804387,124,124
1513806339,125,125
1513808624,128,128
1513810595,130,130
1513813093,127,127
1513814948,132,132
1513817070,135,135
1513818989,135,135
1513820812,137,137
1513822828,138,138
1513824683,135,135
1513826664,135,135
1513828523,136,136
1513830513,134,134
1513832356,129,129
1513834604,127,127
1513836527,132,132
1513838496,135,135
1513840372,134,134
1513842262,132,132
1513844462,132,132
1513846605,134,134
1513848524,134,134
1513850502,134,134
1513852610,139,139
1513854532,140,140
1513856437,136,136
1513858472,141,141
1513860295,137,137
1513862224,137,137
1513864379,139,139
1513866277,138,138
1513868486,134,134
1513870369,136,136
1513872293,131,131
1513874199,130,130
1513876353,130,130
1513878309,131,131
1513880184,135,135
1513882355,134,134
1513884286,138,138
1513888674,135,135
1513895531,137,137
1513897346,135,135
1513901671,130,130
1513908286,120,120
1513910193,121,121
1513912375,119,119
1513914276,118,118
1513916195,119,119
1513918590,117,117
1513920499,121,121
1513922505,123,123
1513924375,123,123
1513926343,126,126
1513928192,125,125
1513930376,121,121
1513932271,123,123
1513934383,123,123
1513936390,124,124
1513938214,122,122
1513940294,124,124
1513942383,125,125
1513944293,125,125
1513946206,123,123
1513948237,128,128
1513950039,132,132
1513952025,136,136
1513953868,139,139
1513955853,140,140
1513957730,139,139
1513959681,142,142
1513961557,143,143
1513963542,145,145
1513965413,147,147
1513967379,144,144
1513969286,145,145
1513971223,142,142
1513973075,144,144
1513975059,142,142
1513976925,140,140
1513978877,140,140
1513980775,141,141
1513982749,146,146
1513984862,152,152
1513986988,157,157
1513988933,159,159
1513991054,162,162
1513992984,169,169
1513995163,173,173
1513997061,173,173
1513998990,176,176
1514000912,182,182
1514002825,181,181
1514004741,184,184
1514006680,182,182
1514008589,179,179
1514010502,179,179
1514012484,175,175
1514014361,177,177
1514016267,176,176
1514018188,175,175
1514020101,174,174
1514022021,177,177
1514023954,179,179
1514025866,177,177
1514027794,174,174
1514029712,175,175
1514031884,180,180
1514033863,176,176
1514035711,172,172
1514037684,173,173
1514039556,172,172
1514041480,176,176
1514043390,176,176
1514045300,174,174
1514047221,173,173
1514049146,176,176
1514051065,179,179
1514053092,183,183
1514054912,184,184
1514056826,183,183
1514058755,183,183
1514060671,182,182
1514062591,182,182
1514064520,184,184
1514066486,185,185
1514068366,183,183
1514070182,182,182
1514072208,173,173
1514074143,170,170
1514076051,171,171
1514077970,167,167
1514080032,163,163
1514082270,168,168
1514084207,167,167
1514086127,161,161
1514088084,158,158
1514089966,159,159
1514091888,158,158
1514094042,159,159
1514095964,159,159
1514097860,155,155
1514099818,150,150
1514102046,154,154
1514103877,154,154
1514105848,155,155
1514107793,150,150
1514109937,151,151
1514111794,154,154
1514114029,154,154
1514116002,152,152
1514117887,149,149
1514119823,151,151
1514121687,149,149
1514123723,148,148
1514125536,153,153
1514127521,148,148
1514129392,149,149
1514131446,149,149
1514133275,147,147
1514135310,147,147
1514137476,143,143
1514139419,143,143
1514141337,140,140
1514143675,139,139
1514145686,138,138
1514147555,137,137
1514149505,135,135
1514151647,135,135
1514153561,133,133
1514155486,133,133
1514157418,133,133
1514161251,132,132
1514163235,132,132
1514165073,131,131
1514167091,129,129
1514168913,141,141
1514170902,144,144
1514172753,152,152
1514174798,153,153
1514176615,151,151
1514178649,155,155
1514180454,155,155
1514182561,153,153
1514184511,158,158
1514186406,158,158
1514188601,157,157
1514190528,158,158
1514192486,157,157
1514194374,159,159
1514196283,158,158
1514198207,154,154
1514200133,148,148
1514202649,147,147
1514204684,142,142
1514206575,142,142
1514208603,144,144
1514210570,142,142
1514212573,141,141
1514214424,146,146
1514216671,141,141
1514218947,142,142
1514221286,142,142
1514223161,141,141
1514225069,142,142
1514227002,143,143
1514228916,147,147
1514230838,147,147
1514232768,146,146
1514234684,147,147
1514236591,153,153
1514238433,154,154
1514240436,150,150
1514242244,150,150
1514244060,154,154
1514246123,157,157
1514248090,158,158
1514249921,161,161
1514251721,159,159
1514253740,153,153
1514255578,141,141
1514257582,143,143
1514259391,135,135
1514261479,133,133
1514265264,132,132
1514267081,130,130
1514269161,132,132
1514271143,128,128
1514273253,134,134
1514275286,133,133
1514277277,131,131
1514279079,130,130
1514281129,129,129
1514283101,132,132
1514285156,138,138
1514286995,140,140
1514289037,141,141
1514290851,143,143
1514292838,142,142
1514294690,145,145
1514296726,148,148
1514298545,147,147
1514300545,144,144
1514302367,147,147
1514304360,149,149
1514306212,150,150
1514308260,147,147
1514310531,148,148
1514312676,149,149
1514314905,142,142
1514317013,147,147
1514319205,145,145
1514321085,147,147
1514323039,147,147
1514324945,144,144
1514326861,145,145
1514328735,147,147
1514330722,146,146
1514333481,143,143
1514336201,144,144
1514338270,144,144
1514340146,151,151
1514342195,152,152
1514344365,147,147
1514346289,150,150
1514348218,157,157
1514350124,156,156
1514352042,153,153
1514354495,155,155
1514356364,152,152
1514358270,153,153
1514360207,147,147
1514362121,150,150
1514364024,149,149
1514365946,153,153
1514368127,155,155
1514370024,148,148
1514371978,145,145
1514373882,144,144
1514376090,145,145
1514378207,144,144
1514380112,141,141
1514382040,138,138
1514384226,139,139
1514386361,141,141
1514388283,137,137
1514390209,133,133
1514392118,137,137
1514394082,137,137
1514395982,135,135
1514397796,131,131
1514399827,135,135
1514401903,135,135
1514403861,134,134
1514405817,135,135
1514407693,136,136
1514409710,136,136
1514411558,142,142
1514413395,141,141
1514415407,141,141
1514417326,142,142
1514419504,140,140
1514421410,140,140
1514423335,140,140
1514425488,138,138
1514427424,139,139
1514429312,136,136
1514431266,136,136
1514433416,132,132
1514435322,139,139
1514437483,143,143
1514439635,140,140
1514441541,137,137
1514443476,140,140
1514445385,138,138
1514447297,139,139
1514449228,230,230
1514451156,291,291
1514453070,292,292
1514455286,295,295
1514457150,299,299
1514459315,307,307
1514461238,312,312
1514463414,323,323
1514465449,339,339
1514467455,348,348
1514469460,362,362
1514471818,381,381
1514473707,391,391
1514475562,406,406
1514477559,415,415
