DateTime,AddedIPs,RemovedIPs
1513619306,0,3
1513621462,2,1
1513623721,4,0
1513625580,3,0
1513627811,5,0
1513629651,8,0
1513631640,0,4
1513633480,1,1
1513637349,4,3
1513641166,1,4
1513643129,5,1
1513645110,6,1
1513647000,2,0
1513648973,1,0
1513650798,1,0
1513652681,1,0
1513654688,0,2
1513656508,3,0
1513658531,7,3
1513662358,0,1
1513664220,0,2
1513666191,0,2
1513668016,2,2
1513669970,3,1
1513671858,4,1
1513673790,3,1
1513675986,1,0
1513678439,2,0
1513680470,1,2
1513682413,0,1
1513684348,1,1
1513686383,1,1
1513690642,7,0
1513692526,1,0
1513694464,2,0
1513696376,0,2
1513698310,6,5
1513700210,5,7
1513702122,1,5
1513704171,1,0
1513705984,7,1
1513708131,11,2
1513710098,3,3
1513712914,6,4
1513714994,3,9
1513720975,12,4
1513723101,7,3
1513727662,10,3
1513729470,4,4
1513732449,7,9
1513734269,6,0
1513736292,8,1
1513738124,7,1
1513740110,11,1
1513741968,4,0
1513743927,9,5
1513745813,5,3
1513747777,5,1
1513749693,10,0
1513751635,2,0
1513753485,2,0
1513755683,5,3
1513757565,3,4
1513759762,3,4
1513762068,3,2
1513764099,0,2
1513766183,6,1
1513768115,1,0
1513770268,6,1
1513772082,5,0
1513774054,5,0
1513776273,4,6
1513778205,4,1
1513780141,3,2
1513782101,1,1
1513783967,4,0
1513785901,8,9
1513787832,1,2
1513793662,5,15
1513795480,3,6
1513798652,3,4
1513800537,4,5
1513802479,2,2
1513804387,6,4
1513806340,3,5
1513808624,5,3
1513810595,3,5
1513813094,1,4
1513814949,6,8
1513817070,8,5
1513818990,7,4
1513820813,2,7
1513822828,3,9
1513824686,2,7
1513826666,5,12
1513828523,3,4
1513830514,1,8
1513832356,1,5
1513834604,3,5
1513836528,1,8
1513838497,5,3
1513840373,5,3
1513842262,2,3
1513844463,0,3
1513846605,3,2
1513848524,1,3
1513850502,1,0
1513852611,2,5
1513854533,2,1
1513856438,1,6
1513858472,1,5
1513860295,1,4
1513862224,5,4
1513864379,2,6
1513866277,0,3
1513868486,0,1
1513870369,1,4
1513872293,1,8
1513874199,3,1
1513876353,0,2
1513878309,0,1
1513880185,0,3
1513882355,4,4
1513884286,1,0
1513888675,0,7
1513895531,2,15
1513897347,0,3
1513901671,1,9
1513908286,0,16
1513910193,1,4
1513912375,0,6
1513914277,1,4
1513916195,0,1
1513918590,1,1
1513920499,0,3
1513922506,1,1
1513924375,0,5
1513926343,1,2
1513928193,0,4
1513930377,1,1
1513932271,1,1
1513934384,0,1
1513936390,3,1
1513938214,2,3
1513940295,1,2
1513942384,0,2
1513944294,0,2
1513948237,1,6
1513950039,0,1
1513952025,1,2
1513957731,0,1
1513959681,2,1
1513961557,0,2
1513963542,3,0
1513965414,1,1
1513967380,0,2
1513969287,0,2
1513971223,0,1
1513973075,1,0
1513975059,6,0
1513978878,2,1
1513984862,2,1
1513988933,3,0
1513991054,2,0
1513992984,1,0
1513995163,3,0
1513997061,0,1
1513998992,1,0
1514000913,1,2
1514004741,1,1
1514006680,1,0
1514008589,0,1
1514012485,0,1
1514016267,1,1
1514018188,3,0
1514020101,6,1
1514022021,2,3
1514023955,1,1
1514025866,0,1
1514027795,1,1
1514029712,1,0
1514031885,0,1
1514033864,1,0
1514035712,0,1
1514039556,0,1
1514045300,0,2
1514049146,0,2
1514051066,0,2
1514056826,2,0
1514058756,1,0
1514060671,3,6
1514062591,1,1
1514064520,0,2
1514066486,0,1
1514068367,2,0
1514070182,1,0
1514072208,2,2
1514074143,2,2
1514076053,0,1
1514077970,1,2
1514080032,3,1
1514082271,1,3
1514084208,1,0
1514086128,1,1
1514088085,0,1
1514089966,1,0
1514091888,0,2
1514094042,1,0
1514095965,3,0
1514097861,1,0
1514099818,1,0
1514103877,0,3
1514105848,0,6
1514107794,0,2
1514109938,1,2
1514111794,1,0
1514114030,1,1
1514116002,0,1
1514119824,2,0
1514121687,1,1
1514125537,1,0
1514127521,2,0
1514129392,3,0
1514133275,1,0
1514137476,2,0
1514139420,6,0
1514141338,1,0
1514143677,1,2
1514145686,1,3
1514147555,1,1
1514149505,1,0
1514155487,2,2
1514157418,1,1
1514159241,0,2
1514161252,3,2
1514163237,1,0
1514165073,2,1
1514167091,2,3
1514168913,0,2
1514172753,3,1
1514176615,0,1
1514180454,0,1
1514182562,0,4
1514184511,1,1
1514186406,1,0
1514188601,1,0
1514190529,1,0
1514194374,1,0
1514196283,1,1
1514198207,2,1
1514200133,0,1
1514202650,1,0
1514206576,1,2
1514208604,1,1
1514210571,2,0
1514212573,1,1
1514214424,0,3
1514216672,1,2
1514218947,3,2
1514221286,10,0
1514223161,2,1
1514225070,5,3
1514227002,7,5
1514228916,3,1
1514230839,3,0
1514232768,3,2
1514234685,2,1
1514236591,2,0
1514238433,2,0
1514240436,2,0
1514242244,2,2
1514244060,2,1
1514248090,0,3
1514249921,1,1
1514251721,3,3
1514253741,2,1
1514255578,1,0
1514257583,10,0
1514259392,1,3
1514261479,2,0
1514263454,4,0
1514265264,4,0
1514267081,5,0
1514271143,0,1
1514273253,2,1
1514275287,2,1
1514277277,3,1
1514281129,1,2
1514285156,4,2
1514286995,2,0
1514289038,2,1
1514290852,4,0
1514292839,2,1
1514294690,4,1
1514296726,0,1
1514298546,4,0
1514300546,2,1
1514302367,1,1
1514304360,4,3
1514306212,1,5
1514308260,9,6
1514310531,2,2
1514312676,1,10
1514314905,3,3
1514317014,4,3
1514319206,3,4
1514321086,1,2
1514323040,0,2
1514324945,3,3
1514326861,1,1
1514328736,0,4
1514330723,2,0
1514333481,1,0
1514336202,1,1
1514338270,3,3
1514340146,0,3
1514342195,1,2
1514344366,0,9
1514346289,1,1
1514348219,4,2
1514350125,3,7
1514352043,2,1
1514354495,2,4
1514356364,3,0
1514358271,2,0
1514360208,2,2
1514362122,3,2
1514364025,2,3
1514365947,1,0
1514368127,2,1
1514370024,2,0
1514371978,0,4
1514373882,0,3
1514376090,0,1
1514378208,0,5
1514380113,0,1
1514382041,1,4
1514384227,1,2
1514386361,1,2
1514388284,0,3
1514390209,2,4
1514392119,2,0
1514394082,1,8
1514395982,3,3
1514397797,1,1
1514399828,5,1
1514401905,1,5
1514403861,1,3
1514405818,0,3
1514407693,6,0
1514409710,2,0
1514411558,1,2
1514413396,3,1
1514415409,2,0
1514417326,1,2
1514419505,2,1
1514421410,1,0
1514423335,2,1
1514425488,0,3
1514427425,4,1
1514429312,3,0
1514431266,2,1
1514433416,2,0
1514435323,7,5
1514437484,5,4
1514439636,2,2
1514441541,1,1
1514443476,6,5
1514445385,7,0
1514447297,4,4
1514449229,1,2
1514451157,2,1
1514453070,1,1
1514455286,9,2
1514457150,1,2
1514459315,1,0
1514461238,2,0
1514463414,1,0
1514465449,1,0
1514467456,2,0
1514471819,0,1
1514473707,1,1
1514475563,1,2
1514477559,3,1
1514479660,3,2
1514483528,2,4
1514485473,3,4
1514487733,3,2
1514489560,2,1
1514491494,2,0
1514493410,2,3
1514495343,6,3
1514497223,3,1
1514499145,6,2
1514501072,4,3
1514503085,0,2
1514505168,1,1
1514507078,1,2
1514509001,4,2
1514510919,9,0
1514512893,4,3
1514514783,3,3
1514516675,4,2
1514518618,1,2
1514520519,0,4
1514522704,2,6
1514524610,3,5
1514526526,1,1
1514528430,2,3
1514530368,3,9
1514532294,1,2
1514534223,1,3
1514536113,3,1
1514537997,2,2
1514539917,2,1
1514541934,2,10
1514545667,0,1
1514547624,1,2
1514549712,1,1
1514551723,1,1
1514553624,1,2
1514555528,2,0
1514557787,4,0
1514559690,2,1
1514562084,0,2
1514563988,1,3
1514565904,1,4
1514567814,1,0
1514569982,3,2
1514571867,3,3
1514573844,3,4
1514575723,2,1
1514577698,0,3
1514579800,1,2
1514581759,3,6
1514583625,0,3
1514585833,1,7
1514587722,3,4
1514589990,6,0
1514592133,6,1
1514594093,6,2
1514596120,1,4
1514598148,2,11
1514600126,3,1
1514602009,2,4
1514603945,4,1
1514605857,5,1
1514609737,2,4
1514611658,1,1
1514613486,1,2
1514615544,2,3
1514617399,3,1
1514619458,1,1
1514621304,0,1
1514623289,0,2
1514625408,1,4
1514627327,0,1
1514629249,4,1
1514633072,2,0
1514635016,1,1
1514636858,0,1
1514638896,1,1
1514641006,1,2
1514642913,4,3
1514644841,0,2
1514646763,1,2
1514649361,2,0
1514651562,4,3
1514653466,0,1
1514655396,0,2
1514657313,2,3
1514659236,0,2
1514661412,2,3
1514663512,1,1
1514665466,0,1
1514667536,2,2
1514669867,2,1
1514672031,0,1
1514673985,1,3
1514675808,0,5
1514677856,1,6
1514679876,2,5
1514682100,1,1
1514683961,1,3
1514685880,1,3
1514688122,2,2
1514689978,2,5
1514691884,2,3
1514694044,4,2
1514695982,7,3
1514697871,1,1
1514699800,1,1
1514701745,3,1
1514703885,0,4
1514705810,4,1
1514709631,6,0
1514711566,0,1
1514715415,3,4
1514717304,1,0
1514719245,4,2
