DateTime,Entries,UniqueIPs
1513619306,59,59
1513621462,60,60
1513623721,64,64
1513625580,67,67
1513627811,72,72
1513629651,80,80
1513631640,76,76
1513633480,76,76
1513637349,77,77
1513641166,74,74
1513643129,78,78
1513645110,83,83
1513647000,85,85
1513648973,86,86
1513650798,87,87
1513652681,88,88
1513654688,86,86
1513656508,89,89
1513658531,93,93
1513662358,92,92
1513664220,90,90
1513666191,88,88
1513668016,88,88
1513669970,90,90
1513671858,93,93
1513673790,95,95
1513675986,96,96
1513678439,98,98
1513680470,97,97
1513682413,96,96
1513684348,96,96
1513686383,96,96
1513690642,103,103
1513692526,104,104
1513694464,106,106
1513696376,104,104
1513698310,105,105
1513700210,103,103
1513702122,99,99
1513704171,100,100
1513705984,106,106
1513708131,115,115
1513710098,115,115
1513712914,117,117
1513714994,111,111
1513720975,119,119
1513723101,123,123
1513727662,130,130
1513729470,130,130
1513732449,128,128
1513734269,134,134
1513736292,141,141
1513738124,147,147
1513740110,157,157
1513741968,161,161
1513743927,165,165
1513745813,167,167
1513747777,171,171
1513749693,181,181
1513751635,183,183
1513753485,185,185
1513755683,187,187
1513757565,186,186
1513759762,185,185
1513762068,186,186
1513764099,184,184
1513766183,189,189
1513768115,190,190
1513770268,195,195
1513772082,200,200
1513774054,205,205
1513776273,203,203
1513778205,206,206
1513780141,207,207
1513782101,207,207
1513783967,211,211
1513785901,210,210
1513787832,209,209
1513793662,199,199
1513795480,196,196
1513798652,195,195
1513800537,194,194
1513802479,194,194
1513804387,196,196
1513806340,194,194
1513808624,196,196
1513810595,194,194
1513813094,191,191
1513814949,189,189
1513817070,192,192
1513818990,195,195
1513820813,190,190
1513822828,184,184
1513824686,179,179
1513826666,172,172
1513828523,171,171
1513830514,164,164
1513832356,160,160
1513834604,158,158
1513836528,151,151
1513838497,153,153
1513840373,155,155
1513842262,154,154
1513844463,151,151
1513846605,152,152
1513848524,150,150
1513850502,151,151
1513852611,148,148
1513854533,149,149
1513856438,144,144
1513858472,140,140
1513860295,137,137
1513862224,138,138
1513864379,134,134
1513866277,131,131
1513868486,130,130
1513870369,127,127
1513872293,120,120
1513874199,122,122
1513876353,120,120
1513878309,119,119
1513880185,116,116
1513882355,116,116
1513884286,117,117
1513888675,110,110
1513895531,97,97
1513897347,94,94
1513901671,86,86
1513908286,70,70
1513910193,67,67
1513912375,61,61
1513914277,58,58
1513916195,57,57
1513918590,57,57
1513920499,54,54
1513922506,54,54
1513924375,49,49
1513926343,48,48
1513928193,44,44
1513930377,44,44
1513932271,44,44
1513934384,43,43
1513936390,45,45
1513938214,44,44
1513940295,43,43
1513942384,41,41
1513944294,39,39
1513948237,34,34
1513950039,33,33
1513952025,32,32
1513957731,31,31
1513959681,32,32
1513961557,30,30
1513963542,33,33
1513965414,33,33
1513967380,31,31
1513969287,29,29
1513971223,28,28
1513973075,29,29
1513975059,35,35
1513978878,36,36
1513984862,37,37
1513988933,40,40
1513991054,42,42
1513992984,43,43
1513995163,46,46
1513997061,45,45
1513998992,46,46
1514000913,45,45
1514004741,45,45
1514006680,46,46
1514008589,45,45
1514012485,44,44
1514016267,44,44
1514018188,47,47
1514020101,52,52
1514022021,51,51
1514023955,51,51
1514025866,50,50
1514027795,50,50
1514029712,51,51
1514031885,50,50
1514033864,51,51
1514035712,50,50
1514039556,49,49
1514045300,47,47
1514049146,45,45
1514051066,43,43
1514056826,45,45
1514058756,46,46
1514060671,43,43
1514062591,43,43
1514064520,41,41
1514066486,40,40
1514068367,42,42
1514070182,43,43
1514072208,43,43
1514074143,43,43
1514076053,42,42
1514077970,41,41
1514080032,43,43
1514082271,41,41
1514084208,42,42
1514086128,42,42
1514088085,41,41
1514089966,42,42
1514091888,40,40
1514094042,41,41
1514095965,44,44
1514097861,45,45
1514099818,46,46
1514103877,43,43
1514105848,37,37
1514107794,35,35
1514109938,34,34
1514111794,35,35
1514114030,35,35
1514116002,34,34
1514119824,36,36
1514121687,36,36
1514125537,37,37
1514127521,39,39
1514129392,42,42
1514133275,43,43
1514137476,45,45
1514139420,51,51
1514141338,52,52
1514143677,51,51
1514145686,49,49
1514147555,49,49
1514149505,50,50
1514155487,50,50
1514157418,50,50
1514159241,48,48
1514161252,49,49
1514163237,50,50
1514165073,51,51
1514167091,50,50
1514168913,48,48
1514172753,50,50
1514176615,49,49
1514180454,48,48
1514182562,44,44
1514184511,44,44
1514186406,45,45
1514188601,46,46
1514190529,47,47
1514194374,48,48
1514196283,48,48
1514198207,49,49
1514200133,48,48
1514202650,49,49
1514206576,48,48
1514208604,48,48
1514210571,50,50
1514212573,50,50
1514214424,47,47
1514216672,46,46
1514218947,47,47
1514221286,57,57
1514223161,58,58
1514225070,60,60
1514227002,62,62
1514228916,64,64
1514230839,67,67
1514232768,68,68
1514234685,69,69
1514236591,71,71
1514238433,73,73
1514240436,75,75
1514242244,75,75
1514244060,76,76
1514248090,73,73
1514249921,73,73
1514251721,73,73
1514253741,74,74
1514255578,75,75
1514257583,85,85
1514259392,83,83
1514261479,85,85
1514263454,89,89
1514265264,93,93
1514267081,98,98
1514271143,97,97
1514273253,98,98
1514275287,99,99
1514277277,101,101
1514281129,100,100
1514285156,102,102
1514286995,104,104
1514289038,105,105
1514290852,109,109
1514292839,110,110
1514294690,113,113
1514296726,112,112
1514298546,116,116
1514300546,117,117
1514302367,117,117
1514304360,118,118
1514306212,114,114
1514308260,117,117
1514310531,117,117
1514312676,108,108
1514314905,108,108
1514317014,109,109
1514319206,108,108
1514321086,107,107
1514323040,105,105
1514324945,105,105
1514326861,105,105
1514328736,101,101
1514330723,103,103
1514333481,104,104
1514336202,104,104
1514338270,104,104
1514340146,101,101
1514342195,100,100
1514344366,91,91
1514346289,91,91
1514348219,93,93
1514350125,89,89
1514352043,90,90
1514354495,88,88
1514356364,91,91
1514358271,93,93
1514360208,93,93
1514362122,94,94
1514364025,93,93
1514365947,94,94
1514368127,95,95
1514370024,97,97
1514371978,93,93
1514373882,90,90
1514376090,89,89
1514378208,84,84
1514380113,83,83
1514382041,80,80
1514384227,79,79
1514386361,78,78
1514388284,75,75
1514390209,73,73
1514392119,75,75
1514394082,68,68
1514395982,68,68
1514397797,68,68
1514399828,72,72
1514401905,68,68
1514403861,66,66
1514405818,63,63
1514407693,69,69
1514409710,71,71
1514411558,70,70
1514413396,72,72
1514415409,74,74
1514417326,73,73
1514419505,74,74
1514421410,75,75
1514423335,76,76
1514425488,73,73
1514427425,76,76
1514429312,79,79
1514431266,80,80
1514433416,82,82
1514435323,84,84
1514437484,85,85
1514439636,85,85
1514441541,85,85
1514443476,86,86
1514445385,93,93
1514447297,93,93
1514449229,92,92
1514451157,93,93
1514453070,93,93
1514455286,100,100
1514457150,99,99
1514459315,100,100
1514461238,102,102
1514463414,103,103
1514465449,104,104
1514467456,106,106
1514471819,105,105
1514473707,105,105
1514475563,104,104
1514477559,106,106
1514479660,107,107
1514483528,105,105
1514485473,104,104
1514487733,105,105
1514489560,106,106
1514491494,108,108
1514493410,107,107
1514495343,110,110
1514497223,112,112
1514499145,116,116
1514501072,117,117
1514503085,115,115
1514505168,115,115
1514507078,114,114
1514509001,116,116
1514510919,125,125
1514512893,126,126
1514514783,126,126
1514516675,128,128
1514518618,127,127
1514520519,123,123
1514522704,119,119
1514524610,117,117
1514526526,117,117
1514528430,116,116
1514530368,110,110
1514532294,109,109
1514534223,107,107
1514536113,109,109
1514537997,109,109
1514539917,110,110
1514541934,102,102
1514545667,101,101
1514547624,100,100
1514549712,100,100
1514551723,100,100
1514553624,99,99
1514555528,101,101
1514557787,105,105
1514559690,106,106
1514562084,104,104
1514563988,102,102
1514565904,99,99
1514567814,100,100
1514569982,101,101
1514571867,101,101
1514573844,100,100
1514575723,101,101
1514577698,98,98
1514579800,97,97
1514581759,94,94
1514583625,91,91
1514585833,85,85
1514587722,84,84
1514589990,90,90
1514592133,95,95
1514594093,99,99
1514596120,96,96
1514598148,87,87
1514600126,89,89
1514602009,87,87
1514603945,90,90
1514605857,94,94
1514609737,92,92
1514611658,92,92
1514613486,91,91
1514615544,90,90
1514617399,92,92
1514619458,92,92
1514621304,91,91
1514623289,89,89
1514625408,86,86
1514627327,85,85
1514629249,88,88
1514633072,90,90
1514635016,90,90
1514636858,89,89
1514638896,89,89
1514641006,88,88
1514642913,89,89
1514644841,87,87
1514646763,86,86
1514649361,88,88
1514651562,89,89
1514653466,88,88
1514655396,86,86
1514657313,85,85
1514659236,83,83
1514661412,82,82
1514663512,82,82
1514665466,81,81
1514667536,81,81
1514669867,82,82
1514672031,81,81
1514673985,79,79
1514675808,74,74
1514677856,69,69
1514679876,66,66
1514682100,66,66
1514683961,64,64
1514685880,62,62
1514688122,62,62
1514689978,59,59
1514691884,58,58
1514694044,60,60
1514695982,64,64
1514697871,64,64
1514699800,64,64
1514701745,66,66
1514703885,62,62
1514705810,65,65
1514709631,71,71
1514711566,70,70
1514715415,69,69
1514717304,70,70
1514719245,72,72
