DateTime,Entries,UniqueIPs
1513521648,60,60
1513523567,60,60
1513525458,62,62
1513527383,63,63
1513529322,64,64
1513533136,67,67
1513535316,69,69
1513537290,73,73
1513539149,74,74
1513541090,77,77
1513542985,79,79
1513547084,83,83
1513549247,83,83
1513551153,88,88
1513552990,90,90
1513555315,94,94
1513557187,98,98
1513559094,100,100
1513561010,100,100
1513564835,101,101
1513568676,100,100
1513570624,98,98
1513572515,98,98
1513574460,95,95
1513576368,94,94
1513578294,88,88
1513580210,89,89
1513582125,93,93
1513584092,91,91
1513586000,91,91
1513588150,88,88
1513590032,82,82
1513591970,86,86
1513593863,88,88
1513596039,88,88
1513597965,85,85
1513600102,84,84
1513602093,85,85
1513603967,87,87
1513605878,90,90
1513607797,89,89
1513609699,88,88
1513611640,87,87
1513613569,90,90
1513615458,90,90
1513619306,89,89
1513621463,87,87
1513623722,83,83
1513625581,81,81
1513627812,77,77
1513629651,77,77
1513631641,76,76
1513633481,72,72
1513635506,74,74
1513637349,69,69
1513639339,66,66
1513641166,62,62
1513643130,61,61
1513645111,56,56
1513647001,55,55
1513650798,54,54
1513652681,54,54
1513656509,55,55
1513658532,54,54
1513662359,53,53
1513664221,54,54
1513666191,52,52
1513668017,52,52
1513669971,53,53
1513671858,52,52
1513673791,53,53
1513675987,55,55
1513678440,55,55
1513680471,52,52
1513682414,49,49
1513684349,53,53
1513686384,55,55
1513688487,57,57
1513690643,57,57
1513692526,55,55
1513696377,57,57
1513698311,60,60
1513700211,58,58
1513704172,59,59
1513705984,58,58
1513714995,57,57
1513720976,55,55
1513723101,57,57
1513732449,58,58
1513738125,57,57
1513747778,60,60
1513749695,64,64
1513751636,64,64
1513753485,66,66
1513755683,65,65
1513757566,67,67
1513759762,72,72
1513762069,72,72
1513764099,73,73
1513766184,72,72
1513768115,72,72
1513770268,69,69
1513772082,69,69
1513774054,67,67
1513776273,66,66
1513778206,63,63
1513782102,59,59
1513783968,57,57
1513785902,56,56
1513787832,57,57
1513793668,55,55
1513798652,56,56
1513800537,57,57
1513802480,56,56
1513806340,57,57
1513810595,56,56
1513813094,57,57
1513818990,56,56
1513822829,58,58
1513828524,59,59
1513834605,54,54
1513836528,52,52
1513838497,50,50
1513840373,45,45
1513844463,38,38
1513846606,35,35
1513848525,33,33
1513850503,29,29
1513852612,27,27
1513854533,25,25
1513856438,22,22
1513858473,19,19
1513860296,22,22
1513862225,23,23
1513864380,24,24
1513866278,28,28
1513868487,31,31
1513870370,34,34
1513872293,38,38
1513874200,39,39
1513876354,41,41
1513878310,40,40
1513880185,44,44
1513882356,46,46
1513884287,48,48
1513888675,52,52
1513895532,57,57
1513897347,55,55
1513901672,59,59
1513908287,61,61
1513910193,63,63
1513912376,65,65
1513914277,67,67
1513916196,66,66
1513920500,67,67
1513926344,68,68
1513928193,69,69
1513930377,68,68
1513932272,69,69
1513934386,70,70
1513936391,71,71
1513942384,71,71
1513944294,70,70
1513946206,68,68
1513948238,69,69
1513950040,69,69
1513952026,66,66
1513953869,68,68
1513955853,64,64
1513957731,67,67
1513959681,67,67
1513961558,71,71
1513963543,70,70
1513965414,68,68
1513967380,69,69
1513969287,69,69
1513971224,68,68
1513973076,67,67
1513975060,69,69
1513976926,67,67
1513978878,67,67
1513980776,67,67
1513982750,71,71
1513984862,69,69
1513986989,69,69
1513988934,69,69
1513991055,71,71
1513995164,67,67
1513997062,66,66
1513998993,64,64
1514000913,62,62
1514006681,63,63
1514012485,63,63
1514014361,62,62
1514018189,60,60
1514020102,59,59
1514023955,58,58
1514025867,58,58
1514027795,59,59
1514029713,61,61
1514031885,62,62
1514033864,64,64
1514035712,62,62
1514037685,68,68
1514039556,65,65
1514041481,68,68
1514043391,66,66
1514045301,61,61
1514047221,57,57
1514049147,57,57
1514053093,58,58
1514054913,54,54
1514058756,55,55
1514060672,53,53
1514062592,51,51
1514064521,49,49
1514066487,48,48
1514068367,46,46
1514070183,44,44
1514072209,45,45
1514074144,44,44
1514076054,43,43
1514077971,41,41
1514080033,44,44
1514082272,45,45
1514084208,48,48
1514086130,49,49
1514088085,50,50
1514094043,49,49
1514095965,51,51
1514097861,51,51
1514099819,53,53
1514102047,54,54
1514103878,55,55
1514105849,56,56
1514109938,55,55
1514114030,54,54
1514116003,52,52
1514117888,51,51
1514119824,47,47
1514123724,45,45
1514125537,45,45
1514127522,43,43
1514129393,42,42
1514131447,44,44
1514133276,44,44
1514135311,47,47
1514137477,50,50
1514139420,48,48
1514141338,53,53
1514143678,57,57
1514145686,60,60
1514147556,62,62
1514149506,64,64
1514151648,65,65
1514153562,66,66
1514155487,70,70
1514157419,68,68
1514159241,70,70
1514165074,71,71
1514167092,68,68
1514168914,68,68
1514170903,65,65
