DateTime,Entries,UniqueIPs
1513692526,797,797
1513694464,801,801
1513696376,797,797
1513698311,795,795
1513700210,801,801
1513702123,800,800
1513704172,798,798
1513705984,796,796
1513708132,792,792
1513710099,792,792
1513712914,783,783
1513714994,780,780
1513720976,777,777
1513723101,770,770
1513726700,755,755
1513728614,747,747
1513732449,731,731
1513734269,719,719
1513736292,717,717
1513738125,702,702
1513740111,695,695
1513741969,683,683
1513743927,675,675
1513745813,666,666
1513747778,656,656
1513749695,643,643
1513751635,631,631
1513753485,624,624
1513755683,609,609
1513757565,593,593
1513759762,581,581
1513762069,568,568
1513764099,556,556
1513766184,543,543
1513768115,527,527
1513770268,505,505
1513772082,491,491
1513774054,486,486
1513776273,479,479
1513778206,479,479
1513780141,479,479
1513782102,473,473
1513783967,467,467
1513785901,467,467
1513787832,456,456
1513793667,434,434
1513795480,427,427
1513798652,418,418
1513800537,409,409
1513802479,398,398
1513804387,395,395
1513806340,411,411
1513808625,427,427
1513810595,448,448
1513813094,467,467
1513814949,486,486
1513817071,506,506
1513818990,531,531
1513820813,540,540
1513822829,552,552
1513824687,571,571
1513826667,585,585
1513828523,604,604
1513830514,610,610
1513832356,626,626
1513834604,640,640
1513836528,655,655
1513838497,671,671
1513840373,675,675
1513842263,686,686
1513844463,698,698
1513846605,722,722
1513848525,727,727
1513850503,741,741
1513852611,750,750
1513854533,758,758
1513856438,758,758
1513858472,756,756
1513860295,765,765
1513862225,765,765
1513864379,772,772
1513866277,774,774
1513868486,779,779
1513870370,790,790
1513872293,784,784
1513874200,795,795
1513876354,799,799
1513878309,807,807
1513880185,810,810
1513882355,813,813
1513884286,820,820
1513888675,820,820
1513895532,789,789
1513897347,783,783
1513901671,779,779
1513908287,754,754
1513910193,752,752
1513912375,744,744
1513914277,747,747
1513916196,747,747
1513918590,746,746
1513920499,749,749
1513922506,750,750
1513924375,749,749
1513926343,756,756
1513928193,755,755
1513930377,752,752
1513932271,741,741
1513934385,745,745
1513936391,740,740
1513938214,737,737
1513940295,735,735
1513942384,730,730
1513944294,728,728
1513946206,719,719
1513948237,717,717
1513950039,711,711
1513952026,702,702
1513953869,693,693
1513955853,681,681
1513957731,677,677
1513959681,674,674
1513961558,664,664
1513963543,666,666
1513965414,655,655
1513967380,654,654
1513969287,653,653
1513971224,646,646
1513973076,655,655
1513975060,661,661
1513976925,662,662
1513978878,676,676
1513980775,683,683
1513982749,692,692
1513984862,697,697
1513986989,707,707
1513988933,702,702
1513991054,713,713
1513992985,714,714
1513995163,705,705
1513997061,700,700
1513998992,700,700
1514000913,703,703
1514002825,702,702
1514004741,701,701
1514006681,696,696
1514008589,693,693
1514010503,695,695
1514012485,691,691
1514014361,694,694
1514016267,686,686
1514018188,688,688
1514020102,683,683
1514022022,686,686
1514023955,672,672
1514025866,665,665
1514027795,667,667
1514029713,666,666
1514031885,668,668
1514033864,666,666
1514035712,662,662
1514037685,662,662
1514039556,661,661
1514041480,661,661
1514043390,660,660
1514045301,656,656
1514047221,652,652
1514049147,646,646
1514051066,634,634
1514053092,627,627
1514054912,617,617
1514056826,611,611
1514058756,604,604
