DateTime,Entries,UniqueIPs
1513459974,67,67
1513461871,66,66
1513463789,67,67
1513481314,66,66
1513483284,65,65
1513485168,66,66
1513490926,67,67
1513492827,67,67
1513494758,68,68
1513496685,70,70
1513504360,68,68
1513506282,54,54
1513508186,50,50
1513510128,48,48
1513512109,49,49
1513513959,48,48
1513515880,45,45
1513517780,46,46
1513519729,47,47
1513523568,48,48
1513527384,49,49
1513529323,48,48
1513533137,47,47
1513535318,46,46
1513541091,46,46
1513545103,48,48
1513547084,47,47
1513549248,46,46
1513552991,47,47
1513555315,46,46
1513557187,45,45
1513559094,44,44
1513561011,45,45
1513562928,43,43
1513564835,42,42
1513568676,43,43
1513570624,41,41
1513572516,40,40
1513574461,38,38
1513576369,39,39
1513578294,38,38
1513580211,36,36
1513582126,35,35
1513593865,36,36
1513596040,34,34
1513597965,31,31
1513600102,31,31
1513603968,30,30
1513605878,29,29
1513607798,30,30
1513609699,27,27
1513611641,29,29
1513613570,33,33
1513615459,34,34
1513617426,34,34
1513619307,36,36
1513621463,35,35
1513623722,36,36
1513627813,35,35
1513633481,36,36
1513647003,36,36
1513654690,35,35
1513656510,36,36
1513664222,37,37
1513668018,37,37
1513671859,37,37
1513673791,36,36
1513675988,37,37
1513680472,36,36
1513684349,35,35
1513686384,34,34
1513692527,34,34
1513694465,33,33
1513698312,31,31
1513700212,28,28
1513702124,26,26
1513704172,25,25
1513705985,23,23
1513708133,22,22
1513710100,19,19
1513714995,18,18
1513720977,18,18
1513726701,19,19
1513733328,20,20
1513736293,19,19
1513738126,20,20
1513741970,19,19
1513743928,20,20
1513749696,21,21
1513751637,22,22
1513755684,21,21
1513759763,21,21
1513762070,20,20
1513764100,22,22
1513768116,23,23
1513780142,23,23
1513783968,24,24
1513785902,23,23
1513787833,24,24
1513793668,27,27
1513795481,29,29
1513798653,31,31
1513800538,37,37
1513802480,44,44
1513804388,48,48
1513806341,54,54
1513808625,58,58
1513810596,61,61
1513813095,63,63
1513814950,67,67
1513817072,69,69
1513818991,71,71
1513820814,75,75
1513822829,81,81
1513824688,83,83
1513826668,86,86
1513830515,88,88
1513834605,89,89
1513836529,88,88
1513838498,98,98
1513840374,99,99
1513846607,98,98
1513848527,100,100
1513850504,100,100
1513854534,101,101
1513856439,102,102
1513862226,103,103
1513866278,102,102
1513868487,103,103
1513870371,104,104
1513874200,103,103
1513876354,105,105
1513878310,106,106
1513880186,104,104
1513882356,102,102
1513884287,101,101
1513888676,90,90
1513895533,73,73
1513897348,73,73
1513901672,71,71
1513908288,63,63
1513910194,57,57
1513912376,58,58
1513914278,60,60
1513916196,63,63
1513918591,67,67
1513920500,71,71
1513922507,72,72
1513924376,76,76
1513926344,77,77
1513928194,78,78
1513930378,82,82
1513932272,83,83
1513936392,80,80
1513938215,81,81
1513940296,82,82
1513942385,80,80
1513946208,83,83
1513948239,83,83
1513950041,85,85
1513952026,86,86
1513953870,86,86
1513955854,89,89
1513957732,90,90
1513961558,92,92
1513963544,91,91
1513965415,90,90
1513967381,90,90
1513969288,92,92
1513971225,91,91
1513973076,90,90
1513975060,91,91
1513978879,90,90
1513980776,89,89
1513982750,91,91
1513984863,93,93
1513986990,91,91
1513988934,90,90
1513991055,91,91
1513992986,92,92
1513995165,94,94
1513997063,93,93
1513998994,92,92
1514000915,87,87
1514002826,84,84
1514004742,79,79
1514006682,76,76
1514008590,76,76
1514010504,78,78
1514012486,79,79
1514014362,78,78
1514016269,78,78
1514018189,77,77
1514020102,79,79
1514022022,80,80
1514023956,83,83
1514025867,82,82
1514027796,84,84
1514029713,86,86
1514031886,85,85
1514033865,90,90
1514035713,88,88
1514037685,89,89
1514039557,93,93
1514041481,89,89
1514043391,89,89
1514045302,91,91
1514047223,90,90
1514049148,92,92
1514053094,92,92
1514054914,92,92
1514058758,93,93
1514060672,93,93
1514062592,95,95
1514064522,99,99
1514066487,101,101
1514068368,102,102
1514070183,100,100
1514072210,102,102
1514074145,101,101
1514076054,100,100
1514077971,99,99
1514080033,97,97
1514082272,98,98
1514084209,99,99
1514086130,98,98
1514091889,96,96
1514094043,95,95
1514095966,94,94
1514097862,92,92
1514099820,91,91
1514102047,88,88
1514103879,87,87
1514105850,84,84
1514107795,81,81
1514109939,78,78
1514111796,80,80
1514114031,78,78
