DateTime,Entries,UniqueIPs
1513696378,335,335
1513698312,335,335
1513700214,332,332
1513702125,335,335
1513704173,333,333
1513705985,335,335
1513708133,337,337
1513710100,337,337
1513712915,340,340
1513714995,343,343
1513720977,345,345
1513723102,345,345
1513726702,348,348
1513728615,346,346
1513731522,347,347
1513733329,350,350
1513735281,349,349
1513737166,352,352
1513739084,352,352
1513741012,354,354
1513742931,356,356
1513744829,360,360
1513746778,361,361
1513748674,365,365
1513750617,364,364
1513752505,365,365
1513754475,366,366
1513756354,368,368
1513758234,365,365
1513761188,363,363
1513763061,246,246
1513765056,240,240
1513767160,229,229
1513769111,220,220
1513771005,219,219
1513772965,220,220
1513774886,220,220
1513776804,216,216
1513778671,216,216
1513780610,214,214
1513782560,214,214
1513784496,209,209
1513786406,248,248
1513790569,241,241
1513793669,238,238
1513795482,235,235
1513798653,230,230
1513800538,232,232
1513802480,229,229
1513804388,229,229
1513806341,225,225
1513808626,226,226
1513810596,225,225
1513813095,222,222
1513814950,223,223
1513817072,224,224
1513818991,224,224
1513820814,221,221
1513822830,220,220
1513824689,219,219
1513826668,221,221
1513828524,216,216
1513830515,219,219
1513832357,215,215
1513834605,212,212
1513836529,212,212
1513838498,218,218
1513840374,215,215
1513842264,212,212
1513844465,212,212
1513846607,203,203
1513848527,203,203
1513850504,207,207
1513852613,208,208
1513854534,212,212
1513856439,213,213
1513858473,213,213
1513860296,213,213
1513862226,215,215
1513864380,212,212
1513866279,215,215
1513868488,213,213
1513870371,217,217
1513872294,176,176
1513874201,177,177
1513876355,178,178
1513878311,180,180
1513880186,180,180
1513882357,188,188
1513884288,189,189
1513888676,187,187
1513895533,181,181
1513897348,182,182
1513901673,184,184
1513908288,172,172
1513910194,175,175
1513912376,173,173
1513914278,169,169
1513916197,170,170
1513918592,175,175
1513920501,175,175
1513922507,177,177
1513924376,180,180
1513926344,181,181
1513928195,182,182
1513930378,183,183
1513932272,184,184
1513934386,185,185
1513936392,180,180
1513938215,178,178
