DateTime,AddedIPs,RemovedIPs
1513710100,54,25
1513712916,100,53
1513714997,90,46
1513720977,283,118
1513723103,94,11
1513726702,156,26
1513728615,79,14
1513731523,141,23
1513733329,61,8
1513735288,39,23
1513737167,46,8
1513739084,30,23
1513741012,41,891
1513742931,36,148
1513744829,61,28
1513746778,28,13
1513748674,21,14
1513750618,16,12
1513752505,19,21
1513754475,17,11
1513756354,24,14
1513758234,15,10
1513761189,21,23
1513763062,14,22
1513765056,16,16
1513767161,59,24
1513769111,12,24
1513771006,17,16
1513772965,11,7
1513774888,53,10
1513776804,30,8
1513778671,31,10
1513780611,36,12
1513782560,30,6
1513784497,26,14
1513786406,21,14
1513788320,17,25
1513790570,5,37
1513793669,9,64
1513795482,5,33
1513798653,61,71
1513800540,19,48
1513802481,16,58
1513804389,14,49
1513806341,8,71
1513808627,10,84
1513810597,7,94
1513813095,9,73
1513814951,7,71
1513817073,10,91
1513818991,11,85
1513820814,4,54
1513822830,8,42
1513824689,13,31
1513826668,8,50
1513828525,17,41
1513830516,17,56
1513832358,7,349
1513834606,7,50
1513836529,8,41
1513838498,4,33
1513840374,1,33
1513842265,4,43
1513844465,3,34
1513846608,10,21
1513848528,7,28
1513850505,10,19
1513852614,11,53
1513854535,13,23
1513856439,13,26
1513858474,17,20
1513860297,9,32
1513862226,10,66
1513864381,13,71
1513866279,12,73
1513868488,14,78
1513870371,13,61
1513872295,17,48
1513874201,21,20
1513876355,19,16
1513878311,75,15
1513880187,26,7
1513882357,24,5
1513884288,11,58
1513888676,34,66
1513890682,10,21
1513892819,9,16
1513896194,20,31
1513901673,23,34
1513907414,26,34
1513909295,5,11
1513911409,7,21
1513913383,6,22
1513915464,7,21
1513917638,14,18
1513919558,12,5
1513921457,11,5
1513923400,4,9
1513925334,9,1
1513927251,7,1
1513929152,8,5
1513931306,11,7
1513934387,18,19
1513936392,18,17
1513938216,25,11
1513940296,28,18
1513942386,28,13
1513944296,20,9
1513946208,14,19
1513948239,26,14
1513950042,14,14
1513952027,7,15
1513953870,6,10
1513955854,13,8
1513957733,22,12
1513959682,11,18
1513961561,9,18
1513963545,13,79
1513965415,19,17
1513967382,13,22
1513969288,11,17
1513971225,7,14
1513973077,6,14
1513975061,18,12
1513976927,20,12
1513978879,14,8
1513980777,11,12
1513982751,15,13
1513984864,20,9
1513986990,27,9
1513988935,26,10
1513991056,35,9
1513992986,10,6
1513995166,12,4
1513997064,13,8
1513998995,19,7
1514000915,17,4
1514002827,6,5
1514004743,19,19
1514006682,8,12
1514008591,3,8
1514010504,3,6
1514012487,9,7
1514014363,9,3
1514016270,7,9
1514018190,8,9
1514020103,2,13
1514022023,3,17
1514023956,12,22
1514025868,15,19
1514027796,15,24
1514029714,10,23
1514031887,15,33
1514033865,15,18
1514035714,25,17
1514037686,19,11
1514039558,21,8
1514041482,14,12
1514043392,15,20
1514045303,13,13
1514047223,18,8
1514049149,12,7
1514051068,8,18
1514053095,11,15
1514054915,26,9
1514056829,18,13
1514058758,24,8
1514060673,20,13
1514062593,29,15
1514064522,36,16
1514066488,51,10
1514068368,44,14
1514070184,49,10
1514072210,49,15
1514074145,53,9
1514076055,48,47
1514077972,21,6
1514080034,4,14
1514082273,11,6
1514084210,5,9
1514086131,3,12
1514088086,7,7
1514089968,6,12
1514091890,2,11
1514094044,3,3
1514095967,5,5
1514097862,11,9
1514099822,3,4
1514102048,4,9
1514103880,4,6
1514105850,6,6
1514107797,8,2
1514109940,5,8
1514111797,6,9
1514114032,4,14
1514116005,5,8
1514117891,9,14
1514119826,5,12
1514121689,10,15
1514123726,11,11
1514125539,9,9
1514127524,8,15
1514129395,5,7
1514131449,4,8
1514133278,7,14
1514135313,5,10
1514137478,7,14
1514139422,8,5
1514141340,12,16
1514143680,13,17
1514145688,11,20
1514147558,2,18
1514149508,5,20
1514151650,25,27
1514153563,4,61
1514155489,4,56
1514157420,6,97
1514159243,4,91
1514161254,8,81
1514163240,12,89
1514165075,7,25
1514167093,6,16
1514168915,15,10
1514170905,20,8
1514172755,14,4
1514174800,20,6
1514176617,36,5
1514178651,53,2
1514180456,47,4
1514182564,47,6
1514184513,16,18
1514186408,30,1
1514188603,16,10
1514190531,8,6
1514192489,10,3
1514194376,12,11
1514196285,14,2
1514198209,16,6
1514200135,10,5
1514202651,19,10
1514204686,11,12
1514206577,20,5
1514208607,6,9
1514210573,9,12
1514212575,26,10
1514214427,35,16
1514216673,25,4
1514218949,10,12
1514221288,14,11
1514223163,11,7
1514225071,8,12
1514227004,13,20
1514228918,16,16
1514230841,8,14
1514232770,17,5
1514234686,12,2
1514236593,21,4
1514238435,23,24
1514240438,16,10
1514242246,24,3
1514244062,4,2
1514246125,9,3
1514248092,7,6
1514249923,12,7
1514251933,19,4
1514253742,8,5
1514255580,14,8
1514257585,4,17
1514259394,22,10
1514261482,32,16
1514263457,36,21
1514265267,26,17
1514267084,27,24
1514269163,18,18
1514271144,15,23
1514273255,9,12
1514275288,8,16
1514277279,9,13
1514279081,17,12
1514281131,17,6
1514283103,11,15
1514285158,15,13
1514286997,16,8
1514289039,12,7
1514290854,11,7
1514292840,7,12
1514294692,11,8
1514296728,13,5
1514298547,7,15
1514300548,9,27
1514302369,36,27
1514304362,34,12
1514306214,19,11
1514308262,43,11
1514310533,35,15
1514312679,26,12
1514314907,9,12
1514317016,21,10
1514319208,23,11
1514321088,25,10
1514323042,22,15
1514324947,12,21
1514326863,15,8
1514328738,5,12
1514330725,12,8
1514333483,26,13
1514336203,10,23
1514338272,18,19
1514340148,15,8
1514342197,48,10
1514344367,14,8
1514346291,19,19
1514348221,12,24
1514350126,10,19
1514352044,11,19
1514354497,13,22
1514356366,17,14
1514358272,8,12
1514360209,20,8
1514362123,2,7
1514364026,8,12
1514365949,5,11
1514368129,12,17
1514370026,22,12
1514371980,22,15
1514373885,4,15
1514376092,8,18
1514378210,5,10
1514380115,7,5
1514382044,29,13
1514384229,27,9
1514386363,13,12
1514388286,9,26
1514390211,6,37
1514392121,4,14
1514394085,18,37
1514395985,15,22
1514397799,7,35
1514399830,25,8
1514401908,25,6
1514403863,18,33
1514405820,11,17
1514407696,23,33
1514409712,38,11
1514411560,35,9
1514413399,31,12
1514415411,20,8
1514417328,4,12
1514419507,22,15
1514421412,5,10
1514423337,8,8
1514425490,11,14
1514427426,7,31
1514429314,14,50
1514431268,8,11
1514433418,2,23
1514435325,12,9
1514437486,11,18
1514439637,15,6
1514441543,16,16
1514443477,7,12
1514445387,4,22
1514447299,15,9
1514449230,4,6
1514451158,11,5
1514453073,12,6
1514455288,12,16
1514457153,20,21
1514459317,16,17
1514461240,17,5
1514463416,16,7
1514465451,18,8
1514467457,6,5
1514469462,15,50
1514471820,12,24
1514473709,21,16
1514475564,9,7
1514477561,9,4
1514479662,12,11
1514481616,37,21
1514483530,26,11
1514485475,22,15
1514487735,15,22
1514489562,17,15
1514491495,25,18
1514493412,29,16
1514495344,19,39
1514497225,13,46
1514499147,9,38
1514501074,9,37
1514503088,13,5
1514505170,17,19
1514507081,45,13
1514509003,29,5
1514510921,39,11
1514512895,99,14
1514514786,53,7
1514516678,43,10
1514518621,55,5
1514520521,43,5
1514522706,48,11
1514524612,31,11
1514526528,23,11
1514528432,17,8
1514530369,22,2
1514532296,7,4
1514534224,10,6
1514536115,3,3
1514537999,9,8
1514539919,6,10
1514541936,8,7
1514543804,11,13
1514545669,12,6
1514547625,15,9
1514549714,33,7
1514551725,7,11
1514553625,13,7
1514555530,9,11
1514557790,2,8
1514559692,6,17
1514562086,12,13
1514563991,61,9
1514565906,7,7
1514567816,17,27
1514569984,14,16
1514571868,14,12
1514573846,12,7
1514575727,22,12
1514577700,19,16
1514579803,16,26
1514581761,13,13
1514583627,7,5
1514585834,13,7
1514587724,8,8
1514589992,9,11
1514592135,24,10
1514594095,12,14
1514596122,20,10
1514598150,10,31
1514600128,13,38
1514602011,22,33
1514603947,7,26
1514605858,5,34
1514607763,8,57
1514609740,8,72
1514611661,35,43
1514613489,36,48
1514615547,22,71
1514617401,1,28
1514619461,7,13
1514621307,11,17
1514623291,15,12
1514625411,6,13
1514627330,6,7
1514629251,5,8
1514631170,64,15
1514633075,72,11
1514635018,52,64
1514636860,14,17
1514638898,5,11
1514641009,22,9
1514642916,11,8
1514644843,8,12
1514646766,15,10
1514649363,24,12
1514651565,20,83
1514653467,23,17
1514655398,22,9
1514657315,18,13
1514659238,26,9
1514661413,20,33
1514663513,12,17
1514665467,8,19
1514667538,12,18
1514669869,9,10
1514672033,20,12
1514673987,20,7
1514675810,6,10
1514677858,7,19
1514679878,12,10
1514682104,17,29
1514683963,12,13
1514685882,11,14
1514688124,20,24
1514689980,7,5
1514691886,21,5
1514694046,13,10
1514695984,31,12
1514697874,41,20
1514699803,5,32
1514701748,8,12
1514703888,27,4
1514705812,27,4
1514707726,15,7
1514709633,16,13
1514711568,20,4
1514713491,14,6
1514715417,14,4
1514717306,10,27
1514719247,18,40
