DateTime,Entries,UniqueIPs
1513710100,2759,2759
1513712916,2806,2806
1513714997,2850,2850
1513720977,3015,3015
1513723103,3098,3098
1513726702,3228,3228
1513728615,3293,3293
1513731523,3411,3411
1513733329,3464,3464
1513735288,3480,3480
1513737167,3518,3518
1513739084,3525,3525
1513741012,2675,2675
1513742931,2563,2563
1513744829,2596,2596
1513746778,2611,2611
1513748674,2618,2618
1513750618,2622,2622
1513752505,2620,2620
1513754475,2626,2626
1513756354,2636,2636
1513758234,2641,2641
1513761189,2639,2639
1513763062,2631,2631
1513765056,2631,2631
1513767161,2666,2666
1513769111,2654,2654
1513771006,2655,2655
1513772965,2659,2659
1513774888,2702,2702
1513776804,2724,2724
1513778671,2745,2745
1513780611,2769,2769
1513782560,2793,2793
1513784497,2805,2805
1513786406,2812,2812
1513788320,2804,2804
1513790570,2772,2772
1513793669,2717,2717
1513795482,2689,2689
1513798653,2679,2679
1513800540,2650,2650
1513802481,2608,2608
1513804389,2573,2573
1513806341,2510,2510
1513808627,2436,2436
1513810597,2349,2349
1513813095,2285,2285
1513814951,2221,2221
1513817073,2140,2140
1513818991,2066,2066
1513820814,2016,2016
1513822830,1982,1982
1513824689,1964,1964
1513826668,1922,1922
1513828525,1898,1898
1513830516,1859,1859
1513832358,1517,1517
1513834606,1474,1474
1513836529,1441,1441
1513838498,1412,1412
1513840374,1380,1380
1513842265,1341,1341
1513844465,1310,1310
1513846608,1299,1299
1513848528,1278,1278
1513850505,1269,1269
1513852614,1227,1227
1513854535,1217,1217
1513856439,1204,1204
1513858474,1201,1201
1513860297,1178,1178
1513862226,1122,1122
1513864381,1064,1064
1513866279,1003,1003
1513868488,939,939
1513870371,891,891
1513872295,860,860
1513874201,861,861
1513876355,864,864
1513878311,924,924
1513880187,943,943
1513882357,962,962
1513884288,915,915
1513888676,883,883
1513890682,872,872
1513892819,865,865
1513896194,854,854
1513901673,843,843
1513907414,835,835
1513909295,829,829
1513911409,815,815
1513913383,799,799
