DateTime,AddedIPs,RemovedIPs
1512344196,0,2
1512346478,0,1
1512348514,1,3
1512350747,1,0
1512352575,1,0
1512354532,0,1
1512357424,1,1
1512359308,0,1
1512363179,1,0
1512367004,1,0
1512374673,1,0
1512378504,1,1
1512386215,1,0
1512396142,0,1
1512397958,1,1
1512399896,1,0
1512407582,1,0
1512413474,0,1
1512415458,0,2
1512417386,1,2
1512419577,1,1
1512423384,0,1
1512425312,1,1
1512429182,1,0
1512433272,0,1
1512437112,0,1
1512438987,0,1
1512442895,1,1
1512450510,1,1
1512452473,1,1
1512460147,1,1
1512466119,0,1
1512473804,1,1
1512479786,1,0
1512484073,0,1
1512486091,0,1
1512487962,1,0
1512493952,0,1
1512497801,1,0
1512499743,1,0
1512501901,2,0
1512503821,0,1
1512505749,2,1
1512511498,1,1
1512513423,1,0
1512515571,2,1
1512517440,1,0
1512519412,1,0
1512521340,1,0
1512525160,1,0
1512529004,0,1
1512534792,1,0
1512538631,0,2
1512542454,1,0
1512546288,0,1
1512553976,1,0
1512559722,0,1
1512561734,1,0
1512565500,0,1
1512571512,2,0
1512575329,0,1
1512583009,0,1
1512586897,0,2
1512589040,0,1
1512602928,1,6
1512604915,0,2
1512608938,0,1
1512612771,0,1
1512620459,0,1
1512628124,0,1
1512639856,1,1
1512647572,0,1
1512657413,0,1
1512659305,0,1
1512663637,1,0
1512680210,0,1
1512684094,1,0
1512697020,1,0
1512712898,1,0
1512722457,1,0
1512726291,0,1
1512736382,1,0
1512740211,1,0
1512748130,1,0
1512750032,0,1
1512757964,1,0
1512771409,1,1
1512774727,1,0
1512784351,2,1
1512793881,1,0
1512799707,0,1
1512809189,0,1
1512822764,0,1
1512826845,0,1
1512834760,0,1
1512844370,0,1
1512857794,0,1
1512859621,0,1
1512869565,0,1
1512871502,0,1
1512879172,0,1
1512904602,1,0
1512915387,1,0
1512929033,2,0
1512930986,2,0
1512939466,1,0
1512970373,1,0
1512991482,0,1
1512995321,1,0
1513001078,0,1
1513003018,1,0
1513004903,1,0
1513014712,0,1
1513017411,0,3
1513027019,0,1
1513028897,1,0
1513044286,1,0
1513057723,1,1
1513059643,1,0
1513063483,1,0
1513071172,1,0
1513080871,0,1
1513088525,0,1
1513090372,0,1
1513092274,1,0
1513094215,1,0
1513115798,0,1
1513132140,0,1
1513144096,0,1
1513145975,0,1
1513150134,0,1
1513157812,0,1
1513173180,2,0
1513178925,1,1
1513181470,0,1
1513189257,1,0
1513202925,1,0
1513237714,1,0
1513258596,0,2
1513264347,0,1
1513276117,0,1
1513278087,1,0
1513279970,1,0
1513289599,0,1
1513293414,1,0
1513305159,1,0
1513322418,0,1
1513324331,1,0
1513365137,0,1
1513367043,0,1
1513368991,1,0
1513375294,1,0
1513379315,0,1
1513381223,1,0
1513392767,0,1
1513411019,0,1
1513434509,1,0
1513440783,1,0
1513452271,1,0
1513456124,0,1
1513459975,0,1
1513467663,0,1
1513469589,1,0
1513521649,0,1
1513527385,0,1
1513537293,1,0
1513539152,0,1
1513557188,0,1
1513568677,1,0
1513597966,1,0
1513607799,1,0
1513623723,0,1
1513648976,1,0
1513654691,0,1
1513684351,0,1
1513694466,0,1
1513700215,1,0
1513704174,1,0
1513705986,1,0
1513710101,1,0
1513717372,1,0
1513723103,1,0
1513735291,0,1
1513756355,1,0
1513776805,1,0
1513782560,1,0
1513786407,1,1
1513790570,1,1
1513793669,0,1
1513798654,0,1
1513800541,1,0
1513802481,0,1
1513806342,1,0
1513808627,0,1
1513818992,1,0
1513822830,1,0
1513828525,1,0
1513830517,1,0
1513834606,2,0
1513836530,2,0
1513842265,1,0
1513844466,0,1
1513852615,2,0
1513854535,1,0
1513858474,1,0
1513864381,0,1
1513866279,1,0
1513870371,2,1
1513874201,0,1
1513876355,0,1
1513878311,1,0
1513888677,1,1
1513895534,0,1
1513901673,2,0
1513907416,0,1
1513909296,0,1
1513913383,1,0
1513915465,1,1
1513917638,0,1
1513921457,0,2
1513923400,0,2
1513927252,1,0
1513929152,2,1
1513935155,1,0
1513939155,0,2
1513941130,1,1
1513944876,1,1
1513952437,0,1
1513956268,1,2
1513965154,0,1
1513968955,2,0
1513972791,1,1
1513986991,0,2
1513995166,1,0
1514000916,0,2
1514002827,1,0
1514006683,1,0
1514010505,1,0
1514014363,0,2
1514016270,2,1
1514022023,1,1
1514025868,1,0
1514027797,0,1
1514031887,1,1
1514041482,1,0
1514043392,1,1
1514045303,1,0
1514053095,1,0
1514054915,1,1
1514056830,0,1
1514058759,0,1
1514062593,1,0
1514066488,1,0
1514074146,1,0
1514080034,1,0
1514082274,0,1
1514084210,1,0
1514088087,1,0
1514089968,0,1
1514094044,1,1
1514095967,1,1
1514102048,0,2
1514105851,1,0
1514107798,0,1
1514111797,0,1
1514117891,0,1
1514119826,1,0
1514121690,1,0
1514129395,0,2
1514131449,0,1
1514139422,0,1
1514141341,0,1
1514143680,1,0
1514145689,1,0
1514147558,1,0
1514149508,0,1
1514153564,0,1
1514159243,1,1
1514161254,1,0
1514167093,0,1
1514170905,0,1
1514174801,0,1
1514176617,1,0
1514178652,1,0
1514180456,0,1
1514182564,0,1
1514192489,0,1
1514206578,0,1
1514208608,0,1
1514212576,1,0
1514214427,1,0
1514221288,1,0
1514228918,0,1
1514230841,0,1
1514234687,0,1
1514236593,1,0
1514246125,0,1
1514248092,0,1
1514263457,0,2
1514275289,2,0
1514285158,1,0
1514294692,1,0
1514300548,0,2
1514304363,1,0
1514308262,0,1
1514314908,1,0
1514319208,1,0
1514323042,1,1
1514326864,1,0
1514333483,1,0
1514344368,1,0
1514354498,1,0
1514360210,0,1
1514362124,1,1
1514365949,1,0
1514370026,0,1
1514376092,1,0
1514380116,1,1
1514382045,1,0
1514390212,1,1
1514395985,1,0
1514401908,0,1
1514403864,2,0
1514405820,0,1
1514409712,0,1
1514413400,0,1
1514417328,0,1
1514429314,0,1
1514441543,0,1
1514449231,0,1
1514453073,0,1
1514463416,0,1
1514465451,0,1
1514467458,0,1
1514477561,0,1
1514481616,0,1
1514489562,0,1
1514531552,1,1
1514617401,0,1
1514652989,1,0
1514668845,1,0
1514709869,1,0
