DateTime,Entries,UniqueIPs
1512342187,20,20
1512344196,18,18
1512346478,17,17
1512348514,15,15
1512350747,16,16
1512352575,17,17
1512354532,16,16
1512357424,16,16
1512359308,15,15
1512363179,16,16
1512367004,17,17
1512374673,18,18
1512378504,18,18
1512386215,19,19
1512396142,18,18
1512397958,18,18
1512399896,19,19
1512407582,20,20
1512413474,19,19
1512415458,17,17
1512417386,16,16
1512419577,16,16
1512423384,15,15
1512425312,15,15
1512429182,16,16
1512433272,15,15
1512437112,14,14
1512438987,13,13
1512442895,13,13
1512450510,13,13
1512452473,13,13
1512460147,13,13
1512466119,12,12
1512473804,12,12
1512479786,13,13
1512484073,12,12
1512486091,11,11
1512487962,12,12
1512493952,11,11
1512497801,12,12
1512499743,13,13
1512501901,15,15
1512503821,14,14
1512505749,15,15
1512511498,15,15
1512513423,16,16
1512515571,17,17
1512517440,18,18
1512519412,19,19
1512521340,20,20
1512525160,21,21
1512529004,20,20
1512534792,21,21
1512538631,19,19
1512542454,20,20
1512546288,19,19
1512553976,20,20
1512559722,19,19
1512561734,20,20
1512565500,19,19
1512571512,21,21
1512575329,20,20
1512583009,19,19
1512586897,17,17
1512589040,16,16
1512602928,11,11
1512604915,9,9
1512608938,8,8
1512612771,7,7
1512620459,6,6
1512628124,5,5
1512639856,5,5
1512647572,4,4
1512657413,3,3
1512659305,2,2
1512663637,3,3
1512680210,2,2
1512684094,3,3
1512697020,4,4
1512712898,5,5
1512722457,6,6
1512726291,5,5
1512736382,6,6
1512740211,7,7
1512748130,8,8
1512750032,7,7
1512757964,8,8
1512771409,8,8
1512774727,9,9
1512784351,10,10
1512793881,11,11
1512799707,10,10
1512809189,9,9
1512822764,8,8
1512826845,7,7
1512834760,6,6
1512844370,5,5
1512857794,4,4
1512859621,3,3
1512869565,2,2
1512871502,1,1
1512879172,0,0
1512904602,1,1
1512915387,2,2
1512929033,4,4
1512930986,6,6
1512939466,7,7
1512970373,8,8
1512991482,7,7
1512995321,8,8
1513001078,7,7
1513003018,8,8
1513004903,9,9
1513014712,8,8
1513017411,5,5
1513027019,4,4
1513028897,5,5
1513044286,6,6
1513057723,6,6
1513059643,7,7
1513063483,8,8
1513071172,9,9
1513080871,8,8
1513088525,7,7
1513090372,6,6
1513092274,7,7
1513094215,8,8
1513115798,7,7
1513132140,6,6
1513144096,5,5
1513145975,4,4
1513150134,3,3
1513157812,2,2
1513173180,4,4
1513178925,4,4
1513181470,3,3
1513189257,4,4
1513202925,5,5
1513237714,6,6
1513258596,4,4
1513264347,3,3
1513276117,2,2
1513278087,3,3
1513279970,4,4
1513289599,3,3
1513293414,4,4
1513305159,5,5
1513322418,4,4
1513324331,5,5
1513365137,4,4
1513367043,3,3
1513368991,4,4
1513375294,5,5
1513379315,4,4
1513381223,5,5
1513392767,4,4
1513411019,3,3
1513434509,4,4
1513440783,5,5
1513452271,6,6
1513456124,5,5
1513459975,4,4
1513467663,3,3
1513469589,4,4
1513521649,3,3
1513527385,2,2
1513537293,3,3
1513539152,2,2
1513557188,1,1
1513568677,2,2
1513597966,3,3
1513607799,4,4
1513623723,3,3
1513648976,4,4
1513654691,3,3
1513684351,2,2
1513694466,1,1
1513700215,2,2
1513704174,3,3
1513705986,4,4
1513710101,5,5
1513717372,6,6
1513723103,7,7
1513735291,6,6
1513756355,7,7
1513776805,8,8
1513782560,9,9
1513786407,9,9
1513790570,9,9
1513793669,8,8
1513798654,7,7
1513800541,8,8
1513802481,7,7
1513806342,8,8
1513808627,7,7
1513818992,8,8
1513822830,9,9
1513828525,10,10
1513830517,11,11
1513834606,13,13
1513836530,15,15
1513842265,16,16
1513844466,15,15
1513852615,17,17
1513854535,18,18
1513858474,19,19
1513864381,18,18
1513866279,19,19
1513870371,20,20
1513874201,19,19
1513876355,18,18
1513878311,19,19
1513888677,19,19
1513895534,18,18
1513901673,20,20
1513907416,19,19
1513909296,18,18
1513913383,19,19
1513915465,19,19
1513917638,18,18
1513921457,16,16
1513923400,14,14
1513927252,15,15
1513929152,16,16
1513935155,17,17
1513939155,15,15
1513941130,15,15
1513944876,15,15
1513952437,14,14
1513956268,13,13
1513965154,12,12
1513968955,14,14
1513972791,14,14
1513986991,12,12
1513995166,13,13
1514000916,11,11
1514002827,12,12
1514006683,13,13
1514010505,14,14
1514014363,12,12
1514016270,13,13
1514022023,13,13
1514025868,14,14
1514027797,13,13
1514031887,13,13
1514041482,14,14
1514043392,14,14
1514045303,15,15
1514053095,16,16
1514054915,16,16
1514056830,15,15
1514058759,14,14
1514062593,15,15
1514066488,16,16
1514074146,17,17
1514080034,18,18
1514082274,17,17
1514084210,18,18
1514088087,19,19
1514089968,18,18
1514094044,18,18
1514095967,18,18
1514102048,16,16
1514105851,17,17
1514107798,16,16
1514111797,15,15
1514117891,14,14
1514119826,15,15
1514121690,16,16
1514129395,14,14
1514131449,13,13
1514139422,12,12
1514141341,11,11
1514143680,12,12
1514145689,13,13
1514147558,14,14
1514149508,13,13
1514153564,12,12
1514159243,12,12
1514161254,13,13
1514167093,12,12
1514170905,11,11
1514174801,10,10
1514176617,11,11
1514178652,12,12
1514180456,11,11
1514182564,10,10
1514192489,9,9
1514206578,8,8
1514208608,7,7
1514212576,8,8
1514214427,9,9
1514221288,10,10
1514228918,9,9
1514230841,8,8
1514234687,7,7
1514236593,8,8
1514246125,7,7
1514248092,6,6
1514263457,4,4
1514275289,6,6
1514285158,7,7
1514294692,8,8
1514300548,6,6
1514304363,7,7
1514308262,6,6
1514314908,7,7
1514319208,8,8
1514323042,8,8
1514326864,9,9
1514333483,10,10
1514344368,11,11
1514354498,12,12
1514360210,11,11
1514362124,11,11
1514365949,12,12
1514370026,11,11
1514376092,12,12
1514380116,12,12
1514382045,13,13
1514390212,13,13
1514395985,14,14
1514401908,13,13
1514403864,15,15
1514405820,14,14
1514409712,13,13
1514413400,12,12
1514417328,11,11
1514429314,10,10
1514441543,9,9
1514449231,8,8
1514453073,7,7
1514463416,6,6
1514465451,5,5
1514467458,4,4
1514477561,3,3
1514481616,2,2
1514489562,1,1
1514531552,1,1
1514617401,0,0
1514652989,1,1
1514668845,2,2
1514709869,3,3
