DateTime,AddedIPs,RemovedIPs
1512364150,8,2
1512386216,10,8
1512408280,14,3
1512430367,4,4
1512452474,1,5
1512474492,12,6
1512497052,7,7
1512518924,7,9
1512541014,5,8
1512563092,4,12
1512584996,4,3
1512606978,3,7
1512629063,2,3
1512650926,6,5
1512673109,10,8
1512695333,3,7
1512717397,6,9
1512739383,6,6
1512761317,2,9
1512783172,16,4
1512805317,1,2
1512827332,1,4
1512849395,13,3
1512871504,0,2
1512893566,0,5
1512915690,0,5
1512937968,3,1
1512959816,2,5
1512981870,1,4
1513003957,7,14
1513026257,35,11
1513048156,15,1
1513070189,9,3
1513092275,3,11
1513114130,7,9
1513136205,5,7
1513158277,6,4
1513180118,6,9
1513202206,8,3
1513224283,4,2
1513257632,6,8
1513279475,4,8
1513301578,2,8
1513323625,5,6
1513345717,12,10
1513367835,3,8
1513389882,1,1
1513411990,3,1
1513434054,3,1
1513456125,2,0
1513477996,3,2
1513500023,4,0
1513521871,5,20
1513543960,7,9
1513565808,5,8
1513588154,1,7
1513610006,2,5
1513632043,3,35
1513654104,3,19
1513675991,1,11
1513697879,8,3
1513719899,9,8
1513741971,5,5
1513764101,3,8
1513786408,11,7
1513808628,6,9
1513830518,11,4
1513852616,6,5
1513874664,12,2
1513897350,4,0
1513919308,5,1
1513941420,3,2
1513963546,13,2
1513985815,2,14
1514007884,3,3
1514029932,2,20
1514051845,2,2
1514073721,3,3
1514095968,1,4
1514117892,16,10
1514139869,13,1
1514161729,8,9
1514183896,2,1
1514205855,1,1
1514227966,21,2
1514249925,1,2
1514271883,2,4
1514293737,0,3
1514315802,4,10
1514337769,0,7
1514359753,21,6
1514382046,11,5
1514404128,19,12
1514425981,4,5
1514448089,4,5
1514469949,14,10
1514491958,13,9
1514514027,5,3
1514535874,2,6
1514557792,13,8
1514579804,6,5
1514602013,1,2
1514623959,1,1
1514646162,2,3
1514668037,0,2
1514689981,3,1
1514712099,3,1
