DateTime,Entries,UniqueIPs
1512342192,3553,3553
1512364150,3559,3559
1512386216,3561,3561
1512408280,3572,3572
1512430367,3572,3572
1512452474,3568,3568
1512474492,3574,3574
1512497052,3574,3574
1512518924,3572,3572
1512541014,3569,3569
1512563092,3561,3561
1512584996,3562,3562
1512606978,3558,3558
1512629063,3557,3557
1512650926,3558,3558
1512673109,3560,3560
1512695333,3556,3556
1512717397,3553,3553
1512739383,3553,3553
1512761317,3546,3546
1512783172,3558,3558
1512805317,3557,3557
1512827332,3554,3554
1512849395,3564,3564
1512871504,3562,3562
1512893566,3557,3557
1512915690,3552,3552
1512937968,3554,3554
1512959816,3551,3551
1512981870,3548,3548
1513003957,3541,3541
1513026257,3565,3565
1513048156,3579,3579
1513070189,3585,3585
1513092275,3577,3577
1513114130,3575,3575
1513136205,3573,3573
1513158277,3575,3575
1513180118,3572,3572
1513202206,3577,3577
1513224283,3579,3579
1513257632,3577,3577
1513279475,3573,3573
1513301578,3567,3567
1513323625,3566,3566
1513345717,3568,3568
1513367835,3563,3563
1513389882,3563,3563
1513411990,3565,3565
1513434054,3567,3567
1513456125,3569,3569
1513477996,3570,3570
1513500023,3574,3574
1513521871,3559,3559
1513543960,3557,3557
1513565808,3554,3554
1513588154,3548,3548
1513610006,3545,3545
1513632043,3513,3513
1513654104,3497,3497
1513675991,3487,3487
1513697879,3492,3492
1513719899,3493,3493
1513741971,3493,3493
1513764101,3488,3488
1513786408,3492,3492
1513808628,3489,3489
1513830518,3496,3496
1513852616,3497,3497
1513874664,3507,3507
1513897350,3511,3511
1513919308,3515,3515
1513941420,3516,3516
1513963546,3527,3527
1513985815,3515,3515
1514007884,3515,3515
1514029932,3497,3497
1514051845,3497,3497
1514073721,3497,3497
1514095968,3494,3494
1514117892,3500,3500
1514139869,3512,3512
1514161729,3511,3511
1514183896,3512,3512
1514205855,3512,3512
1514227966,3531,3531
1514249925,3530,3530
1514271883,3528,3528
1514293737,3525,3525
1514315802,3519,3519
1514337769,3512,3512
1514359753,3527,3527
1514382046,3533,3533
1514404128,3540,3540
1514425981,3539,3539
1514448089,3538,3538
1514469949,3542,3542
1514491958,3546,3546
1514514027,3548,3548
1514535874,3544,3544
1514557792,3549,3549
1514579804,3550,3550
1514602013,3549,3549
1514623959,3549,3549
1514646162,3548,3548
1514668037,3546,3546
1514689981,3548,3548
1514712099,3550,3550
