DateTime,AddedIPs,RemovedIPs
1513623724,4,0
1513625584,3,0
1513627817,5,0
1513629654,8,0
1513631644,0,4
1513633483,1,1
1513637352,4,3
1513641170,1,4
1513643133,5,1
1513645114,6,1
1513647005,2,0
1513648977,1,0
1513650801,1,0
1513652685,1,0
1513654692,0,2
1513656512,3,0
1513658535,7,3
1513662361,0,1
1513664224,0,2
1513666194,0,2
1513668019,2,2
1513669973,3,1
1513671861,4,1
1513673794,3,1
1513675992,1,0
1513678442,2,0
1513680475,1,2
1513682416,0,1
1513684352,1,1
1513686386,1,1
1513690645,7,0
1513692529,1,0
1513694467,2,0
1513696381,0,2
1513698314,6,5
1513700216,5,7
1513702126,1,5
1513704175,1,0
1513705987,8,1
1513708134,10,2
1513710101,3,3
1513712009,3,3
1513713912,5,4
1513717373,5,9
1513720978,8,1
1513723104,7,3
1513726703,5,1
1513728616,8,6
1513731524,6,7
1513733330,3,2
1513735293,12,1
1513737168,5,1
1513739085,7,1
1513741013,11,0
1513742932,7,3
1513744830,4,5
1513746780,4,1
1513748675,7,0
1513750619,7,0
1513752506,4,0
1513754476,5,2
1513756355,0,3
1513758235,4,4
1513761190,4,4
1513763062,1,0
1513765057,2,2
1513767162,5,1
1513769113,5,0
1513771007,2,1
1513772966,9,0
1513774889,3,0
1513776805,2,6
1513778672,3,2
1513780612,3,2
1513782561,3,0
1513784498,4,6
1513786409,7,3
1513790571,1,4
1513793670,4,13
1513795483,4,6
1513798654,2,4
1513800542,4,5
1513802482,2,2
1513804390,6,4
1513806342,3,5
1513808629,5,3
1513810598,3,5
1513813096,1,4
1513814952,6,8
1513817073,8,5
1513818993,7,4
1513820816,2,7
1513822831,3,9
1513824690,2,7
1513826669,5,12
1513828526,3,4
1513830518,1,8
1513832358,1,5
1513834607,3,5
1513836531,1,8
1513838499,5,3
1513840375,5,3
1513842266,2,3
1513844466,0,3
1513846609,3,2
1513848530,1,3
1513850506,1,0
1513852616,2,5
1513854536,2,1
1513856440,1,6
1513858475,1,5
1513860298,1,4
1513862227,5,4
1513864382,2,6
1513866280,0,3
1513868489,0,1
1513870372,1,4
1513872296,1,8
1513874202,3,1
1513876356,0,2
1513878312,0,1
1513880187,0,3
1513882358,4,4
1513884289,1,0
1513888678,0,7
1513895534,2,15
1513897351,0,3
1513901674,1,9
1513908759,0,18
1513910894,1,2
1513912817,0,6
1513914696,1,4
1513916653,0,1
1513918592,1,1
1513920501,0,3
1513922508,1,1
1513924377,0,5
1513926345,1,2
1513928195,0,4
1513930379,1,1
1513932273,1,1
1513934387,0,1
1513936392,3,1
1513938216,2,3
1513940297,1,2
1513942386,0,2
1513944297,0,2
1513948240,1,6
1513950043,0,1
1513952028,1,2
1513957733,0,1
1513959683,2,1
1513961561,0,2
1513963546,3,0
1513965416,1,1
1513967382,0,2
1513969289,0,2
1513971226,0,1
1513973077,1,0
1513975061,6,0
1513978880,2,1
1513984865,2,1
1513988936,3,0
1513991057,2,0
1513992987,1,0
1513995167,3,0
1513997065,0,1
1513998996,1,0
1514000916,1,2
1514004744,1,1
1514006683,1,0
1514008592,0,1
1514012488,0,1
1514016271,1,1
1514018191,3,0
1514020104,6,1
1514022024,2,3
1514023957,1,1
1514025869,0,1
1514027797,1,1
1514029715,1,0
1514031888,0,1
1514033866,1,0
1514035715,0,1
1514039559,0,1
1514045304,0,2
1514049150,0,2
1514051069,0,2
1514056830,2,0
1514058759,1,0
1514060674,3,6
1514062594,1,1
1514064523,0,2
1514066489,0,1
1514068369,2,0
1514070185,1,0
1514072211,2,2
1514074146,2,2
1514076057,0,1
1514077973,1,2
1514080035,3,1
1514082274,1,3
1514084210,1,0
1514086132,1,1
1514088087,0,1
1514089969,1,0
1514091891,0,2
1514094045,1,0
1514095969,3,0
1514097863,1,0
1514099832,1,0
1514103881,0,3
