DateTime,Entries,UniqueIPs
1513708136,419,419
1513710102,416,416
1513712010,415,415
1513713913,411,411
1513717374,403,403
1513720979,392,392
1513723105,390,390
1513726704,383,383
1513728618,376,376
1513731525,379,379
1513733331,379,379
1513735294,381,381
1513737169,381,381
1513739086,378,378
1513741014,379,379
1513742933,375,375
1513744831,371,371
1513746781,368,368
1513748676,370,370
1513750620,364,364
1513752507,369,369
1513754477,369,369
1513756357,366,366
1513758237,361,361
1513761191,352,352
1513763064,341,341
1513765058,341,341
1513767163,349,349
1513769114,359,359
1513771008,391,391
1513772968,405,405
1513774891,417,417
1513776806,419,419
1513778673,416,416
1513780613,414,414
1513782563,421,421
1513784499,418,418
1513786410,429,429
1513790572,445,445
1513793671,450,450
1513795484,456,456
1513798656,460,460
1513800543,467,467
1513802483,473,473
1513804391,484,484
1513806343,488,488
1513808630,493,493
1513810599,505,505
1513813098,510,510
1513814953,514,514
1513817076,524,524
1513818994,528,528
1513820817,536,536
1513822832,539,539
1513824692,544,544
1513826670,540,540
1513828527,543,543
1513830520,550,550
1513832360,555,555
1513834608,560,560
1513836532,561,561
1513838500,561,561
1513840377,554,554
1513842267,564,564
1513844467,566,566
1513846610,579,579
1513848531,582,582
1513850507,936,936
1513852618,947,947
1513854537,944,944
1513856442,943,943
1513858476,935,935
1513860299,936,936
1513862228,939,939
1513864383,954,954
1513866281,973,973
1513868490,977,977
1513870373,969,969
1513872297,985,985
1513874203,988,988
1513876357,985,985
1513878313,984,984
1513880189,994,994
1513882359,1007,1007
1513884290,1030,1030
1513888679,1021,1021
1513894382,1015,1015
1513896195,1011,1011
1513901676,997,997
1513908761,983,983
1513910895,985,985
1513912819,1007,1007
1513914697,1008,1008
1513916654,1013,1013
1513918593,1027,1027
1513920502,1032,1032
1513922509,1030,1030
1513924378,1028,1028
1513926346,1044,1044
1513928196,1044,1044
1513930380,1038,1038
1513932274,1042,1042
1513934388,1042,1042
1513936393,1027,1027
1513938217,669,669
1513940298,672,672
1513942388,659,659
1513944298,641,641
1513946209,638,638
1513948241,627,627
1513950044,625,625
1513952029,605,605
1513953872,594,594
1513955856,597,597
1513957734,580,580
1513959684,575,575
1513961563,581,581
1513963548,589,589
1513965417,589,589
1513967383,582,582
1513969290,579,579
1513971227,571,571
1513973078,575,575
1513975062,578,578
1513976928,577,577
1513978881,581,581
1513980779,585,585
1513982753,588,588
1513984866,595,595
1513986992,597,597
1513988937,602,602
1513991058,599,599
1513992988,622,622
1513995168,620,620
1513997066,619,619
1513998998,611,611
1514000918,611,611
1514002829,613,613
1514004745,597,597
1514006684,599,599
1514008593,623,623
1514010507,626,626
1514012489,607,607
1514014365,615,615
1514016272,618,618
1514018192,612,612
1514020105,608,608
1514022025,606,606
1514023958,623,623
1514025870,605,605
1514027798,611,611
1514029716,612,612
1514031889,611,611
1514033867,617,617
1514035716,613,613
1514037688,625,625
1514039560,622,622
1514041484,611,611
1514043394,616,616
1514045305,618,618
1514047225,631,631
1514049151,618,618
1514051070,620,620
1514053098,636,636
1514054918,632,632
1514056833,622,622
1514058762,631,631
1514060675,631,631
1514062595,629,629
1514064524,627,627
1514066490,636,636
1514068370,636,636
1514070186,638,638
1514072214,649,649
1514074147,651,651
1514076059,658,658
1514077974,672,672
1514080036,649,649
1514082275,646,646
1514084212,654,654
1514086134,646,646
1514088088,645,645
1514089970,646,646
1514091892,663,663
1514094046,637,637
1514095970,637,637
1514097864,638,638
1514099833,649,649
1514102050,638,638
1514103882,642,642
1514105853,637,637
1514107800,653,653
1514109943,645,645
1514111799,731,731
1514114034,829,829
1514116007,922,922
1514117895,953,953
1514119828,955,955
1514121691,951,951
1514123728,941,941
1514125541,941,941
1514127526,941,941
1514129397,940,940
1514131451,940,940
1514133280,928,928
