DateTime,AddedIPs,RemovedIPs
1513710102,58,12
1513712010,40,14
1513713913,40,9
1513717373,81,21
1513720979,54,67
1513723104,36,40
1513726704,55,61
1513728617,23,32
1513731525,55,50
1513733331,31,43
1513735294,34,34
1513737169,53,29
1513739086,43,29
1513741014,16,41
1513742933,19,31
1513744831,17,39
1513746780,19,33
1513748676,23,34
1513750619,24,30
1513752507,26,46
1513754477,26,39
1513756356,27,40
1513758236,32,29
1513761191,41,53
1513763063,34,48
1513765058,40,56
1513767163,45,45
1513769114,45,54
1513771007,52,49
1513772967,89,79
1513774890,86,111
1513776806,87,118
1513778673,67,68
1513780612,85,83
1513782562,88,93
1513784498,83,98
1513786409,34,48
1513790571,46,119
1513793671,46,107
1513795484,26,68
1513798655,44,62
1513800542,45,41
1513802483,47,47
1513804390,32,39
1513806343,46,32
1513808629,42,25
1513810598,34,35
1513813097,54,40
1513814952,31,23
1513817076,35,42
1513818993,51,33
1513820817,54,39
1513822832,45,40
1513824691,48,56
1513826670,52,20
1513828526,36,15
1513830519,10,16
1513832359,8,17
1513834608,21,30
1513836531,29,28
1513838500,45,20
1513840376,27,28
1513842266,37,31
1513844467,48,33
1513846609,57,24
1513848531,55,36
1513850506,45,31
1513852617,104,46
1513854536,90,44
1513856441,105,39
1513858475,78,80
1513860298,55,102
1513862228,44,74
1513864383,45,95
1513866281,30,81
1513868490,43,99
1513870373,78,83
1513872296,93,42
1513874203,76,22
1513876357,88,27
1513878313,86,28
1513880188,77,26
1513882359,75,25
1513884290,64,26
1513888678,76,98
1513894380,78,109
1513896195,23,32
1513901676,60,109
1513905320,50,74
1513908760,63,96
1513910895,46,47
1513912818,36,56
1513914696,34,40
1513916654,28,11
1513918593,24,10
1513920502,32,17
1513922508,42,29
1513924377,44,35
1513926345,19,37
1513928196,44,38
1513930380,32,39
1513932274,28,56
1513934388,28,59
1513936393,26,51
1513938217,36,68
1513940298,56,101
1513942387,83,115
1513944297,67,86
1513946209,66,58
1513948241,50,45
1513950044,72,40
1513952028,58,38
1513953871,68,32
1513955856,86,43
1513957734,90,110
1513959684,90,78
1513961562,86,75
1513963547,69,89
1513965416,80,66
1513967383,72,82
1513969289,73,62
1513971226,62,63
1513973078,28,39
1513975062,21,22
1513976928,20,24
1513978881,27,31
1513980779,17,26
1513982753,21,24
1513984865,37,28
1513986992,35,25
1513988937,20,18
1513991058,33,37
1513992988,34,26
1513995168,34,43
1513997065,21,44
1513998997,35,40
1514000917,23,32
1514002829,25,30
1514004744,15,26
1514006684,36,31
1514008592,23,38
1514010506,22,37
1514012488,28,27
1514014364,27,43
1514016272,35,26
1514018192,32,33
1514020105,22,27
1514022025,32,20
1514023958,22,29
1514025870,20,53
1514027798,20,70
1514029716,20,67
1514031888,18,69
1514033867,21,53
1514035716,8,62
1514037688,18,70
1514039559,8,65
1514041483,9,78
1514043393,14,82
1514045304,18,99
1514047225,44,93
1514049151,57,66
1514051070,49,71
1514053098,93,89
1514054918,31,69
1514056833,28,63
1514058761,19,41
1514060674,28,21
1514062595,44,24
1514064524,24,19
1514066490,16,24
1514068370,35,16
1514070186,36,18
1514072213,60,52
1514074147,26,18
1514076058,25,26
1514077974,18,33
1514080036,51,34
1514082275,84,32
1514084211,38,22
1514086133,19,36
1514088088,65,21
1514089969,67,21
1514091891,40,28
1514094045,27,27
1514095969,70,28
1514097864,74,25
1514099833,37,25
1514102049,67,39
1514103881,65,24
1514105852,31,26
1514107800,51,32
1514109943,77,30
1514111798,552,23
1514114034,162,22
1514116006,152,18
1514117894,169,16
1514119828,216,22
1514121691,231,9
1514123727,229,13
1514125541,202,13
1514127525,231,10
1514129397,195,12
1514131450,210,14
1514133279,219,39
1514135314,217,64
1514137480,241,54
1514139424,213,92
1514141342,193,29
1514143682,248,32
1514145690,206,16
1514147559,218,42
1514149510,193,33
1514151652,221,21
1514153565,187,21
1514155491,212,29
1514157423,189,64
1514159245,176,44
1514161256,70,17
1514163247,17,28
1514165077,19,14
1514167095,25,77
1514168917,16,54
1514170906,24,39
1514172757,27,19
1514174802,29,78
1514176619,21,59
1514178653,29,35
1514180458,20,22
1514182566,34,85
1514184515,19,61
1514186410,39,37
1514188605,30,71
1514190533,31,64
1514192491,34,26
1514194378,31,62
1514196287,22,64
1514198211,26,568
1514200137,27,132
1514202653,23,204
1514204688,20,191
1514206579,10,214
1514208610,14,248
1514210575,17,223
1514212577,14,223
1514214428,11,209
1514216675,13,232
1514218951,13,257
1514221290,15,256
1514223165,13,201
1514225073,11,201
1514227005,15,213
1514228920,7,200
1514230842,7,211
1514232771,10,205
1514234688,6,207
1514236595,6,188
1514238436,1,188
1514240439,4,197
1514242248,4,202
1514244064,1,177
1514246126,1,198
1514248093,3,30
1514249926,5,17
1514251935,6,23
