DateTime,Entries,UniqueIPs
1513710102,2156,2156
1513712010,2182,2182
1513713913,2213,2213
1513717373,2273,2273
1513720979,2260,2260
1513723104,2256,2256
1513726704,2250,2250
1513728617,2241,2241
1513731525,2246,2246
1513733331,2234,2234
1513735294,2234,2234
1513737169,2258,2258
1513739086,2272,2272
1513741014,2247,2247
1513742933,2235,2235
1513744831,2213,2213
1513746780,2199,2199
1513748676,2188,2188
1513750619,2182,2182
1513752507,2162,2162
1513754477,2149,2149
1513756356,2136,2136
1513758236,2139,2139
1513761191,2127,2127
1513763063,2113,2113
1513765058,2097,2097
1513767163,2097,2097
1513769114,2088,2088
1513771007,2091,2091
1513772967,2101,2101
1513774890,2076,2076
1513776806,2045,2045
1513778673,2044,2044
1513780612,2046,2046
1513782562,2041,2041
1513784498,2026,2026
1513786409,2012,2012
1513790571,1939,1939
1513793671,1878,1878
1513795484,1836,1836
1513798655,1818,1818
1513800542,1822,1822
1513802483,1822,1822
1513804390,1815,1815
1513806343,1829,1829
1513808629,1846,1846
1513810598,1845,1845
1513813097,1859,1859
1513814952,1867,1867
1513817076,1860,1860
1513818993,1878,1878
1513820817,1893,1893
1513822832,1898,1898
1513824691,1890,1890
1513826670,1922,1922
1513828526,1943,1943
1513830519,1937,1937
1513832359,1928,1928
1513834608,1919,1919
1513836531,1920,1920
1513838500,1945,1945
1513840376,1944,1944
1513842266,1950,1950
1513844467,1965,1965
1513846609,1998,1998
1513848531,2017,2017
1513850506,2031,2031
1513852617,2089,2089
1513854536,2135,2135
1513856441,2201,2201
1513858475,2199,2199
1513860298,2152,2152
1513862228,2122,2122
1513864383,2072,2072
1513866281,2021,2021
1513868490,1965,1965
1513870373,1960,1960
1513872296,2011,2011
1513874203,2065,2065
1513876357,2126,2126
1513878313,2184,2184
1513880188,2235,2235
1513882359,2285,2285
1513884290,2323,2323
1513888678,2301,2301
1513894380,2270,2270
1513896195,2261,2261
1513901676,2212,2212
1513905320,2188,2188
1513908760,2155,2155
1513910895,2154,2154
1513912818,2134,2134
1513914696,2128,2128
1513916654,2145,2145
1513918593,2159,2159
1513920502,2174,2174
1513922508,2187,2187
1513924377,2196,2196
1513926345,2178,2178
1513928196,2184,2184
1513930380,2177,2177
1513932274,2149,2149
1513934388,2118,2118
1513936393,2093,2093
1513938217,2061,2061
1513940298,2016,2016
1513942387,1984,1984
1513944297,1965,1965
1513946209,1973,1973
1513948241,1978,1978
1513950044,2010,2010
1513952028,2030,2030
1513953871,2066,2066
1513955856,2109,2109
1513957734,2089,2089
1513959684,2101,2101
1513961562,2112,2112
1513963547,2092,2092
1513965416,2106,2106
1513967383,2096,2096
1513969289,2107,2107
1513971226,2106,2106
1513973078,2095,2095
1513975062,2094,2094
1513976928,2090,2090
1513978881,2086,2086
1513980779,2077,2077
1513982753,2074,2074
1513984865,2083,2083
1513986992,2093,2093
1513988937,2095,2095
1513991058,2091,2091
1513992988,2099,2099
1513995168,2090,2090
1513997065,2067,2067
1513998997,2062,2062
1514000917,2053,2053
1514002829,2048,2048
1514004744,2037,2037
1514006684,2042,2042
1514008592,2027,2027
1514010506,2012,2012
1514012488,2013,2013
1514014364,1997,1997
1514016272,2006,2006
1514018192,2005,2005
1514020105,2000,2000
1514022025,2012,2012
1514023958,2005,2005
