DateTime,Entries,UniqueIPs
1513596043,51,51
1513597969,51,51
1513602097,50,50
1513603971,51,51
1513605882,53,53
1513607801,55,55
1513611644,54,54
1513613573,53,53
1513615462,52,52
1513617430,50,50
1513623726,49,49
1513625585,47,47
1513627819,48,48
1513629655,50,50
1513631645,51,51
1513633485,52,52
1513635510,51,51
1513637353,50,50
1513639344,50,50
1513641171,49,49
1513643135,50,50
1513645116,51,51
1513647007,52,52
1513648979,53,53
1513650803,53,53
1513652686,52,52
1513654694,53,53
1513656514,55,55
1513658536,56,56
1513660343,56,56
1513662363,56,56
1513664226,53,53
1513666195,53,53
1513668021,54,54
1513669975,56,56
1513671862,56,56
1513673796,56,56
1513675996,56,56
1513678444,59,59
1513680477,61,61
1513682418,63,63
1513684353,66,66
1513686388,66,66
1513688491,66,66
1513690647,65,65
1513692531,64,64
1513694469,62,62
1513696383,63,63
1513698315,64,64
1513700218,65,65
1513702128,66,66
1513708136,67,67
1513712011,68,68
1513713914,69,69
1513717374,66,66
1513720980,66,66
1513723105,67,67
1513726704,66,66
1513728618,67,67
1513731525,65,65
1513733331,66,66
1513735294,64,64
1513737169,62,62
1513739087,65,65
1513741015,71,71
1513742934,72,72
1513744832,76,76
1513746781,76,76
1513748677,78,78
1513750620,80,80
1513752508,82,82
1513754478,80,80
1513756357,82,82
1513758237,84,84
1513761192,84,84
1513763064,87,87
1513765058,86,86
1513767163,83,83
1513769115,78,78
1513771008,77,77
1513772968,76,76
1513774891,77,77
1513776807,77,77
1513778674,78,78
1513780613,78,78
1513782563,77,77
1513786411,75,75
1513790572,73,73
1513793671,73,73
1513795484,72,72
1513798656,71,71
1513800543,72,72
1513802483,70,70
1513804391,70,70
1513808631,71,71
1513813098,70,70
1513814953,70,70
1513817076,72,72
1513818994,75,75
1513820817,76,76
1513822832,79,79
1513824693,78,78
1513826671,76,76
1513828527,72,72
1513830520,74,74
1513832360,75,75
1513834608,74,74
1513836532,72,72
1513838501,74,74
1513840377,73,73
1513842267,70,70
1513844468,70,70
1513846610,68,68
1513848531,65,65
1513850507,68,68
1513852618,67,67
1513854537,69,69
1513856442,70,70
1513858476,70,70
1513860299,72,72
1513864383,69,69
1513866282,68,68
1513870374,70,70
1513872297,72,72
1513876357,76,76
1513878313,77,77
1513880190,77,77
1513882359,78,78
1513888679,79,79
1513894383,78,78
1513896195,76,76
1513901676,81,81
