DateTime,AddedIPs,RemovedIPs
1513345721,1,2
1513347852,0,1
1513349782,0,1
1513355568,2,0
1513357436,2,0
1513363265,1,0
1513367046,1,1
1513368994,0,3
1513372857,1,0
1513375296,1,2
1513377175,2,0
1513379317,0,2
1513381225,0,1
1513385055,0,1
1513388926,1,1
1513390771,0,1
1513394902,2,0
1513396891,0,1
1513399015,1,1
1513400925,2,0
1513402918,1,0
1513404766,1,0
1513408859,0,2
1513415120,2,0
1513418922,1,1
1513420857,1,2
1513422791,1,1
1513426637,0,1
1513428500,1,0
1513432366,0,1
1513440785,1,1
1513442616,0,3
1513444584,1,1
1513446509,2,0
1513450356,1,0
1513452273,1,1
1513459977,0,1
1513461874,0,1
1513463792,1,3
1513473600,1,0
1513475566,0,1
1513479399,1,0
1513481317,0,2
1513485171,0,1
1513487087,0,2
1513489002,1,1
1513490929,0,1
1513492832,1,0
1513494764,2,0
1513496689,1,0
1513498596,1,0
1513500520,0,1
1513502446,1,1
1513504363,1,0
1513506285,0,2
1513510131,1,1
1513512113,1,0
1513515883,1,0
1513517784,1,0
1513519733,1,0
1513523571,2,0
1513525462,1,0
1513529326,0,1
1513531236,1,0
1513533141,0,2
1513535321,1,0
1513537296,0,2
1513539154,0,1
1513542990,2,0
1513549252,1,1
1513551157,1,1
1513555319,1,0
1513557191,1,0
1513564839,1,0
1513566799,1,1
1513570628,0,1
1513576373,1,1
1513578298,1,1
1513580215,0,1
1513582130,0,2
1513584096,0,1
1513586006,2,0
1513590037,2,1
1513591976,2,0
1513593868,9,0
1513596043,4,0
1513600108,1,1
1513603971,1,1
1513605882,0,2
1513609703,0,1
1513611644,1,1
1513613574,1,0
1513615463,2,0
1513617430,1,1
1513621468,0,1
1513623726,1,0
1513625586,2,0
1513627819,0,1
1513629656,0,1
1513635511,0,1
1513637354,0,1
1513641172,1,1
1513645116,0,1
1513647007,1,0
1513648979,3,0
1513650803,0,1
1513652687,2,1
1513654694,2,0
1513660344,1,0
1513662363,0,1
1513664226,1,0
1513671863,0,2
1513675997,0,3
1513678444,1,0
1513680477,2,12
1513682418,0,2
1513684354,1,0
1513686388,2,2
1513688492,1,0
1513690647,3,1
1513698316,0,1
1513700218,0,1
1513702128,6,2
1513704176,1,2
1513705988,1,1
1513708136,1,0
1513710103,1,1
1513712011,1,2
1513713914,1,0
1513717374,2,0
1513720980,3,0
1513723105,1,0
1513726705,0,1
1513731525,3,0
1513733332,1,1
1513735295,2,2
1513737171,3,0
1513739087,1,2
1513741015,0,2
1513742934,1,0
1513744832,0,1
1513746781,3,2
1513748677,2,0
1513750620,1,1
1513756357,1,0
1513758237,1,0
1513761192,4,0
1513765059,2,0
1513767163,0,2
1513769115,1,1
1513771008,0,1
1513772968,1,2
1513774891,1,1
1513776807,1,1
1513778674,0,1
1513782563,1,0
1513784499,1,0
