DateTime,Entries,UniqueIPs
1513345721,28,28
1513347852,27,27
1513349782,26,26
1513355568,28,28
1513357436,30,30
1513363265,31,31
1513367046,31,31
1513368994,28,28
1513372857,29,29
1513375296,28,28
1513377175,30,30
1513379317,28,28
1513381225,27,27
1513385055,26,26
1513388926,26,26
1513390771,25,25
1513394902,27,27
1513396891,26,26
1513399015,26,26
1513400925,28,28
1513402918,29,29
1513404766,30,30
1513408859,28,28
1513415120,30,30
1513418922,30,30
1513420857,29,29
1513422791,29,29
1513426637,28,28
1513428500,29,29
1513432366,28,28
1513440785,28,28
1513442616,25,25
1513444584,25,25
1513446509,27,27
1513450356,28,28
1513452273,28,28
1513459977,27,27
1513461874,26,26
1513463792,24,24
1513473600,25,25
1513475566,24,24
1513479399,25,25
1513481317,23,23
1513485171,22,22
1513487087,20,20
1513489002,20,20
1513490929,19,19
1513492832,20,20
1513494764,22,22
1513496689,23,23
1513498596,24,24
1513500520,23,23
1513502446,23,23
1513504363,24,24
1513506285,22,22
1513510131,22,22
1513512113,23,23
1513515883,24,24
1513517784,25,25
1513519733,26,26
1513523571,28,28
1513525462,29,29
1513529326,28,28
1513531236,29,29
1513533141,27,27
1513535321,28,28
1513537296,26,26
1513539154,25,25
1513542990,27,27
1513549252,27,27
1513551157,27,27
1513555319,28,28
1513557191,29,29
1513564839,30,30
1513566799,30,30
1513570628,29,29
1513576373,29,29
1513578298,29,29
1513580215,28,28
1513582130,26,26
1513584096,25,25
1513586006,27,27
1513590037,28,28
1513591976,30,30
1513593868,39,39
1513596043,43,43
1513600108,43,43
1513603971,43,43
1513605882,41,41
1513609703,40,40
1513611644,40,40
1513613574,41,41
1513615463,43,43
1513617430,43,43
1513621468,42,42
1513623726,43,43
1513625586,45,45
1513627819,44,44
1513629656,43,43
1513635511,42,42
1513637354,41,41
1513641172,41,41
1513645116,40,40
1513647007,41,41
1513648979,44,44
1513650803,43,43
1513652687,44,44
1513654694,46,46
1513660344,47,47
1513662363,46,46
1513664226,47,47
1513671863,45,45
1513675997,42,42
1513678444,43,43
1513680477,33,33
1513682418,31,31
1513684354,32,32
1513686388,32,32
1513688492,33,33
1513690647,35,35
1513698316,34,34
1513700218,33,33
1513702128,37,37
1513704176,36,36
1513705988,36,36
1513708136,37,37
1513710103,37,37
1513712011,36,36
1513713914,37,37
1513717374,39,39
1513720980,42,42
1513723105,43,43
1513726705,42,42
1513731525,45,45
1513733332,45,45
1513735295,45,45
1513737171,48,48
1513739087,47,47
1513741015,45,45
1513742934,46,46
1513744832,45,45
1513746781,46,46
1513748677,48,48
1513750620,48,48
1513756357,49,49
1513758237,50,50
1513761192,54,54
1513765059,56,56
1513767163,54,54
1513769115,54,54
1513771008,53,53
1513772968,52,52
1513774891,52,52
1513776807,52,52
1513778674,51,51
1513782563,52,52
1513784499,53,53
1513786412,54,54
1513790572,50,50
1513793672,50,50
1513795485,49,49
1513798656,47,47
1513800543,48,48
1513804391,47,47
1513806344,46,46
1513808632,45,45
1513814953,47,47
1513817076,47,47
1513818994,46,46
1513820818,45,45
1513822833,41,41
1513824694,42,42
1513826671,44,44
1513828527,44,44
1513832361,42,42
1513834608,39,39
1513836532,38,38
1513844468,36,36
1513846610,33,33
1513848532,32,32
1513850507,32,32
1513852619,31,31
1513854537,33,33
1513856442,35,35
1513860299,34,34
1513862229,33,33
1513866282,34,34
1513868491,33,33
1513870374,35,35
1513872297,34,34
1513874204,33,33
1513876358,32,32
1513878314,31,31
1513880190,30,30
1513882360,32,32
1513888679,31,31
1513894383,28,28
1513896196,28,28
1513901677,26,26
1513908761,26,26
1513910896,26,26
1513912819,25,25
1513914697,23,23
1513916655,25,25
1513918594,41,41
1513924378,43,43
1513928197,44,44
1513934389,49,49
1513936394,48,48
1513940298,48,48
1513942388,48,48
1513944298,49,49
1513948242,49,49
1513952029,50,50
1513953872,50,50
1513955857,49,49
1513957735,49,49
1513959685,50,50
1513961563,50,50
1513967383,51,51
1513969290,50,50
1513971227,51,51
1513973079,52,52
1513982753,53,53
1513986993,54,54
1513991059,55,55
1513995169,53,53
1513997066,52,52
1513999001,51,51
1514002829,50,50
1514004745,35,35
1514006685,36,36
1514008593,38,38
1514010507,35,35
1514014365,34,34
1514020106,34,34
1514022026,32,32
1514023959,31,31
1514025871,31,31
1514027799,33,33
1514029717,33,33
1514031889,32,32
1514035717,33,33
1514039560,33,33
1514041484,35,35
1514043394,36,36
1514045305,34,34
1514053099,33,33
1514056834,33,33
1514060675,32,32
1514062595,34,34
1514064525,35,35
1514068371,33,33
1514070187,34,34
1514072214,33,33
1514074148,34,34
1514077975,33,33
1514084212,31,31
1514089970,29,29
1514091892,29,29
1514094046,27,27
1514095971,25,25
1514097865,26,26
1514099834,27,27
1514105853,26,26
1514111799,24,24
1514114035,22,22
1514116007,20,20
1514117896,21,21
1514119829,20,20
1514123728,19,19
1514127526,18,18
1514129398,16,16
1514135315,17,17
1514139425,18,18
1514143683,18,18
1514149511,18,18
1514151653,19,19
1514155492,18,18
1514161257,16,16
1514165078,17,17
1514167096,18,18
1514170907,19,19
1514172758,20,20
1514176620,21,21
1514178654,22,22
1514182567,24,24
1514184516,23,23
1514186412,23,23
1514196288,24,24
1514198212,25,25
1514200138,26,26
1514204689,26,26
1514206580,25,25
1514212578,25,25
1514218952,26,26
1514221291,29,29
1514225074,28,28
1514228921,29,29
1514230843,28,28
1514232772,29,29
1514234689,28,28
1514236596,27,27
1514238437,27,27
1514240440,28,28
1514244065,29,29
1514248094,30,30
1514249928,32,32
1514251936,31,31
1514253745,31,31
1514255583,32,32
1514257588,33,33
1514259396,35,35
1514263459,34,34
1514265271,33,33
1514267088,32,32
1514269165,33,33
1514273257,32,32
1514275291,34,34
1514277281,37,37
1514279084,40,40
1514281134,40,40
1514283105,42,42
1514285160,40,40
1514287000,39,39
1514290858,38,38
1514294695,39,39
1514296730,40,40
1514300550,40,40
1514302372,42,42
1514304365,41,41
1514306216,40,40
1514308265,38,38
1514310535,39,39
1514312682,39,39
1514314910,40,40
1514317018,39,39
1514319211,41,41
1514323045,43,43
1514324950,42,42
1514326866,42,42
1514330727,41,41
1514333486,42,42
1514336206,42,42
1514338275,46,46
1514340150,48,48
1514342199,47,47
1514344371,47,47
1514346294,48,48
1514348223,49,49
1514350129,51,51
1514352047,53,53
1514354501,54,54
1514356368,55,55
1514358275,56,56
1514360212,56,56
1514362126,59,59
1514364029,59,59
1514365952,58,58
