DateTime,AddedIPs,RemovedIPs
1512401315,0,1
1512480035,1,0
1512481961,12,0
1512565504,0,13
1512576074,1,0
1512663639,8,1
1512748134,0,8
1512933428,2,0
1513017415,0,2
1513088537,5,0
1513173183,0,5
1513190917,2,0
1513276120,0,2
1513294516,9,0
1513353699,3,0
1513381226,0,6
1513438377,0,6
1513550431,6,0
1513635511,0,6
1513679494,1,0
1513681470,7,0
1513765059,0,8
1513988186,5,0
1514043395,3,0
1514076060,0,5
1514129398,0,3
1514151164,1,0
1514238438,7,1
1514323045,0,7
1514395077,5,0
1514479665,0,5
1514503091,4,0
1514505173,1,0
1514589995,1,4
1514592138,5,0
1514644846,5,0
1514677861,0,6
