DateTime,AddedIPs,RemovedIPs
1513705989,10,18
1513708137,14,8
1513710104,5,5
1513712012,11,17
1513713915,11,11
1513717375,11,20
1513720981,16,18
1513723106,8,22
1513726706,26,19
1513728619,11,5
1513731526,7,13
1513733333,11,11
1513735296,16,15
1513737172,20,9
1513739088,10,13
1513741016,285,6
1513742935,18,2
1513744833,22,2
1513746782,9,3
1513748678,9,9
1513750621,10,9
1513752509,13,10
1513754479,7,6
1513756358,6,2
1513758238,14,3
1513761193,22,4
1513763065,11,12
1513765059,25,7
1513767164,8,2
1513769116,10,8
1513771009,10,8
1513772969,23,3
1513774892,20,14
1513776808,20,8
1513778675,10,8
1513780614,13,9
1513782564,8,6
1513784500,9,4
1513786413,20,5
1513790573,23,16
1513793672,21,9
1513795485,15,3
1513798657,13,8
1513800545,20,2
1513802484,14,3
1513804392,9,2
1513806345,24,6
1513808633,28,3
1513810601,31,19
1513813099,15,2
1513814954,11,7
1513817077,8,2
1513818995,14,1
1513820818,7,8
1513822833,9,7
1513824696,10,10
1513826672,17,2
1513828528,11,542
1513830522,2,21
1513832362,110,8
1513834609,245,8
1513836533,12,4
1513838502,4,6
1513840378,3,3
1513842268,5,4
1513844469,9,5
1513846611,9,9
1513848532,11,8
1513850508,7,2
1513852620,8,25
1513854538,15,4
1513856443,9,9
1513858477,10,15
1513860300,15,13
1513862229,17,15
1513864384,15,5
1513866283,12,3
1513868491,32,5
1513870375,10,7
1513872298,10,4
1513874205,18,2
1513876358,13,5
1513878315,21,5
1513880191,14,1
1513882360,20,3
1513884292,9,5
1513888680,12,12
1513894384,18,27
1513896197,10,18
1513901677,14,25
1513908762,30,15
1513910897,10,3
1513912820,10,6
1513914698,16,2
1513916656,19,3
1513918594,16,4
1513920503,11,63
1513922510,6,6
1513924379,8,0
1513926347,11,2
1513928198,9,1
1513930382,9,3
1513932275,17,8
1513934390,17,1
1513936395,12,6
1513938219,13,4
1513940299,13,4
1513942389,9,4
1513944299,12,317
1513946211,16,275
1513948243,17,21
1513950045,13,17
1513952030,17,12
1513953873,20,31
1513955857,20,18
1513957736,18,9
1513959685,18,12
1513961564,16,14
1513963550,16,17
1513965418,9,19
1513967384,16,12
1513969291,15,18
1513971228,12,12
1513973080,8,7
1513975064,7,6
1513976929,23,6
1513978883,14,7
1513980780,6,6
1513982754,5,10
1513984867,15,6
1513986994,11,6
1513988938,8,6
1513991059,9,6
1513992990,12,7
1513995169,13,13
1513997067,3,9
1513999002,3,9
1514000919,6,12
1514002830,11,21
1514004746,8,19
1514006686,11,11
1514008594,15,8
1514010508,7,9
1514012490,295,6
1514014366,12,8
1514016273,11,3
1514018193,6,10
1514020106,10,9
1514022027,20,6
1514023960,26,14
1514025871,11,6
1514027800,17,8
1514029718,14,4
1514031890,15,11
1514033869,20,8
1514035718,9,4
1514037689,6,5
1514039561,5,4
1514041485,6,13
1514043395,24,1
1514045306,14,12
1514047226,12,4
1514049152,11,2
1514051071,12,6
1514053099,12,6
1514054919,3,5
1514056834,4,4
1514058763,12,4
1514060676,5,5
1514062596,12,13
1514064526,7,9
1514066491,9,5
1514068372,22,2
1514070187,4,9
1514072215,6,3
1514074149,3,6
1514076060,15,5
1514077975,3,3
1514080038,14,9
1514082277,13,10
1514084213,13,4
1514086137,10,2
1514088090,5,3
1514089971,14,7
1514091893,13,5
1514094047,8,17
1514095973,13,0
1514097866,8,529
1514099835,4,7
1514102051,13,16
1514103883,13,8
1514105854,8,10
1514107802,13,20
1514109944,11,24
1514111800,5,13
1514114035,11,17
1514116008,11,14
1514117897,11,11
1514119830,24,21
1514121693,19,10
1514123729,10,9
1514125543,6,8
1514127527,8,10
1514129398,5,19
1514131452,11,20
1514133281,3,14
1514135316,8,12
1514137482,18,14
1514139426,3,12
1514141344,7,7
1514143684,6,10
1514145692,11,9
1514147561,10,8
1514149512,9,10
1514151653,11,9
1514153567,13,10
1514155492,4,19
1514157424,21,6
1514159247,16,6
1514161258,11,8
1514163250,10,9
1514165079,7,11
1514167097,21,10
1514168919,17,12
1514170908,16,17
1514172759,10,12
1514174804,10,12
1514176620,21,14
1514178655,9,17
1514180460,11,6
1514182568,14,15
1514184517,10,9
1514186413,9,8
1514188607,5,16
1514190535,5,9
1514192493,7,9
1514194380,10,13
1514196289,8,9
1514198213,12,7
1514200139,6,9
1514202655,7,14
1514204690,10,9
1514206581,5,34
1514208612,8,14
1514210577,178,9
1514212579,6,10
1514214430,18,4
1514216677,9,5
1514218953,10,14
1514221291,12,8
1514223166,4,10
1514225075,4,6
1514227007,7,6
1514228922,13,8
1514230844,6,8
1514232773,8,11
1514234690,2,7
1514236597,3,9
1514238438,4,13
1514240441,12,12
1514242250,3,3
1514244065,14,25
1514246128,1,11
1514248095,8,9
1514249929,9,11
1514251937,6,10
1514253746,2,21
1514255583,2,18
1514257589,2,13
1514259397,2,9
1514261487,5,23
1514263460,0,7
1514265272,3,9
1514267089,13,9
1514269166,3,14
1514271147,10,8
1514273258,4,10
1514275292,7,3
1514277282,14,7
1514279085,13,9
1514281134,6,17
1514283106,8,9
1514285161,7,9
1514287000,21,10
1514289042,5,5
1514290859,8,10
1514292844,8,9
1514294695,10,6
1514296731,20,177
1514298550,8,1
1514300551,6,13
1514302372,5,9
1514304366,5,8
1514306217,16,6
1514308266,205,6
1514310536,20,2
1514312682,9,6
1514314911,6,12
1514317019,7,7
1514319211,11,6
1514321091,3,3
1514323046,2,0
1514324951,4,2
1514326867,4,12
1514328741,4,2
1514330728,19,13
1514333487,10,6
1514336207,4,10
1514338275,5,1
1514340151,9,6
1514342200,6,4
1514344371,3,2
1514346294,5,4
1514348224,7,2
1514350129,5,1
1514352047,32,6
1514354502,14,11
1514356369,7,1
1514358276,4,6
1514360213,3,4
1514362127,1,5
1514364030,2,14
1514365952,4,7
1514368133,7,6
1514370030,14,3
1514371985,6,6
1514373889,6,9
1514376096,4,4
1514378214,4,5
1514380119,10,9
1514382051,2,6
1514384233,9,15
1514386367,6,2
1514388290,7,2
1514390215,7,3
1514392125,3,10
1514394089,7,4
1514395989,4,268
1514397802,14,12
1514399834,10,7
1514401911,4,7
1514403867,2,10
1514405824,4,2
1514407699,5,4
1514409716,7,4
1514411564,2,3
1514413403,3,7
1514415414,7,6
1514417332,1,48
1514419510,8,9
1514421415,5,3
1514423340,3,5
1514425493,6,6
1514427430,2,13
1514429318,8,4
1514431272,9,3
1514433422,9,5
1514435328,4,5
1514437489,3,4
1514439641,4,34
1514441547,2,19
1514443481,94,4
1514445390,10,4
1514447302,8,3
1514449234,10,1
1514451162,7,1
1514453076,6,8
1514455292,7,11
1514457156,12,7
1514459321,12,10
1514461243,14,4
1514463419,16,2
1514465454,23,3
1514467461,16,11
1514469465,15,3
1514471824,29,11
1514473713,18,4
1514475568,19,7
1514477564,15,5
1514479665,19,7
1514481619,12,3
1514483533,8,12
1514485479,10,10
1514487738,9,9
1514489565,11,2
1514491498,14,6
1514493416,11,3
1514495348,17,3
1514497228,8,5
1514499150,7,2
1514501077,14,2
1514503092,5,3
1514505174,11,5
1514507084,11,5
1514509007,11,4
1514510925,2,3
1514512898,18,6
1514514790,16,3
1514516681,11,7
1514518625,8,14
1514520524,7,3
1514522710,9,1
1514524616,20,2
1514526532,7,1
1514528435,5,3
1514530373,9,11
1514532300,17,4
1514534228,7,5
1514536118,27,43
1514539923,14,2
1514541940,11,6
1514543807,5,8
1514545673,12,2
1514547629,9,9
1514549718,4,4
1514551728,14,5
1514553630,4,6
1514555534,13,6
1514557796,10,10
1514559695,12,10
1514562089,9,7
1514563994,4,5
1514565910,6,11
1514567819,9,6
1514569987,3,48
1514571872,10,3
1514573850,24,3
1514575731,9,8
1514577703,5,10
1514579808,8,7
1514581764,3,10
1514583630,5,4
1514585838,7,4
1514587727,6,7
1514589995,4,6
1514592138,1,3
1514594098,2,5
1514596125,17,2
1514598153,4,4
1514600131,2,10
1514602017,1,2
1514603950,1,1
1514605861,6,2
1514607766,6,2
1514609746,4,3
1514611664,12,14
1514613492,2,2
1514615550,7,6
1514617404,12,3
1514619464,5,14
1514621311,5,10
1514623295,5,14
1514625414,5,5
1514627333,8,298
1514629254,9,1
1514631173,22,6
1514633079,14,5
1514635022,4,4
1514636864,3,5
1514638901,9,6
1514641012,6,10
1514642919,4,12
1514644846,17,6
1514646769,5,5
1514649367,11,7
1514651568,5,9
1514653470,6,4
1514655401,3,7
1514657318,7,5
1514659241,13,14
1514661418,5,18
1514663516,3,9
1514665471,5,5
1514667541,8,4
1514669872,8,5
1514672036,10,9
1514673990,11,5
1514675813,5,4
1514677861,2,1
1514679881,3,2
1514682112,11,17
1514683966,7,5
1514685885,5,1
1514688127,16,2
1514689985,4,0
1514691889,7,5
1514694049,7,5
1514695987,1,77
1514697877,6,14
1514699806,16,1
1514701751,7,6
1514703891,8,14
1514705816,2,6
1514707729,4,3
1514709636,11,5
1514711571,4,5
1514713494,5,8
1514715420,8,12
1514717309,5,21
1514719250,3,13
