DateTime,AddedIPs,RemovedIPs
1512344200,0,1
1512350751,1,0
1512352580,0,1
1512356491,1,0
1512377586,1,1
1512379470,1,0
1512383346,0,1
1512387170,0,1
1512393172,1,0
1512405182,1,0
1512407072,0,1
1512409027,0,1
1512413478,0,1
1512419581,0,1
1512423388,0,1
1512425316,1,0
1512435179,0,1
1512442899,0,1
1512463990,1,1
1512469969,2,0
1512475896,1,0
1512477873,0,1
1512479790,0,2
1512486094,0,2
1512487966,1,0
1512489867,1,2
1512492050,2,0
1512497805,1,0
1512499746,1,0
1512501906,1,0
1512503825,3,0
1512513427,1,0
1512536702,0,1
1512538634,0,1
1512548214,1,0
1512550154,0,1
1512555935,0,1
1512561738,1,2
1512563587,1,1
1512571516,1,0
1512575333,0,1
1512577258,0,1
1512579177,0,1
1512583012,0,1
1512585003,1,1
1512586900,1,0
1512589044,0,2
1512590953,1,1
1512602933,1,1
1512608942,1,0
1512618567,0,1
1512628128,1,1
1512630195,3,0
1512632181,0,1
1512634099,1,0
1512651402,0,1
1512655296,0,1
1512659309,1,0
1512668788,0,1
1512672527,1,1
1512678264,0,2
1512689015,2,0
1512694907,0,1
1512707079,0,1
1512714776,0,1
1512716683,1,2
1512718585,1,0
1512734190,2,0
1512744049,2,1
1512751969,1,0
1512757968,1,0
1512759878,0,1
1512761781,0,1
1512769469,2,0
1512774731,0,1
1512776677,1,0
1512782365,1,0
1512790000,1,0
1512795699,1,0
1512797741,1,0
1512799710,1,0
1512805463,0,1
1512815066,1,0
1512824605,0,1
1512826848,1,0
1512828772,3,0
1512830709,1,0
1512834763,1,0
1512836690,0,1
1512842499,0,1
1512844373,0,1
1512846279,0,1
1512850128,1,0
1512852048,1,0
1512855870,0,2
1512859625,1,3
1512861927,1,1
1512873385,1,0
1512883014,0,1
1512884909,0,1
1512896527,0,1
1512900276,1,0
1512902223,0,1
1512912046,0,1
1512915868,1,1
1512917842,0,1
1512919727,0,1
1512921689,0,1
1512927399,1,0
1512935329,0,1
1512939470,1,1
1512943303,1,0
1512947070,0,1
1512954749,1,0
