DateTime,Entries,UniqueIPs
1512342241,27,27
1512344200,26,26
1512350751,27,27
1512352580,26,26
1512356491,27,27
1512377586,27,27
1512379470,28,28
1512383346,27,27
1512387170,26,26
1512393172,27,27
1512405182,28,28
1512407072,27,27
1512409027,26,26
1512413478,25,25
1512419581,24,24
1512423388,23,23
1512425316,24,24
1512435179,23,23
1512442899,22,22
1512463990,22,22
1512469969,24,24
1512475896,25,25
1512477873,24,24
1512479790,22,22
1512486094,20,20
1512487966,21,21
1512489867,20,20
1512492050,22,22
1512497805,23,23
1512499746,24,24
1512501906,25,25
1512503825,28,28
1512513427,29,29
1512536702,28,28
1512538634,27,27
1512548214,28,28
1512550154,27,27
1512555935,26,26
1512561738,25,25
1512563587,25,25
1512571516,26,26
1512575333,25,25
1512577258,24,24
1512579177,23,23
1512583012,22,22
1512585003,22,22
1512586900,23,23
1512589044,21,21
1512590953,21,21
1512602933,21,21
1512608942,22,22
1512618567,21,21
1512628128,21,21
1512630195,24,24
1512632181,23,23
1512634099,24,24
1512651402,23,23
1512655296,22,22
1512659309,23,23
1512668788,22,22
1512672527,22,22
1512678264,20,20
1512689015,22,22
1512694907,21,21
1512707079,20,20
1512714776,19,19
1512716683,18,18
1512718585,19,19
1512734190,21,21
1512744049,22,22
1512751969,23,23
1512757968,24,24
1512759878,23,23
1512761781,22,22
1512769469,24,24
1512774731,23,23
1512776677,24,24
1512782365,25,25
1512790000,26,26
1512795699,27,27
1512797741,28,28
1512799710,29,29
1512805463,28,28
1512815066,29,29
1512824605,28,28
1512826848,29,29
1512828772,32,32
1512830709,33,33
1512834763,34,34
1512836690,33,33
1512842499,32,32
1512844373,31,31
1512846279,30,30
1512850128,31,31
1512852048,32,32
1512855870,30,30
1512859625,28,28
1512861927,28,28
1512873385,29,29
1512883014,28,28
1512884909,27,27
1512896527,26,26
1512900276,27,27
1512902223,26,26
1512912046,25,25
1512915868,25,25
1512917842,24,24
1512919727,23,23
1512921689,22,22
1512927399,23,23
1512935329,22,22
1512939470,22,22
1512943303,23,23
1512947070,22,22
1512954749,23,23
1512956675,24,24
1512958867,23,23
1512976128,24,24
1512985719,23,23
1512987658,23,23
1512991486,24,24
1512997298,24,24
1513003022,23,23
1513004907,22,22
1513014715,23,23
1513021263,24,24
1513032741,23,23
1513034685,24,24
1513038514,23,23
1513042377,21,21
1513044290,22,22
1513053887,23,23
1513063487,22,22
1513065417,23,23
1513067313,24,24
1513071177,23,23
1513078854,23,23
1513096399,22,22
1513098319,23,23
1513104285,24,24
1513111958,23,23
1513113862,22,22
1513115802,23,23
1513120145,22,22
1513122139,24,24
1513128064,25,25
1513132144,24,24
1513142198,23,23
1513150140,25,25
1513153969,24,24
1513169345,25,25
1513171357,26,26
1513173184,28,28
1513175118,27,27
1513177033,29,29
1513181474,28,28
1513185426,27,27
1513187346,28,28
1513189260,29,29
1513191163,28,28
1513199087,29,29
1513201014,31,31
1513206988,30,30
1513208907,31,31
1513214711,30,30
1513218523,29,29
1513235812,30,30
1513237718,31,31
1513239626,32,32
1513241548,33,33
1513243465,34,34
1513256492,33,33
1513258600,31,31
1513262426,30,30
1513274199,29,29
1513276121,28,28
1513279974,29,29
1513281889,28,28
1513287639,28,28
1513295322,29,29
1513297306,31,31
1513299162,34,34
1513301261,32,32
1513305163,33,33
1513320493,32,32
1513324335,31,31
1513326293,30,30
1513328104,28,28
1513330114,28,28
1513335773,29,29
1513337581,30,30
1513339625,31,31
1513341641,32,32
1513349783,33,33
1513359348,32,32
1513361323,33,33
1513367047,33,33
1513372859,32,32
1513375297,33,33
1513383180,31,31
1513385056,31,31
1513390772,32,32
1513392771,31,31
1513396892,32,32
1513404767,31,31
1513415121,30,30
1513424700,29,29
1513426638,28,28
1513428501,27,27
1513434513,25,25
1513442617,24,24
1513444586,23,23
1513452275,24,24
1513461875,23,23
1513471488,21,21
1513473602,20,20
1513475567,19,19
1513477480,18,18
1513481319,19,19
1513496690,18,18
1513517785,19,19
1513527389,19,19
1513531238,19,19
