DateTime,AddedIPs,RemovedIPs
1512730126,1,0
1512738293,1,0
1512740215,1,1
1512751969,1,0
1512754126,1,0
1512761781,1,0
1512763703,1,0
1512767569,2,1
1512769470,0,1
1512771413,1,0
1512774731,4,0
1512782366,1,0
1512784356,1,2
1512786233,0,1
1512788194,0,3
1512790000,0,3
1512793884,0,3
1512795699,0,1
1512799710,0,2
1512801618,1,1
1512805463,1,0
1512811235,0,2
1512813131,0,4
1512815066,1,2
1512824605,0,1
1512826848,2,1
1512834763,1,0
1512836690,0,1
1512838601,2,0
1512840519,2,1
1512842499,3,0
1512844373,1,0
1512846280,2,0
1512848216,5,1
1512850129,1,1
1512855870,1,2
1512857797,0,1
1512859625,0,2
1512861927,0,2
1512867695,0,1
1512871509,1,1
1512877236,2,0
1512879175,2,0
1512884910,1,0
1512886862,0,1
1512890674,0,1
1512894529,1,0
1512900276,0,1
1512912047,0,2
1512913981,1,0
1512915868,1,0
1512921689,0,1
1512925488,0,2
1512927399,0,3
1512929346,1,2
1512931220,0,2
1512933429,1,4
1512935329,0,3
1512939470,1,0
1512941345,1,0
1512943303,0,1
1512947070,1,0
1512958867,1,1
1512960776,2,0
1512962683,0,1
1512964612,0,1
1512966509,0,2
1512968502,2,0
1512972289,0,1
1512974185,1,0
1512976128,2,0
1512981876,1,1
1512991486,1,0
1512993389,1,0
1512995325,1,0
1512999164,1,0
1513001082,0,1
1513003022,0,1
1513006855,2,0
1513010682,1,0
1513014716,1,0
1513017416,0,1
1513019313,0,1
1513027023,0,2
1513030850,2,0
1513032742,0,1
1513036590,2,0
1513044290,0,1
1513046192,2,1
1513048162,1,1
1513053887,0,2
1513059649,0,1
1513061571,0,2
1513067314,1,0
1513069300,0,1
1513071177,2,0
1513076912,0,1
1513078855,3,0
1513080876,1,1
1513082682,0,1
1513086512,0,1
1513090377,1,0
1513092283,0,2
1513096399,0,1
1513098319,1,0
1513100395,1,0
1513102359,0,1
1513104285,2,0
1513108132,1,0
1513113863,1,0
1513115803,1,1
1513117976,0,1
1513122140,0,2
1513132145,0,1
1513134101,1,2
1513145979,1,0
1513148210,1,0
1513153970,2,1
1513157816,0,2
1513165482,1,3
1513167430,1,1
1513169345,1,0
1513171357,1,0
1513173184,1,0
1513177033,0,1
1513183483,0,1
1513187346,1,1
1513189261,0,1
1513191164,0,1
1513195295,0,1
1513201014,0,1
1513202929,1,1
1513205081,1,0
1513208907,1,0
1513212749,1,0
1513220496,0,1
1513222374,2,0
1513231964,0,1
1513233899,0,1
1513239627,0,2
1513245394,2,0
1513248279,2,0
1513250332,0,1
1513254456,1,2
1513256492,1,1
1513258600,0,1
1513266459,1,0
1513270371,1,0
1513272275,1,0
1513274200,1,1
1513278090,1,0
1513285745,1,0
1513289603,0,1
1513291481,0,1
1513295322,0,1
1513297306,0,1
1513301262,1,0
1513305163,1,0
1513307064,1,0
1513308992,0,2
1513310940,1,0
1513328104,1,0
1513331931,1,2
1513333951,0,1
1513335773,0,1
1513339625,1,0
1513341641,0,1
1513343792,0,1
1513351617,1,0
1513353700,0,1
1513355569,0,1
1513359348,1,1
1513361323,0,1
1513365141,1,1
1513367048,3,0
1513372859,0,1
1513377177,1,0
1513386995,0,1
1513388927,3,0
1513392771,0,1
1513394904,0,1
1513396892,1,1
1513399017,1,0
