DateTime,Entries,UniqueIPs
1513710105,349,349
1513712013,349,349
1513713916,358,358
1513717376,366,366
1513720982,374,374
1513723107,377,377
1513726706,379,379
1513728620,385,385
1513730614,395,395
1513732450,398,398
1513734271,408,408
1513736294,421,421
1513738126,435,435
1513740112,436,436
1513741975,435,435
1513743929,436,436
1513745816,440,440
1513747780,440,440
1513749697,451,451
1513751639,454,454
1513753487,449,449
1513755685,443,443
1513757567,449,449
1513759764,453,453
1513762071,466,466
1513764105,470,470
1513766185,472,472
1513768117,471,471
1513770270,473,473
1513772084,477,477
1513774056,465,465
1513776275,464,464
1513778207,466,466
1513780143,465,465
1513782103,472,472
1513783969,485,485
1513785903,485,485
1513787834,486,486
1513793673,469,469
1513795486,460,460
1513798658,461,461
1513800547,455,455
1513802485,453,453
1513804393,466,466
1513806345,463,463
1513808634,458,458
1513810601,471,471
1513813100,474,474
1513814956,471,471
1513817078,468,468
1513818996,477,477
1513820819,476,476
1513822834,470,470
1513824698,471,471
1513826673,473,473
1513828529,481,481
1513830523,474,474
1513832363,470,470
1513834610,465,465
1513836534,451,451
1513838502,452,452
1513840379,453,453
1513842270,449,449
1513844470,444,444
1513846613,441,441
1513848534,434,434
1513850510,434,434
1513852623,446,446
1513854539,465,465
1513856444,480,480
1513858478,476,476
1513860301,465,465
1513862230,447,447
1513864385,423,423
1513866284,408,408
1513868492,388,388
1513870375,369,369
1513872299,371,371
1513874205,378,378
1513876359,386,386
1513878315,387,387
1513880192,393,393
1513882361,400,400
1513884292,404,404
1513888681,403,403
1513892196,388,388
1513895535,388,388
1513897354,381,381
1513901678,363,363
1513908763,350,350
1513910897,340,340
1513912821,339,339
1513914699,332,332
1513916657,334,334
1513918595,336,336
1513920504,337,337
1513922511,339,339
1513924380,345,345
1513926348,340,340
1513928199,340,340
1513930382,342,342
1513932276,344,344
1513934390,341,341
1513936396,339,339
1513938220,331,331
1513940300,315,315
1513942390,308,308
1513944300,321,321
1513946212,325,325
1513948244,329,329
1513950047,349,349
1513952031,352,352
1513953874,366,366
1513955858,375,375
1513957736,371,371
1513959686,375,375
1513961565,390,390
1513963552,382,382
1513965419,386,386
1513967385,393,393
1513969292,383,383
1513971229,387,387
1513973081,388,388
1513975064,385,385
1513976930,379,379
1513978883,380,380
1513980781,380,380
1513982755,375,375
1513984868,372,372
1513986995,374,374
1513988939,375,375
1513991060,369,369
1513992990,370,370
1513995171,364,364
1513997068,357,357
1513999004,353,353
1514000920,351,351
1514002831,350,350
1514004747,349,349
1514006687,350,350
1514008595,349,349
1514010509,347,347
1514012491,342,342
1514014367,339,339
1514016274,337,337
1514018194,333,333
1514020107,334,334
1514022027,333,333
1514023960,336,336
1514025872,332,332
1514027801,317,317
1514029718,298,298
1514031891,277,277
1514033869,274,274
1514035718,261,261
1514037690,249,249
1514039562,241,241
1514041486,231,231
1514043396,219,219
1514045308,200,200
1514047228,189,189
1514049154,171,171
1514051073,164,164
1514053101,141,141
1514054921,136,136
1514056836,126,126
1514058766,124,124
1514060678,126,126
1514062598,120,120
1514064527,115,115
1514066493,115,115
1514068373,111,111
1514070189,113,113
1514072217,112,112
1514074150,110,110
1514076062,110,110
1514077977,113,113
1514080039,110,110
1514082278,108,108
1514084214,107,107
1514086139,108,108
1514088091,108,108
1514089973,109,109
1514091895,110,110
