DateTime,Entries,UniqueIPs
1512342252,3,3
1512401317,0,0
1512480036,6,6
1512565505,0,0
1512576086,8,8
1512663641,4,4
1512748135,0,0
1512933430,1,1
1513017417,0,0
1513087971,10,10
1513171739,0,0
1513190668,1,1
1513276618,0,0
1513353343,3,3
1513438379,0,0
1513550431,9,9
1513635513,0,0
1513679495,11,11
1513764106,0,0
1513986995,2,2
1513988940,4,4
1514043397,6,6
1514074151,4,4
1514076062,2,2
1514129400,0,0
1514151165,5,5
1514238439,12,12
1514323047,11,11
1514339121,8,8
1514395991,12,12
1514425495,6,6
1514479666,0,0
1514503094,4,4
1514589997,7,7
1514644849,13,13
1514675814,10,10
