DateTime,Entries,UniqueIPs
1513517787,60,60
1513519736,59,59
1513523575,59,59
1513525466,60,60
1513527391,59,59
1513529330,60,60
1513531241,58,58
1513533144,59,59
1513535325,61,61
1513539158,60,60
1513541097,61,61
1513542995,56,56
1513545110,52,52
1513547091,53,53
1513549255,53,53
1513551159,51,51
1513552997,49,49
1513555322,48,48
1513557193,48,48
1513559100,46,46
1513561017,44,44
1513562935,43,43
1513564841,42,42
1513566802,41,41
1513568682,41,41
1513570630,41,41
1513572521,41,41
1513578300,42,42
1513580218,41,41
1513582132,40,40
1513584098,39,39
1513586009,38,38
1513588163,36,36
1513590039,35,35
1513591978,35,35
1513593871,32,32
1513596047,33,33
1513597972,34,34
1513600111,34,34
1513602100,34,34
1513603975,33,33
1513605886,35,35
1513609706,36,36
1513611648,40,40
1513613578,39,39
1513615466,38,38
1513617433,36,36
1513619314,39,39
1513621471,39,39
1513623730,40,40
1513625590,40,40
1513627823,41,41
1513631649,41,41
1513633490,41,41
1513635515,40,40
1513639348,39,39
1513643139,40,40
1513647012,41,41
1513648983,43,43
1513650808,44,44
1513652692,45,45
1513654699,47,47
1513656518,45,45
1513658541,47,47
1513660347,47,47
1513669980,50,50
1513671867,49,49
1513673800,48,48
1513678448,49,49
1513680481,50,50
1513682422,50,50
1513684357,49,49
1513686392,48,48
1513688495,49,49
1513690650,52,52
1513692535,54,54
1513694472,55,55
1513696386,53,53
1513698320,49,49
1513700222,52,52
1513702132,53,53
1513705993,50,50
1513708140,50,50
1513710106,49,49
1513712014,50,50
1513713917,50,50
1513717378,49,49
1513720983,47,47
1513723109,49,49
1513725211,50,50
1513728272,50,50
1513730617,51,51
1513732452,52,52
1513736295,49,49
1513738128,51,51
1513740113,48,48
1513743931,47,47
1513745818,48,48
1513747782,50,50
1513749699,51,51
1513751641,54,54
1513753488,55,55
1513755686,55,55
1513757569,54,54
1513759765,55,55
1513762072,56,56
1513764107,55,55
1513766187,52,52
1513768118,51,51
1513770272,53,53
1513772085,54,54
1513774057,54,54
1513776276,49,49
1513778209,50,50
1513780145,48,48
1513782105,49,49
1513783970,47,47
1513785905,47,47
1513787835,44,44
1513793674,43,43
1513795486,45,45
1513798658,45,45
1513800550,44,44
1513804396,46,46
1513806346,45,45
1513808636,43,43
1513810602,44,44
1513813101,43,43
1513814957,42,42
1513817079,44,44
1513818997,43,43
1513822836,45,45
1513824699,42,42
1513826676,44,44
1513828530,45,45
1513830526,46,46
1513832364,46,46
1513834612,44,44
1513836536,43,43
1513838504,43,43
1513840380,42,42
1513842271,41,41
1513844472,43,43
1513846614,41,41
1513850511,42,42
1513854540,43,43
1513856445,44,44
1513858479,44,44
1513860302,45,45
1513862232,49,49
1513864386,49,49
1513866285,49,49
1513868493,49,49
1513870377,51,51
1513872301,51,51
1513874207,51,51
1513878317,56,56
1513880193,57,57
1513882363,58,58
1513884294,61,61
1513888683,61,61
1513892203,58,58
1513895537,57,57
1513901680,56,56
1513908765,55,55
1513912822,53,53
1513914700,55,55
1513916658,55,55
1513918597,55,55
1513920506,56,56
1513922512,58,58
1513924382,57,57
1513926350,58,58
1513928200,60,60
1513930384,61,61
1513932277,61,61
1513936397,62,62
1513938221,60,60
1513942392,57,57
1513944302,56,56
1513946214,55,55
1513948246,54,54
1513950048,54,54
1513952032,53,53
1513953875,54,54
1513955860,53,53
1513957738,53,53
1513959687,54,54
1513961566,56,56
1513963554,54,54
1513965420,54,54
1513967386,52,52
1513969293,52,52
1513971230,53,53
1513973082,51,51
1513975066,52,52
1513976932,53,53
1513978885,55,55
1513980782,56,56
1513982756,57,57
1513986996,59,59
1513988941,58,58
1513991062,58,58
1513992992,56,56
1513997070,57,57
1513999006,58,58
1514000922,57,57
1514002832,56,56
