DateTime,AddedIPs,RemovedIPs
1513710106,86,2058
1513712014,77,2735
1513713917,69,1574
1513717377,115,136
1513720982,140,1189
1513723108,85,1022
1513725208,108,86
1513728272,139,132
1513730616,92,119
1513732451,68,77
1513734271,77,84
1513736294,105,79
1513738127,75,65
1513740113,116,105
1513741976,107,89
1513743930,102,75
1513745817,121,84
1513747781,98,56
1513749698,98,80
1513751640,101,70
1513753487,98,64
1513755686,99,101
1513757568,90,69
1513759765,114,86
1513762072,103,82
1513764106,79,71
1513766186,133,90
1513768118,92,109
1513770271,172,156
1513772084,127,93
1513774057,105,108
1513776276,132,92
1513778208,100,95
1513780144,115,89
1513782104,105,77
1513783970,112,91
1513785904,117,80
1513787835,62,96
1513789815,33,85
1513791889,68,97
1513799099,215,315
1513801240,125,65
1513803155,114,49
1513805082,106,73
1513806979,82,75
1513808938,103,80
1513810837,87,94
1513813101,98,110
1513814956,90,73
1513817079,138,81
1513818997,91,70
1513820820,135,67
1513822835,96,98
1513824698,82,75
1513826675,92,112
1513828530,82,167
1513830525,92,87
1513832364,69,108
1513834611,94,108
1513836535,91,89
1513838503,97,108
1513840379,93,84
1513842271,101,90
1513844471,133,117
1513846614,104,113
1513848535,225,92
1513850510,232,82
1513852624,94,124
1513854540,105,106
1513856444,98,113
1513858479,91,182
1513860302,150,106
1513862231,95,160
1513864386,168,118
1513866284,100,104
1513868493,101,121
1513870376,87,111
1513872300,81,123
1513874206,77,55
1513876360,112,91
1513878316,112,83
1513880193,107,60
1513882362,113,57
1513884293,84,40
1513888682,152,229
1513892202,131,189
1513895536,80,154
1513897355,50,78
1513901679,103,244
1513908764,239,380
1513910898,107,103
1513912822,93,105
1513914700,102,99
1513916658,99,80
1513918596,115,88
1513920505,106,81
1513922512,96,105
1513924381,97,96
1513926349,105,91
1513928200,83,107
1513930383,104,144
1513932277,107,101
1513934392,155,242
1513936396,113,87
1513938220,77,232
1513940301,90,105
1513942391,124,124
1513944301,96,81
1513946213,78,161
1513948245,131,118
1513950048,89,110
1513952031,102,146
1513953875,158,100
1513955859,102,97
1513957737,113,94
1513959687,128,97
1513961566,101,87
1513963553,91,106
1513965420,101,105
1513967386,85,106
1513969293,88,91
1513971230,231,95
1513973081,73,73
1513975065,116,47
1513976931,120,86
1513978884,139,59
1513980782,105,47
1513982756,96,42
1513984868,118,69
1513986996,120,42
1513988940,116,33
1513991061,150,57
1513992992,204,45
1513995172,123,106
1513997069,116,97
1513999005,102,85
1514000921,113,77
1514002832,101,84
1514004748,96,105
1514006687,99,88
1514008596,80,86
1514010510,69,94
1514012492,89,102
1514014368,94,84
1514016275,94,79
1514018195,112,96
1514020108,100,137
1514022028,120,98
1514023961,108,85
1514025873,110,72
1514027802,85,111
1514029719,130,108
1514031892,130,97
1514033872,116,93
1514035719,92,113
1514037691,141,81
1514039563,109,144
1514041487,126,109
1514043397,93,117
1514045309,102,104
1514047229,91,117
1514049155,106,110
1514051074,102,87
1514053104,122,91
1514054923,75,72
1514056837,86,223
1514058767,119,68
1514060679,92,92
1514062599,108,112
1514064528,98,131
1514066494,136,90
1514068374,105,97
1514070190,91,97
1514072218,102,100
1514074151,96,110
1514076063,99,120
1514077978,85,176
1514080040,100,166
1514082279,135,121
1514084215,87,129
1514086140,130,90
1514088092,103,101
1514089973,106,104
1514091895,92,75
1514094049,118,105
1514095975,98,73
1514097867,84,86
1514099838,83,79
1514102053,100,127
1514103885,93,96
1514105856,100,121
1514107804,97,110
1514109946,118,114
1514111802,87,110
1514114037,112,110
1514116012,89,168
1514117902,84,136
1514119831,100,109
1514121694,96,98
1514123731,82,142
1514125545,115,116
1514127529,145,108
1514129400,132,132
1514131454,154,104
1514133283,112,98
1514135318,119,114
1514137483,121,119
1514139429,99,125
1514141346,102,81
1514143686,97,104
1514145694,86,119
1514147563,79,94
1514149515,155,125
1514151655,137,121
1514153569,194,117
1514155494,95,104
1514157427,83,94
1514159249,86,83
1514161260,1150,111
1514163253,1068,95
1514165081,79,75
1514167099,110,94
1514168921,90,124
1514170910,100,90
1514172761,95,122
1514174807,94,104
1514176622,80,94
1514178657,89,114
1514180462,85,81
1514182569,71,102
1514184519,83,95
1514186415,130,75
1514188609,99,96
1514190537,125,105
1514192494,97,91
1514194381,95,114
1514196291,102,98
1514198215,89,102
1514200141,103,87
1514202658,120,95
1514204692,90,93
1514206583,119,100
1514208615,93,91
1514210580,89,85
1514212582,96,157
1514214432,101,103
1514216678,104,188
1514218955,128,151
1514221293,97,133
1514223168,95,96
1514225077,97,103
1514227009,72,90
1514228924,110,94
1514230846,143,60
1514232775,70,85
1514234691,119,75
1514236598,110,191
1514238440,111,104
1514240443,161,199
1514242251,78,95
1514244067,74,65
1514246129,95,94
1514248097,76,92
1514249931,103,92
1514251939,93,97
1514253748,78,94
1514255585,86,97
1514257591,170,110
1514259400,86,93
1514261490,126,82
1514263462,98,84
1514265274,88,79
1514267092,106,93
1514269169,83,83
1514271150,87,110
1514273261,100,106
1514275294,123,80
1514277284,98,137
1514279087,138,81
1514281137,99,107
1514283108,99,94
1514285163,110,117
1514287002,101,81
1514289044,104,106
1514290861,89,83
1514292845,107,131
