DateTime,Entries,UniqueIPs
1513710106,11762,11762
1513712014,9104,9104
1513713917,7599,7599
1513717377,7578,7578
1513720982,6529,6529
1513723108,5592,5592
1513725208,5614,5614
1513728272,5621,5621
1513730616,5594,5594
1513732451,5585,5585
1513734271,5578,5578
1513736294,5604,5604
1513738127,5614,5614
1513740113,5625,5625
1513741976,5643,5643
1513743930,5670,5670
1513745817,5707,5707
1513747781,5749,5749
1513749698,5767,5767
1513751640,5798,5798
1513753487,5832,5832
1513755686,5830,5830
1513757568,5851,5851
1513759765,5879,5879
1513762072,5900,5900
1513764106,5908,5908
1513766186,5951,5951
1513768118,5934,5934
1513770271,5950,5950
1513772084,5984,5984
1513774057,5981,5981
1513776276,6021,6021
1513778208,6026,6026
1513780144,6052,6052
1513782104,6080,6080
1513783970,6101,6101
1513785904,6138,6138
1513787835,6104,6104
1513789815,6052,6052
1513791889,6023,6023
1513799099,5923,5923
1513801240,5983,5983
1513803155,6048,6048
1513805082,6081,6081
1513806979,6088,6088
1513808938,6111,6111
1513810837,6104,6104
1513813101,6092,6092
1513814956,6109,6109
1513817079,6166,6166
1513818997,6187,6187
1513820820,6255,6255
1513822835,6253,6253
1513824698,6260,6260
1513826675,6240,6240
1513828530,6155,6155
1513830525,6160,6160
1513832364,6121,6121
1513834611,6107,6107
1513836535,6109,6109
1513838503,6098,6098
1513840379,6107,6107
1513842271,6118,6118
1513844471,6134,6134
1513846614,6125,6125
1513848535,6258,6258
1513850510,6408,6408
1513852624,6378,6378
1513854540,6377,6377
1513856444,6362,6362
1513858479,6271,6271
1513860302,6315,6315
1513862231,6250,6250
1513864386,6300,6300
1513866284,6296,6296
1513868493,6276,6276
1513870376,6252,6252
1513872300,6210,6210
1513874206,6232,6232
1513876360,6253,6253
1513878316,6282,6282
1513880193,6329,6329
1513882362,6385,6385
1513884293,6429,6429
1513888682,6352,6352
1513892202,6294,6294
1513895536,6220,6220
1513897355,6192,6192
1513901679,6051,6051
1513908764,5910,5910
1513910898,5914,5914
1513912822,5902,5902
1513914700,5905,5905
1513916658,5924,5924
1513918596,5951,5951
1513920505,5976,5976
1513922512,5967,5967
1513924381,5968,5968
1513926349,5982,5982
1513928200,5958,5958
1513930383,5918,5918
1513932277,5924,5924
1513934392,5837,5837
1513936396,5863,5863
1513938220,5708,5708
1513940301,5693,5693
1513942391,5693,5693
1513944301,5708,5708
1513946213,5625,5625
1513948245,5638,5638
1513950048,5617,5617
1513952031,5573,5573
1513953875,5631,5631
1513955859,5636,5636
1513957737,5655,5655
1513959687,5686,5686
1513961566,5700,5700
1513963553,5685,5685
1513965420,5681,5681
1513967386,5660,5660
1513969293,5657,5657
1513971230,5793,5793
1513973081,5793,5793
1513975065,5862,5862
1513976931,5896,5896
1513978884,5976,5976
1513980782,6034,6034
1513982756,6088,6088
1513984868,6137,6137
1513986996,6215,6215
1513988940,6298,6298
1513991061,6391,6391
1513992992,6550,6550
1513995172,6567,6567
1513997069,6586,6586
1513999005,6603,6603
1514000921,6639,6639
1514002832,6656,6656
1514004748,6647,6647
1514006687,6658,6658
1514008596,6652,6652
1514010510,6627,6627
1514012492,6614,6614
1514014368,6624,6624
1514016275,6639,6639
1514018195,6655,6655
1514020108,6618,6618
1514022028,6640,6640
1514023961,6663,6663
1514025873,6701,6701
1514027802,6675,6675
1514029719,6697,6697
1514031892,6730,6730
1514033872,6753,6753
1514035719,6732,6732
1514037691,6792,6792
1514039563,6757,6757
1514041487,6774,6774
1514043397,6750,6750
1514045309,6748,6748
1514047229,6722,6722
1514049155,6718,6718
1514051074,6733,6733
1514053104,6764,6764
1514054923,6767,6767
1514056837,6630,6630
1514058767,6681,6681
1514060679,6681,6681
1514062599,6677,6677
1514064528,6644,6644
1514066494,6690,6690
1514068374,6698,6698
1514070190,6692,6692
1514072218,6694,6694
1514074151,6680,6680
1514076063,6659,6659
1514077978,6568,6568
1514080040,6502,6502
1514082279,6516,6516
1514084215,6474,6474
1514086140,6514,6514
1514088092,6516,6516
1514089973,6518,6518
1514091895,6535,6535
1514094049,6548,6548
1514095975,6573,6573
1514097867,6571,6571
1514099838,6575,6575
1514102053,6548,6548
1514103885,6545,6545
1514105856,6524,6524
1514107804,6511,6511
1514109946,6515,6515
1514111802,6492,6492
1514114037,6494,6494
1514116012,6415,6415
1514117902,6363,6363
1514119831,6354,6354
1514121694,6352,6352
1514123731,6292,6292
1514125545,6291,6291
1514127529,6328,6328
1514129400,6328,6328
1514131454,6378,6378
1514133283,6392,6392
1514135318,6397,6397
1514137483,6399,6399
1514139429,6373,6373
1514141346,6394,6394
1514143686,6387,6387
1514145694,6354,6354
1514147563,6339,6339
1514149515,6369,6369
1514151655,6385,6385
1514153569,6462,6462
1514155494,6453,6453
1514157427,6442,6442
1514159249,6445,6445
1514161260,7484,7484
1514163253,8457,8457
1514165081,8461,8461
1514167099,8477,8477
1514168921,8443,8443
1514170910,8453,8453
1514172761,8426,8426
1514174807,8416,8416
1514176622,8402,8402
1514178657,8377,8377
1514180462,8381,8381
1514182569,8350,8350
1514184519,8338,8338
1514186415,8393,8393
1514188609,8396,8396
1514190537,8416,8416
1514192494,8422,8422
1514194381,8403,8403
1514196291,8407,8407
1514198215,8394,8394
1514200141,8410,8410
1514202658,8435,8435
1514204692,8432,8432
1514206583,8451,8451
1514208615,8453,8453
1514210580,8457,8457
1514212582,8396,8396
1514214432,8394,8394
1514216678,8310,8310
1514218955,8287,8287
1514221293,8251,8251
1514223168,8250,8250
1514225077,8244,8244
1514227009,8226,8226
1514228924,8242,8242
1514230846,8325,8325
1514232775,8310,8310
1514234691,8354,8354
1514236598,8273,8273
1514238440,8280,8280
1514240443,8242,8242
1514242251,8225,8225
1514244067,8234,8234
1514246129,8235,8235
1514248097,8219,8219
1514249931,8230,8230
1514251939,8226,8226
1514253748,8210,8210
1514255585,8199,8199
1514257591,8259,8259
1514259400,8252,8252
1514261490,8296,8296
1514263462,8310,8310
1514265274,8319,8319
1514267092,8332,8332
1514269169,8332,8332
1514271150,8309,8309
1514273261,8303,8303
1514275294,8346,8346
1514277284,8307,8307
1514279087,8364,8364
1514281137,8356,8356
1514283108,8361,8361
1514285163,8354,8354
1514287002,8374,8374
1514289044,8372,8372
1514290861,8378,8378
1514292845,8354,8354
1514294697,8362,8362
1514296733,8392,8392
1514298552,8386,8386
1514300553,8382,8382
1514302374,8413,8413
1514304367,8430,8430
1514306219,8426,8426
1514308267,8431,8431
1514310538,8435,8435
1514312684,8470,8470
1514314912,8474,8474
1514317021,8419,8419
1514319213,8484,8484
1514321093,8448,8448
1514323047,8459,8459
1514324952,8437,8437
1514326869,8352,8352
1514328743,8347,8347
1514330730,8343,8343
1514333488,8364,8364
1514336210,8343,8343
1514338277,8346,8346
1514340153,8435,8435
1514342202,8414,8414
1514344373,8312,8312
1514346296,9152,9152
1514348226,9138,9138
1514350131,9162,9162
1514352049,9235,9235
1514354504,9194,9194
1514356371,9197,9197
1514358277,9194,9194
1514360215,9143,9143
1514362128,9188,9188
1514364032,10552,10552
1514365954,12634,12634
1514368135,11433,11433
1514370032,10822,10822
1514371987,10801,10801
1514373892,10807,10807
1514376098,10818,10818
1514378216,10810,10810
1514380122,10802,10802
1514382054,10752,10752
1514384235,10743,10743
1514386370,10706,10706
1514388293,10712,10712
1514390217,10666,10666
1514392128,10668,10668
1514394091,10663,10663
1514395991,10683,10683
1514397805,10664,10664
1514399836,10669,10669
1514401915,10685,10685
1514403868,10661,10661
1514405825,10637,10637
1514407701,10657,10657
1514409717,10641,10641
1514411566,10690,10690
1514413405,10681,10681
1514415416,10699,10699
1514417333,10696,10696
1514419512,10705,10705
1514421417,10728,10728
1514423344,10720,10720
1514425495,10703,10703
1514427432,10618,10618
1514429320,10631,10631
1514431274,10592,10592
1514433424,9786,9786
1514435330,9801,9801
1514437491,9790,9790
1514439642,9816,9816
1514441548,9839,9839
1514443482,9832,9832
1514445393,9852,9852
1514447305,9862,9862
1514449236,9795,9795
1514451164,7286,7286
1514453078,6044,6044
1514455293,6076,6076
1514457158,6084,6084
1514459324,6080,6080
1514461245,6074,6074
1514463421,6052,6052
