DateTime,AddedIPs,RemovedIPs
1513712015,16,2798
1513713917,12,1624
1513717378,16,39
1513719497,15,22
1513721374,12,11
1513723482,20,16
1513726707,35,42
1513728620,30,19
1513730617,13,16
1513732452,19,15
1513734272,10,24
1513736295,25,11
1513738128,16,5
1513740114,20,19
1513741977,20,21
1513743931,23,19
1513745818,18,18
1513747782,13,8
1513749699,14,22
1513751641,15,13
1513753488,15,25
1513755687,25,18
1513757569,13,12
1513759766,31,14
1513762073,16,22
1513764108,22,21
1513766187,25,29
1513768119,17,16
1513770272,98,25
1513772085,75,21
1513774058,18,19
1513776277,21,30
1513778209,30,20
1513780145,21,17
1513782105,26,16
1513783971,28,42
1513785905,22,23
1513787836,8,21
1513793674,33,52
1513795487,14,11
1513798658,16,28
1513800550,36,11
1513802486,33,11
1513804397,20,15
1513806346,25,13
1513808636,14,13
1513810602,21,26
1513813102,21,28
1513814957,18,23
1513817080,24,15
1513818998,31,19
1513820821,26,11
1513822836,21,25
1513824700,22,14
1513826676,15,22
1513828531,23,18
1513830526,32,24
1513832364,18,17
1513834612,18,13
1513836536,17,12
1513838504,17,17
1513840380,15,13
1513842271,18,26
1513844472,36,18
1513846615,23,24
1513848537,165,14
1513850511,177,16
1513852625,10,31
1513854541,22,20
1513856445,17,24
1513858480,19,94
1513860303,46,14
1513862232,25,30
1513864387,33,33
1513866285,21,23
1513868494,24,23
1513870377,14,24
1513872301,19,24
1513874207,23,7
1513876361,23,72
1513878317,39,16
1513880194,20,10
1513882363,28,13
1513884294,18,8
1513888683,37,65
1513892204,27,39
1513895537,19,27
1513897357,7,17
1513901680,23,44
1513908765,43,88
1513910899,24,21
1513912823,27,19
1513914701,17,15
1513916659,35,26
1513918597,31,19
1513920506,18,16
1513922513,20,17
1513924382,22,20
1513926350,24,12
1513928201,13,16
1513930384,22,34
1513932278,23,22
1513934393,40,164
1513936397,25,20
1513938221,17,174
1513940302,20,23
1513942392,20,24
1513944302,18,16
1513946214,24,49
1513948246,37,25
1513950049,19,27
1513952032,32,28
1513953875,27,19
1513955860,26,25
1513957738,18,14
1513959688,28,27
1513961566,29,24
1513963554,21,21
1513965421,25,34
1513967387,24,17
1513969293,18,18
1513971231,168,22
1513973082,19,13
1513975066,27,15
1513976932,35,13
1513978885,33,21
1513980783,27,12
1513982757,18,9
1513984869,26,10
1513986997,31,10
1513988941,27,11
1513991062,18,9
1513992992,26,9
1513995172,27,18
1513997070,30,22
1513999007,28,22
1514000922,32,14
1514002833,23,29
1514004748,21,30
1514006688,25,15
1514008597,15,16
1514010511,20,22
1514012492,29,20
1514014369,17,14
1514016276,29,13
1514018196,18,22
1514020110,19,34
1514022029,36,20
1514023962,19,16
1514025874,13,24
1514027803,20,16
1514029720,22,21
1514031893,23,15
1514033873,19,33
1514035720,22,25
1514037692,27,22
1514039563,16,22
1514041488,35,23
1514043398,21,38
1514045310,29,22
1514047230,20,24
1514049155,27,25
1514051074,20,22
1514053105,24,26
1514054924,18,14
1514056838,12,159
1514058768,20,19
1514060680,20,19
1514062599,18,41
1514064529,14,42
1514066495,36,32
1514068375,23,23
1514070191,19,16
1514072218,25,30
1514074152,16,34
1514076064,21,22
1514077979,20,22
1514080041,13,25
1514082280,29,33
1514084216,17,29
1514086142,19,27
1514088093,31,26
1514089974,30,23
1514091896,21,21
1514094050,19,22
1514095977,23,20
1514097868,13,25
1514099839,20,21
1514102054,21,33
1514103886,16,22
1514105857,19,17
1514107805,16,43
1514109948,21,23
1514111803,26,21
1514114038,20,22
1514116013,20,20
1514117903,30,20
1514119832,19,17
1514121695,20,29
1514123732,20,28
1514125546,27,21
1514127530,27,34
1514129401,22,20
1514131455,36,27
1514133284,25,23
1514135319,22,26
1514137484,21,22
1514139429,24,26
1514141347,19,16
1514143687,18,25
1514145695,16,16
1514147564,20,20
1514149516,17,17
1514151656,29,28
1514153570,20,28
1514155495,23,30
1514157427,14,23
1514159250,21,23
1514161261,14,20
1514163254,21,23
1514165082,18,11
1514167100,17,16
1514168922,28,20
1514170911,32,20
1514172761,22,17
1514174807,32,27
1514176623,7,28
1514178658,17,17
1514180463,24,17
1514182570,20,24
1514184520,21,18
1514186416,32,23
1514188610,21,24
1514190538,21,15
1514192495,22,19
1514194382,22,23
1514196292,20,23
1514198215,22,31
1514200142,25,12
1514202658,32,34
1514204692,17,27
1514206584,19,19
1514208616,24,24
1514210581,21,25
1514212582,22,28
1514214433,40,20
1514216679,20,24
1514218956,23,40
1514221294,26,27
1514223169,15,16
1514225078,27,25
1514227010,21,18
1514228925,24,13
1514230847,22,25
1514232776,24,12
1514234692,19,19
1514236599,21,24
1514238441,23,26
1514240444,29,19
1514242252,19,12
1514244068,22,15
1514246130,18,22
1514248098,18,13
1514249933,19,21
1514251939,11,21
1514253749,21,16
1514255586,13,34
1514257592,28,21
1514259401,27,21
1514261491,21,23
1514263463,22,17
1514265275,32,18
1514267093,25,19
1514269169,16,18
1514271151,20,24
1514273262,37,32
1514275295,18,12
1514277285,23,26
1514279088,21,16
1514281138,21,20
1514283109,22,24
1514285164,28,29
1514287003,26,23
1514289045,22,26
1514290862,17,12
1514292846,17,15
1514294698,19,20
1514296734,24,23
1514298553,13,15
1514300554,19,45
1514302375,41,21
1514304368,26,21
1514306220,22,22
1514308268,25,24
1514310539,19,23
1514312685,23,22
1514314913,22,26
1514317022,25,31
1514319214,29,21
1514321094,20,20
1514323048,17,20
1514324953,17,24
1514326870,23,28
1514328744,15,17
1514330731,22,23
1514333489,26,25
1514336211,24,31
1514338278,22,15
1514340154,24,17
1514342202,22,16
1514344374,15,37
1514346297,854,14
1514348227,31,25
1514350132,15,22
1514352050,18,25
1514354505,15,35
1514356372,11,20
1514358278,17,26
1514360215,18,31
1514362129,25,19
1514364033,1503,20
1514365955,2445,25
1514368136,29,24
1514370033,23,15
1514371989,25,19
1514373893,26,25
1514376099,30,17
1514378217,15,21
1514380123,17,10
1514382056,20,21
1514384236,18,24
1514386371,14,10
1514388294,14,31
1514390218,20,32
1514392129,30,24
1514394092,25,22
1514395992,16,16
1514397806,14,22
1514399837,21,21
1514401916,22,19
1514403870,10,23
1514405827,28,22
1514407702,26,23
1514409718,33,17
1514411567,24,18
1514413406,20,17
1514415417,20,19
1514417335,17,22
1514419513,29,13
1514421418,20,16
1514423345,21,20
1514425496,17,25
1514427433,17,15
1514429321,13,20
1514431275,18,12
1514433425,25,850
1514435331,34,18
1514437492,20,19
1514439643,30,11
1514441549,13,7
1514443484,16,18
1514445394,18,17
1514447306,12,23
1514449237,14,23
1514451165,21,2643
1514453079,19,1325
1514455294,29,27
1514457159,24,25
1514459326,31,27
1514461246,27,31
1514463422,26,28
1514465459,30,19
1514467464,23,24
1514469468,24,15
1514471826,22,18
1514473715,18,16
1514475570,22,17
1514477567,22,27
1514479667,48,20
1514481622,21,20
1514483535,21,18
1514485481,25,21
1514487741,16,25
1514489568,20,11
1514491501,17,21
1514493418,24,29
1514495351,26,35
1514497231,27,24
1514499153,26,30
1514501081,24,21
1514503095,20,30
1514505177,21,21
1514507088,31,24
1514509012,21,22
1514510928,18,16
1514512902,23,13
1514514793,18,19
1514516684,13,13
1514518627,24,17
1514520527,17,20
1514522713,20,37
1514524618,35,20
1514526534,24,26
1514528438,14,13
1514530377,11,14
1514532303,18,19
1514534230,21,16
1514536121,13,19
1514538085,26,24
1514539926,30,16
1514541942,32,23
1514543810,22,25
1514545675,19,36
1514547632,20,23
1514549720,31,25
1514551731,22,30
1514553632,26,21
1514555536,11,23
1514557801,19,16
1514559698,20,17
1514562092,30,28
1514563997,23,22
1514565912,10,35
1514567822,29,19
1514569989,36,24
1514571874,24,21
1514573854,23,18
1514575733,15,16
1514577706,24,17
1514579812,22,22
1514581767,20,22
1514583632,16,24
1514585840,27,23
1514587730,27,21
1514589998,28,20
1514592141,26,29
1514594101,26,25
1514596127,32,21
1514598156,26,21
1514600134,26,24
1514602021,20,13
1514603953,15,16
1514605864,16,16
1514607769,19,17
1514609751,27,19
1514611668,23,35
1514613495,34,19
1514615553,22,11
1514617410,19,15
1514619467,25,20
1514621314,21,16
1514623298,24,17
1514625418,24,32
1514627336,23,31
1514629257,29,27
1514631176,27,15
1514633082,24,14
1514635025,23,29
1514636867,26,18
1514638904,15,21
1514641015,21,22
1514642922,19,16
1514644850,24,14
1514646772,17,22
1514649370,20,71
1514651571,23,20
1514653473,16,27
1514655403,22,23
1514657320,29,27
1514659243,25,26
1514661421,24,19
1514663519,23,20
1514665473,23,21
1514667544,26,25
1514669874,14,20
1514672039,22,29
1514673992,23,21
1514675816,24,24
1514677864,25,20
1514679884,21,26
1514682115,26,30
1514683969,21,31
1514685888,21,12
1514688130,16,24
1514689989,16,14
1514691892,11,11
1514694052,16,25
1514695990,21,19
1514697880,16,24
1514699809,18,31
1514701755,32,25
1514703895,20,24
1514705821,11,23
1514707733,15,25
1514709639,18,23
1514711575,26,20
1514713497,16,32
1514715423,18,25
1514717312,22,32
1514719253,28,22
