DateTime,Entries,UniqueIPs
1512342266,640,640
1512386222,635,635
1512452484,635,635
1512497056,634,634
1512518928,635,635
1512585011,648,648
1512606983,647,647
1512673114,646,646
1512717402,110,110
1512739388,119,119
1512761323,120,120
1512871513,121,121
1512937972,80,80
1512959820,79,79
1512981880,82,82
1513003961,83,83
1513026262,82,82
1513070196,149,149
1513092287,161,161
1513136210,160,160
1513158282,159,159
1513180123,142,142
1513224292,154,154
1513279480,155,155
1513301591,158,158
1513323630,158,158
1513434059,157,157
1513565813,156,156
1513588164,155,155
1513632048,156,156
1513654110,157,157
1513830527,144,144
1513852626,142,142
1513897358,138,138
1513919313,137,137
1513985819,136,136
1514073727,137,137
1514095977,138,138
1514117904,139,139
1514139875,138,138
1514161734,137,137
1514205859,125,125
1514227970,70,70
1514249933,23,23
1514271887,25,25
1514293741,26,26
1514315806,25,25
1514337773,24,24
1514359757,39,39
1514382056,67,67
1514469952,68,68
1514491962,68,68
1514514031,68,68
1514602021,69,69
1514623964,70,70
1514712104,69,69
