DateTime,Entries,UniqueIPs
1513712015,547,547
1513713918,538,538
1513717378,539,539
1513719498,530,530
1513721374,531,531
1513723482,521,521
1513726707,508,508
1513728621,503,503
1513730618,487,487
1513732452,483,483
1513734272,480,480
1513736296,475,475
1513738129,467,467
1513740114,472,472
1513741978,477,477
1513743932,475,475
1513745819,479,479
1513747783,486,486
1513749700,489,489
1513751641,489,489
1513753489,482,482
1513755687,480,480
1513757569,486,486
1513759766,489,489
1513762073,492,492
1513764108,486,486
1513766187,496,496
1513768119,485,485
1513770273,483,483
1513772085,473,473
1513774058,472,472
1513776277,482,482
1513778210,477,477
1513780146,485,485
1513782106,483,483
1513783971,486,486
1513785906,488,488
1513787836,486,486
1513793675,455,455
1513795487,453,453
1513798659,444,444
1513800550,444,444
1513802486,444,444
1513804397,449,449
1513806347,449,449
1513808637,451,451
1513810603,466,466
1513813102,468,468
1513814958,468,468
1513817080,478,478
1513818998,482,482
1513820821,484,484
1513822836,477,477
1513824701,476,476
1513826677,478,478
1513828531,482,482
1513830527,481,481
1513832365,475,475
1513834612,472,472
1513836536,473,473
1513838504,473,473
1513840381,481,481
1513842272,479,479
1513844473,471,471
1513846615,460,460
1513848537,453,453
1513850512,460,460
1513852626,457,457
1513854541,454,454
1513856446,458,458
1513858480,454,454
1513860303,451,451
1513862232,439,439
1513864387,448,448
1513866286,447,447
1513868494,448,448
1513870378,448,448
1513872301,440,440
1513874207,447,447
1513876361,460,460
1513878317,464,464
1513880194,476,476
1513882363,478,478
1513884294,485,485
1513888683,487,487
1513892204,476,476
1513895537,464,464
1513897358,457,457
1513901680,446,446
1513908765,424,424
1513910899,421,421
1513912823,412,412
1513914701,406,406
1513916659,414,414
1513918597,418,418
1513920506,416,416
1513922513,420,420
1513924382,420,420
1513926350,410,410
1513928201,413,413
1513930384,412,412
1513932278,418,418
1513934393,428,428
1513936398,427,427
1513938222,426,426
1513940302,429,429
1513942392,429,429
1513944303,433,433
1513946214,435,435
1513948246,436,436
1513950049,434,434
1513952032,424,424
1513953876,435,435
1513955860,432,432
1513957739,444,444
1513959688,438,438
1513961567,436,436
1513963555,433,433
1513965421,440,440
1513967387,441,441
1513969294,448,448
1513971231,449,449
1513973083,452,452
1513975067,459,459
1513976932,459,459
1513978885,475,475
1513980783,476,476
1513982757,481,481
1513984870,491,491
1513986997,496,496
1513988941,501,501
1513991062,510,510
1513992993,515,515
1513995173,521,521
1513997070,519,519
1513999008,518,518
1514000923,514,514
1514002833,514,514
1514004749,513,513
1514006689,512,512
1514008597,509,509
1514010511,513,513
1514012493,519,519
1514014369,523,523
1514016276,519,519
1514018196,518,518
1514020110,518,518
1514022029,515,515
1514023962,511,511
1514025874,508,508
1514027803,505,505
1514029720,503,503
1514031893,505,505
1514033873,507,507
1514035721,505,505
1514037692,510,510
1514039564,503,503
1514041488,500,500
1514043398,496,496
1514045310,498,498
1514047230,499,499
1514049156,503,503
1514051075,502,502
1514053105,500,500
1514054925,507,507
1514056838,500,500
1514058768,503,503
1514060680,502,502
1514062600,509,509
1514064529,506,506
1514066495,514,514
1514068375,520,520
1514070191,514,514
1514072219,518,518
1514074153,522,522
1514076064,525,525
1514077979,520,520
1514080042,520,520
1514082281,515,515
1514084216,513,513
1514086143,517,517
1514088093,517,517
1514089975,518,518
1514091897,517,517
1514094051,519,519
1514095977,524,524
1514097869,517,517
1514099840,510,510
1514102054,509,509
1514103886,502,502
1514105857,507,507
1514107806,513,513
1514109949,514,514
1514111803,512,512
1514114038,506,506
1514116013,510,510
1514117904,506,506
1514119832,502,502
1514121695,503,503
1514123732,505,505
1514125546,506,506
1514127530,511,511
1514129402,511,511
1514131455,513,513
1514133284,512,512
1514135319,515,515
1514137484,508,508
1514139430,505,505
1514141347,501,501
1514143687,506,506
1514145695,503,503
1514147565,499,499
1514149516,495,495
1514151657,499,499
1514153570,501,501
1514155496,501,501
1514157428,506,506
1514159250,506,506
1514161261,503,503
1514163256,501,501
1514165082,500,500
1514167100,498,498
1514168922,503,503
1514170911,511,511
1514172762,503,503
1514174808,495,495
1514176624,495,495
1514178658,494,494
1514180463,494,494
1514182571,489,489
1514184520,487,487
1514186417,488,488
1514188610,489,489
1514190538,489,489
1514192496,481,481
1514194383,475,475
1514196292,484,484
1514198216,482,482
1514200142,488,488
1514202659,490,490
1514204693,491,491
1514206584,499,499
1514208617,496,496
1514210581,497,497
1514212583,492,492
1514214433,490,490
1514216680,477,477
1514218956,478,478
1514221294,471,471
1514223169,469,469
1514225078,465,465
1514227010,460,460
1514228925,462,462
1514230847,468,468
1514232776,460,460
1514234693,459,459
1514236600,449,449
1514238441,448,448
1514240444,447,447
1514242253,449,449
1514244068,443,443
1514246131,438,438
1514248098,443,443
1514249933,451,451
1514251940,450,450
1514253749,458,458
1514255587,454,454
1514257592,454,454
1514259401,468,468
1514261491,479,479
1514263464,478,478
1514265276,489,489
1514267093,487,487
1514269170,497,497
1514271151,504,504
1514273262,506,506
1514275295,503,503
