DateTime,Entries,UniqueIPs
1513710107,164,164
1513712015,164,164
1513713918,164,164
1513717379,163,163
1513719499,163,163
1513721375,159,159
1513723482,154,154
1513726708,154,154
1513728621,157,157
1513730618,152,152
1513732453,148,148
1513734273,146,146
1513736296,150,150
1513738129,159,159
1513740114,158,158
1513741979,154,154
1513743932,155,155
1513745820,159,159
1513747783,160,160
1513749700,159,159
1513751642,159,159
1513753489,159,159
1513755687,162,162
1513757570,162,162
1513759766,163,163
1513762074,163,163
1513764109,163,163
1513766188,158,158
1513768119,153,153
1513770273,157,157
1513772086,155,155
1513774058,161,161
1513776278,160,160
1513778210,156,156
1513780146,157,157
1513782106,161,161
1513783971,158,158
1513785906,166,166
1513787836,166,166
1513793675,158,158
1513795487,159,159
1513798659,157,157
1513800551,163,163
1513802486,162,162
1513804397,165,165
1513806347,167,167
1513808638,173,173
1513810603,173,173
1513813102,172,172
1513814958,176,176
1513817080,181,181
1513818998,181,181
1513820822,185,185
1513822837,186,186
1513824701,179,179
1513826677,178,178
1513828531,181,181
1513830528,179,179
1513832365,175,175
1513834613,173,173
1513836537,177,177
1513838505,178,178
1513840381,179,179
1513842272,178,178
1513844473,178,178
1513846617,181,181
1513848537,181,181
1513850512,178,178
1513852626,183,183
1513854542,185,185
1513856446,181,181
1513858480,186,186
1513860303,180,180
1513862233,180,180
1513864387,182,182
1513866286,180,180
1513868494,176,176
1513870378,178,178
1513872302,171,171
1513874208,170,170
1513876361,170,170
1513878318,172,172
1513880194,175,175
1513882364,175,175
1513884295,179,179
1513888684,174,174
1513892204,172,172
1513895538,168,168
1513897359,166,166
1513901681,159,159
1513908766,143,143
1513910900,146,146
1513912826,145,145
1513914701,142,142
1513916659,143,143
1513918598,140,140
1513920507,145,145
1513922513,147,147
1513924383,147,147
1513926350,146,146
1513928201,146,146
1513930385,143,143
1513932278,145,145
1513934394,146,146
1513936398,147,147
1513938222,144,144
1513940302,145,145
1513942393,145,145
1513944303,146,146
1513946215,143,143
1513948247,148,148
1513950049,152,152
1513952033,156,156
1513953876,158,158
1513955861,160,160
1513957739,158,158
1513959688,161,161
1513961567,162,162
1513963556,166,166
1513965421,168,168
1513967387,164,164
1513969294,165,165
1513971231,163,163
1513973083,167,167
1513975067,164,164
1513976933,164,164
1513978886,164,164
1513980783,165,165
1513982757,170,170
1513984870,177,177
1513986997,183,183
1513988942,185,185
1513991063,188,188
1513992993,195,195
1513995173,198,198
1513997071,197,197
1513999009,199,199
1514000923,205,205
1514002833,203,203
1514004749,206,206
1514006689,203,203
1514008597,202,202
1514010511,204,204
1514012493,201,201
1514014369,204,204
1514016276,203,203
1514018197,200,200
1514020111,199,199
1514022030,201,201
1514023963,203,203
1514025874,200,200
1514027803,199,199
1514029721,200,200
1514031894,206,206
1514033874,203,203
1514035721,200,200
1514037692,201,201
1514039564,200,200
1514041488,204,204
1514043399,203,203
1514045310,204,204
1514047230,202,202
1514049156,207,207
1514051075,210,210
1514053105,213,213
1514054925,214,214
1514056839,213,213
1514058768,212,212
1514060680,211,211
1514062600,210,210
1514064529,213,213
1514066495,214,214
1514068376,213,213
1514070191,211,211
1514072219,200,200
1514074153,198,198
1514076064,199,199
1514077979,195,195
1514080042,192,192
1514082281,197,197
1514084217,197,197
1514086144,191,191
1514088094,188,188
1514089975,190,190
1514091897,189,189
1514094051,191,191
1514095978,191,191
1514097869,185,185
1514099840,179,179
1514102054,182,182
1514103887,181,181
1514105858,184,184
1514107806,178,178
1514109949,179,179
1514111803,182,182
1514114038,181,181
1514116013,179,179
1514117905,175,175
1514119835,176,176
1514121696,175,175
1514123732,175,175
1514125546,180,180
1514127530,176,176
1514129402,178,178
1514131456,178,178
1514133284,175,175
1514135319,174,174
1514137485,169,169
1514139430,169,169
1514141347,166,166
1514143688,163,163
1514145696,162,162
1514147565,161,161
1514149516,159,159
1514151657,159,159
1514153571,156,156
1514155496,155,155
1514157428,156,156
1514159251,156,156
1514161262,156,156
1514163257,156,156
1514165082,154,154
1514167101,152,152
1514168923,163,163
1514170912,167,167
1514172762,175,175
1514174808,176,176
1514176624,173,173
1514178659,176,176
1514180463,177,177
1514182571,174,174
1514184521,179,179
1514186417,179,179
1514188610,176,176
1514190538,178,178
1514192496,175,175
1514194383,179,179
1514196292,179,179
1514198216,176,176
1514200142,170,170
1514202659,173,173
1514204693,167,167
1514206584,168,168
1514208617,168,168
1514210581,165,165
1514212583,164,164
1514214434,168,168
