DateTime,AddedIPs,RemovedIPs
1513347859,1,2
1513353704,0,2
1513355574,2,0
1513359353,0,2
1513361330,4,0
1513363273,0,1
1513365148,2,0
1513367054,0,1
1513369003,1,1
1513372864,0,2
1513375304,1,0
1513377181,0,1
1513379322,0,1
1513381231,0,1
1513383184,0,2
1513385059,1,2
1513386998,1,0
1513390776,1,5
1513392774,0,1
1513396896,2,0
1513399020,1,1
1513400930,1,0
1513406971,1,0
1513408864,2,0
1513411027,2,0
1513413167,0,1
1513415125,1,1
1513417072,0,1
1513424703,0,1
1513426642,0,1
1513428504,0,1
1513432371,1,0
1513434516,0,2
1513438381,1,0
1513440791,0,1
1513442621,0,3
1513444589,1,0
1513446515,1,2
1513448480,0,2
1513450360,1,0
1513452280,2,1
1513454212,1,0
1513456137,1,1
1513458097,0,1
1513459982,1,0
1513461879,2,1
1513463797,0,1
1513465727,4,0
1513467671,1,0
1513469597,1,0
1513471493,0,2
1513473607,1,1
1513475572,0,1
1513477484,0,1
1513479405,1,0
1513481323,1,0
1513483294,0,3
1513485177,1,0
1513487092,0,2
1513490935,1,0
1513492839,1,1
1513494771,0,1
1513496694,0,1
1513498603,0,2
1513500526,1,0
1513502452,0,1
1513510137,1,0
1513517789,1,1
1513519739,0,1
1513523577,0,1
1513527393,2,1
1513529332,1,0
1513531243,1,2
1513533146,0,1
1513535327,1,1
1513537301,0,1
1513539160,0,1
1513541099,0,1
1513542999,1,1
1513545112,0,1
1513549257,1,0
1513551161,0,3
1513555324,0,1
1513557195,2,0
1513559102,0,1
1513561019,0,1
1513566803,0,2
1513570632,1,0
1513572523,0,1
1513578345,1,0
1513580219,0,1
1513582135,3,0
1513584100,1,1
1513586011,0,1
1513588166,1,0
1513593873,1,0
1513596049,0,2
1513597974,1,0
1513600113,1,0
1513602102,1,0
1513605888,0,1
1513607807,1,0
1513611649,1,0
1513613579,1,1
1513615467,0,2
1513617435,0,1
1513621473,0,1
1513627825,0,1
1513633492,1,0
1513635517,5,2
1513637360,0,1
1513643141,0,1
1513645123,1,1
1513647015,3,0
1513648985,2,0
1513650810,1,0
1513660349,1,0
1513662369,0,1
1513664232,1,0
1513666202,0,1
1513668028,1,0
1513669982,0,3
1513673803,1,1
1513678450,2,0
1513680483,1,0
1513684359,0,2
1513692537,1,1
1513696388,0,2
1513700224,0,1
1513704183,1,0
1513708142,2,0
1513712016,2,0
1513713919,1,0
1513717379,1,1
1513719500,0,2
1513721375,1,2
1513723483,1,2
1513726708,0,1
1513730619,1,0
1513732453,0,3
1513734273,3,1
1513736297,2,2
1513741980,1,1
1513743933,3,0
1513747784,1,1
1513749701,0,1
1513753490,1,0
1513755688,1,0
1513757570,1,0
1513762074,0,1
1513764110,2,1
1513766188,1,2
1513768120,0,1
1513774059,1,0
1513776278,1,0
1513783972,0,1
1513793675,2,3
1513798659,0,1
1513800551,0,1
1513802487,2,1
1513804398,3,1
1513808639,1,1
1513810604,1,0
1513813103,1,0
1513814959,2,0
1513818999,1,0
1513820822,1,3
1513822837,1,1
1513826678,1,0
1513828532,1,2
1513830529,0,4
1513834613,0,1
1513836537,1,0
1513838505,2,0
1513840382,0,2
1513842273,1,3
1513844473,1,2
1513846618,1,1
1513850513,3,0
1513852627,3,1
1513858481,2,0
1513860304,0,1
1513862233,2,1
1513870379,1,0
1513872302,3,0
1513874208,1,0
1513880195,1,2
1513888684,2,1
1513890786,1,3
1513892821,1,0
1513896198,1,3
1513901684,4,1
1513908766,2,3
1513912826,3,1
1513914702,0,1
1513920507,1,0
1513922514,1,0
