DateTime,Entries,UniqueIPs
1513347859,56,56
1513353704,54,54
1513355574,56,56
1513359353,54,54
1513361330,58,58
1513363273,57,57
1513365148,59,59
1513367054,58,58
1513369003,58,58
1513372864,56,56
1513375304,57,57
1513377181,56,56
1513379322,55,55
1513381231,54,54
1513383184,52,52
1513385059,51,51
1513386998,52,52
1513390776,48,48
1513392774,47,47
1513396896,49,49
1513399020,49,49
1513400930,50,50
1513406971,51,51
1513408864,53,53
1513411027,55,55
1513413167,54,54
1513415125,54,54
1513417072,53,53
1513424703,52,52
1513426642,51,51
1513428504,50,50
1513432371,51,51
1513434516,49,49
1513438381,50,50
1513440791,49,49
1513442621,46,46
1513444589,47,47
1513446515,46,46
1513448480,44,44
1513450360,45,45
1513452280,46,46
1513454212,47,47
1513456137,47,47
1513458097,46,46
1513459982,47,47
1513461879,48,48
1513463797,47,47
1513465727,51,51
1513467671,52,52
1513469597,53,53
1513471493,51,51
1513473607,51,51
1513475572,50,50
1513477484,49,49
1513479405,50,50
1513481323,51,51
1513483294,48,48
1513485177,49,49
1513487092,47,47
1513490935,48,48
1513492839,48,48
1513494771,47,47
1513496694,46,46
1513498603,44,44
1513500526,45,45
1513502452,44,44
1513510137,45,45
1513517789,45,45
1513519739,44,44
1513523577,43,43
1513527393,44,44
1513529332,45,45
1513531243,44,44
1513533146,43,43
1513535327,43,43
1513537301,42,42
1513539160,41,41
1513541099,40,40
1513542999,40,40
1513545112,39,39
1513549257,40,40
1513551161,37,37
1513555324,36,36
1513557195,38,38
1513559102,37,37
1513561019,36,36
1513566803,34,34
1513570632,35,35
1513572523,34,34
1513578345,35,35
1513580219,34,34
1513582135,37,37
1513584100,37,37
1513586011,36,36
1513588166,37,37
1513593873,38,38
1513596049,36,36
1513597974,37,37
1513600113,38,38
1513602102,39,39
1513605888,38,38
1513607807,39,39
1513611649,40,40
1513613579,40,40
1513615467,38,38
1513617435,37,37
1513621473,36,36
1513627825,35,35
1513633492,36,36
1513635517,39,39
1513637360,38,38
1513643141,37,37
1513645123,37,37
1513647015,40,40
