DateTime,AddedIPs,RemovedIPs
1512653391,0,1
1512655300,0,1
1512657420,0,1
1512661617,1,1
1512668792,1,0
1512672531,0,1
1512678267,0,1
1512682118,2,0
1512689020,0,1
1512691007,1,0
1512694910,1,1
1512699089,0,1
1512701073,2,0
1512703264,1,0
1512705184,0,1
1512707083,0,1
1512709027,1,1
1512710913,0,1
1512716686,0,2
1512718589,1,1
1512724382,1,0
1512726299,0,1
1512732273,1,0
1512748138,1,1
1512756105,0,1
1512759886,1,0
1512761785,1,0
1512763709,1,0
1512769474,0,2
1512778563,1,1
1512780523,2,1
1512788198,2,2
1512790005,0,1
1512795704,0,1
1512805467,0,1
1512809197,0,1
1512811239,1,0
1512818702,0,1
1512824609,1,0
1512830713,1,0
1512832881,0,1
1512846283,1,0
1512848220,0,1
1512850132,0,1
1512863825,0,1
1512865740,0,1
1512867699,0,1
1512871516,1,0
1512875321,0,2
1512879179,1,0
1512881088,1,0
1512884913,1,0
1512892606,2,0
1512894533,2,0
1512896533,1,0
1512898388,1,1
1512904125,1,0
1512910120,2,1
1512912050,1,0
1512917845,1,0
1512919731,2,0
1512925491,1,0
1512931226,1,0
1512933433,0,1
1512939474,0,1
1512945184,1,0
1512949028,0,1
1512950936,1,0
1512952867,9,0
1512954753,10,0
1512956679,7,0
1512958871,6,1
1512960780,6,0
1512964616,3,1
1512968506,0,1
1512970386,1,0
1512972295,0,1
1512978027,1,1
1512979973,1,2
1512981883,0,1
1512983828,0,1
1512985723,2,0
1512989556,1,0
1512991491,0,1
1512993395,1,0
1512995330,0,2
1512997303,0,1
1512999169,1,0
1513003027,1,1
1513004911,0,1
1513006859,0,1
1513008773,1,0
1513012609,0,1
1513017420,1,1
1513023153,92,0
1513025086,260,0
1513027027,256,0
1513028906,289,0
1513030854,293,1
1513032746,345,0
1513034693,401,0
1513036596,368,0
1513038519,358,2
1513040527,53,15
1513042382,0,7
1513044295,0,5
1513046196,0,3
1513048171,0,3
1513051973,0,2
1513053891,1,0
1513061576,1,0
1513065426,0,1
1513073102,1,0
1513075025,1,0
1513076916,1,0
1513078864,1,0
1513096415,1,0
1513110024,0,133
1513111963,0,275
1513113867,0,246
1513115807,0,318
1513117980,0,324
1513120150,2,438
1513122144,0,405
1513124238,0,404
1513126162,0,187
1513134105,0,1
1513140275,1,1
1513145983,1,0
1513148214,0,1
1513152112,1,0
1513159730,0,1
1513161724,1,1
1513163560,1,1
1513165485,0,1
1513169350,1,0
1513171362,1,0
1513189264,3,0
1513191167,1,0
1513193086,1,0
1513197185,2,0
1513199090,0,1
1513201018,1,0
1513205084,1,0
1513206991,1,1
1513210863,1,0
1513216608,4,0
1513218527,1,0
1513220499,1,0
1513222378,2,0
1513224295,1,0
1513226219,2,1
1513231967,0,1
1513233902,1,0
1513237722,1,0
1513239630,0,1
1513241551,2,1
1513243469,1,0
1513248283,0,1
1513250336,1,1
1513252372,1,0
1513256496,1,1
1513258603,1,1
1513262429,1,0
1513264354,1,0
1513276125,0,3
1513278094,0,2
1513281894,0,2
1513287643,0,1
1513291485,0,1
1513293423,0,1
1513297311,0,1
1513303300,1,4
1513305170,0,1
1513307068,0,1
1513308997,0,2
1513310945,0,2
1513312753,0,1
1513318601,0,1
1513320502,2,0
1513324343,0,1
1513328109,1,2
1513330119,1,1
1513331936,1,0
1513335779,1,1
1513337586,1,1
1513341646,0,1
1513343798,1,0
1513345731,0,1
1513349788,1,1
1513351623,0,1
1513367054,1,0
1513369003,1,0
1513375305,1,0
1513388931,1,0
1513390776,1,1
1513396897,1,0
1513399021,1,0
1513400931,1,0
1513404771,1,0
1513406972,1,2
1513415125,0,1
1513417073,1,1
1513418927,1,1
1513420862,1,1
1513422796,0,1
1513428505,2,0
1513430448,0,1
1513434517,0,1
1513452281,1,1
1513456138,0,1
1513459982,1,1
1513469598,1,0
1513475572,0,2
1513481323,2,0
1513483294,0,1
1513485177,0,1
1513487092,0,1
1513490935,0,1
1513494772,0,1
1513500526,1,0
1513502452,1,0
1513504370,0,1
1513506292,1,2
1513508194,1,0
1513515889,0,2
1513517790,1,0
1513525468,1,0
1513527394,1,0
1513537302,2,1
1513547094,0,1
1513555324,0,1
1513566804,2,2
1513568684,1,0
1513576377,2,0
1513578347,1,0
1513580219,1,0
1513588167,1,2
1513590041,1,0
1513591981,1,0
1513593873,2,2
1513596050,1,0
1513602102,1,0
1513603977,0,1
1513609708,1,0
1513611650,0,1
1513613580,1,1
1513621474,1,0
1513623732,0,2
1513625592,1,0
1513627826,1,0
1513629664,1,0
1513641178,2,0
1513652694,1,2
1513654702,0,1
1513656521,1,0
1513662369,2,0
1513664233,0,3
1513666202,2,1
1513668028,1,0
1513671869,1,0
1513673803,2,1
1513676012,1,1
1513678450,2,1
1513680484,1,2
1513682424,0,1
1513688497,0,1
1513694474,1,0
1513696389,1,1
1513698322,0,1
1513700225,2,0
1513705995,1,0
1513708142,0,1
1513712016,0,1
1513713919,1,1
1513716195,1,0
1513726708,2,0
1513728623,0,2
1513734274,2,0
1513740115,1,1
1513741981,3,1
1513747784,0,1
1513749701,0,1
1513751643,0,2
1513755688,2,1
1513759767,1,2
1513762075,0,2
1513764111,0,1
1513766189,0,1
1513768120,1,1
1513772087,1,0
1513774059,2,0
1513780147,0,1
1513783972,0,1
1513785907,0,1
1513787837,0,1
1513793676,0,1
1513800552,0,1
1513802487,0,1
1513804398,1,0
1513810604,2,1
1513813103,0,1
1513817081,1,0
1513820822,0,2
1513826678,0,2
1513828532,0,2
1513830529,1,0
1513832366,1,0
1513834613,2,0
1513836537,1,0
1513840382,0,2
1513844475,1,0
1513846618,0,1
1513848538,1,0
1513850513,1,0
1513854542,1,1
1513858481,0,1
1513860304,0,2
1513870379,2,0
1513878319,1,0
1513890786,0,1
1513892821,2,0
1513901685,1,2
1513908766,2,1
1513912826,2,0
1513916660,1,0
1513918598,0,2
1513920508,2,1
1513922514,2,2
1513924384,1,0
1513926351,2,0
1513928202,1,0
1513934394,0,1
1513938223,1,1
1513942394,0,1
1513944304,1,0
1513952033,1,0
1513955862,1,1
1513957740,0,1
1513959689,1,0
1513961568,1,1
1513963557,0,1
1513967388,1,0
1513978887,2,2
1513988943,1,1
1513992994,0,1
1513997071,1,0
1513999010,0,2
1514002834,1,1
1514006690,0,2
1514008598,1,3
1514010512,1,1
1514012494,0,1
1514014370,0,2
1514023964,0,1
1514031895,0,1
1514037693,0,1
1514041489,0,1
1514047231,0,1
1514053106,1,1
1514058769,1,0
1514062601,0,1
1514064530,1,0
1514066496,0,2
1514070192,1,0
1514076065,0,1
1514082282,1,0
1514084217,0,1
1514089976,0,1
1514094052,1,2
1514097870,0,1
1514102055,1,0
1514107807,1,0
1514123733,1,0
1514135320,3,0
1514139431,0,1
1514143689,1,0
1514145697,0,1
1514149517,0,1
1514151658,2,0
1514157429,1,1
1514165083,1,0
1514167102,0,1
1514168924,2,0
1514180464,0,1
1514186418,1,0
1514188611,0,1
1514190540,1,0
1514194384,1,0
1514196293,1,0
1514198217,1,0
1514210582,69,1
1514212584,4,0
1514214434,1,0
1514216681,1,0
1514218957,0,1
1514221295,0,3
1514223171,1,0
1514227011,1,0
1514230848,0,1
1514232777,1,0
1514234694,1,0
1514236601,0,1
1514238442,0,1
1514240445,1,0
1514244069,0,1
1514248099,1,0
1514249936,2,0
1514251941,0,1
1514253750,4,0
1514255588,0,2
1514257594,2,0
1514267094,1,0
1514273263,0,1
1514277287,1,1
1514279090,1,0
1514281139,0,1
1514283111,0,2
1514287004,1,0
1514289046,1,0
1514290863,1,0
1514296735,0,68
1514298555,0,1
1514300555,1,5
1514304370,0,1
1514308270,1,0
1514310540,0,1
1514312687,0,1
1514319216,0,1
1514321095,1,1
1514326871,0,1
1514330732,1,0
1514333491,0,1
1514336213,0,2
1514340155,0,4
1514344375,1,2
1514354506,0,1
1514364034,3,1
1514365957,1,1
1514368138,1,0
1514373895,0,1
1514376101,0,1
1514382059,0,1
1514384238,1,0
1514386372,1,0
1514388296,0,1
1514394094,0,1
1514397807,1,0
1514407703,0,1
1514415419,1,0
1514417336,0,1
1514431276,0,1
1514433427,1,0
1514435333,2,0
1514439645,14,0
1514447307,2,0
1514449238,1,1
1514451167,0,2
1514453080,0,1
1514455296,0,1
1514457160,1,0
1514463423,1,0
1514471828,0,1
1514503097,0,1
1514518629,0,1
1514520528,0,1
1514522715,0,1
1514526536,0,15
1514530379,1,0
1514532307,1,0
1514534232,0,2
1514536123,0,1
1514538087,1,0
1514543812,0,1
1514549722,0,1
1514551732,1,0
1514557805,1,0
1514567823,1,0
1514583633,2,0
1514609754,0,1
1514611669,1,0
1514613497,1,0
1514617412,0,1
1514619469,0,1
1514625419,0,1
1514638906,0,1
1514642923,0,1
1514651573,1,0
1514653474,0,1
1514669876,0,2
1514683970,11,0
1514685890,0,1
1514694053,1,0
1514695991,1,0
1514697882,1,1
1514699811,0,1
1514701756,3,0
1514703897,1,0
1514707734,1,0
1514709640,4,0
