DateTime,Entries,UniqueIPs
1512653391,17,17
1512655300,16,16
1512657420,15,15
1512661617,15,15
1512668792,16,16
1512672531,15,15
1512678267,14,14
1512682118,16,16
1512689020,15,15
1512691007,16,16
1512694910,16,16
1512699089,15,15
1512701073,17,17
1512703264,18,18
1512705184,17,17
1512707083,16,16
1512709027,16,16
1512710913,15,15
1512716686,13,13
1512718589,13,13
1512724382,14,14
1512726299,13,13
1512732273,14,14
1512748138,14,14
1512756105,13,13
1512759886,14,14
1512761785,15,15
1512763709,16,16
1512769474,14,14
1512778563,14,14
1512780523,15,15
1512788198,15,15
1512790005,14,14
1512795704,13,13
1512805467,12,12
1512809197,11,11
1512811239,12,12
1512818702,11,11
1512824609,12,12
1512830713,13,13
1512832881,12,12
1512846283,13,13
1512848220,12,12
1512850132,11,11
1512863825,10,10
1512865740,9,9
1512867699,8,8
1512871516,9,9
1512875321,7,7
1512879179,8,8
1512881088,9,9
1512884913,10,10
1512892606,12,12
1512894533,14,14
1512896533,15,15
1512898388,15,15
1512904125,16,16
1512910120,17,17
1512912050,18,18
1512917845,19,19
1512919731,21,21
1512925491,22,22
1512931226,23,23
1512933433,22,22
1512939474,21,21
1512945184,22,22
1512949028,21,21
1512950936,22,22
1512952867,31,31
1512954753,41,41
1512956679,48,48
1512958871,53,53
1512960780,59,59
1512964616,61,61
1512968506,60,60
1512970386,61,61
1512972295,60,60
1512978027,60,60
1512979973,59,59
1512981883,58,58
1512983828,57,57
1512985723,59,59
1512989556,60,60
1512991491,59,59
1512993395,60,60
1512995330,58,58
1512997303,57,57
1512999169,58,58
1513003027,58,58
1513004911,57,57
1513006859,56,56
1513008773,57,57
1513012609,56,56
1513017420,56,56
1513023153,148,148
1513025086,408,408
1513027027,664,664
1513028906,953,953
1513030854,1245,1245
1513032746,1590,1590
1513034693,1991,1991
1513036596,2359,2359
1513038519,2715,2715
1513040527,2753,2753
1513042382,2746,2746
1513044295,2741,2741
1513046196,2738,2738
1513048171,2735,2735
1513051973,2733,2733
1513053891,2734,2734
1513061576,2735,2735
1513065426,2734,2734
1513073102,2735,2735
1513075025,2736,2736
1513076916,2737,2737
1513078864,2738,2738
1513096415,2739,2739
1513110024,2606,2606
1513111963,2331,2331
1513113867,2085,2085
1513115807,1767,1767
1513117980,1443,1443
1513120150,1007,1007
1513122144,602,602
1513124238,198,198
1513126162,11,11
1513134105,10,10
1513140275,10,10
1513145983,11,11
1513148214,10,10
1513152112,11,11
1513159730,10,10
1513161724,10,10
1513163560,10,10
1513165485,9,9
1513169350,10,10
1513171362,11,11
1513189264,14,14
1513191167,15,15
1513193086,16,16
1513197185,18,18
1513199090,17,17
1513201018,18,18
1513205084,19,19
1513206991,19,19
1513210863,20,20
1513216608,24,24
1513218527,25,25
1513220499,26,26
1513222378,28,28
1513224295,29,29
1513226219,30,30
1513231967,29,29
