DateTime,Entries,UniqueIPs
1513712017,1311,1311
1513713919,1354,1354
1513716196,1395,1395
1513719500,1465,1465
1513721376,1534,1534
1513723484,1611,1611
1513726709,1732,1732
1513728623,1798,1798
1513730619,1872,1872
1513732454,1944,1944
1513734274,1990,1990
1513736297,2015,2015
1513738130,2038,2038
1513740116,2059,2059
1513741981,2076,2076
1513743933,2089,2089
1513745821,2112,2112
1513747785,2113,2113
1513749701,2120,2120
1513751643,2120,2120
1513753490,2130,2130
1513755688,2145,2145
1513757571,2148,2148
1513759768,2140,2140
1513762076,2145,2145
1513764111,2142,2142
1513766189,2139,2139
1513768121,2131,2131
1513770276,2130,2130
1513772087,2131,2131
1513774059,2141,2141
1513776279,2160,2160
1513778211,2177,2177
1513780148,2202,2202
1513782108,2225,2225
1513783973,2242,2242
1513785907,2248,2248
1513787837,2243,2243
1513793676,2161,2161
1513795488,2137,2137
1513798660,2077,2077
1513800552,2043,2043
1513802488,1999,1999
1513804399,1956,1956
1513806348,1892,1892
1513808640,1821,1821
1513810604,1738,1738
1513813104,1668,1668
1513814959,1604,1604
1513817081,1526,1526
1513818999,1446,1446
1513820823,1398,1398
1513822838,1364,1364
1513824706,1344,1344
1513826678,1305,1305
1513828533,1278,1278
1513830530,1240,1240
1513832366,1191,1191
1513834614,1147,1147
1513836538,1111,1111
1513838506,1078,1078
1513840382,1047,1047
1513842273,1009,1009
1513844475,981,981
1513846618,972,972
1513848539,954,954
1513850513,943,943
1513852628,938,938
1513854543,933,933
1513856447,923,923
1513858482,920,920
1513860305,902,902
1513862234,875,875
1513864388,824,824
1513866287,762,762
1513868496,700,700
1513870379,657,657
1513872303,627,627
1513874209,623,623
1513876362,621,621
1513878319,678,678
1513880195,691,691
1513882365,706,706
1513884296,707,707
1513888685,674,674
1513890788,669,669
1513892821,663,663
1513896199,651,651
1513901685,642,642
1513908767,635,635
1513910901,628,628
1513912827,613,613
1513914702,599,599
1513916660,592,592
1513918599,598,598
1513920508,605,605
1513922515,605,605
1513924384,606,606
1513926352,610,610
1513928202,609,609
1513930386,618,618
1513932279,614,614
1513934395,613,613
1513936399,610,610
1513938223,623,623
1513940304,633,633
1513942394,645,645
1513944304,653,653
1513946216,645,645
1513948248,651,651
1513950051,652,652
1513952034,643,643
1513953877,641,641
1513955862,640,640
1513957740,647,647
1513959690,641,641
1513961568,636,636
1513963558,587,587
1513965422,591,591
1513967389,580,580
1513969295,567,567
1513971232,562,562
1513973084,558,558
1513975068,565,565
1513976934,570,570
1513978887,574,574
1513980784,568,568
1513982758,565,565
1513984871,576,576
1513986998,591,591
1513988943,600,600
1513991064,601,601
1513992994,606,606
1513995174,615,615
1513997072,621,621
1513999011,628,628
1514000924,643,643
1514002834,643,643
1514004750,638,638
1514006690,636,636
1514008599,634,634
1514010513,633,633
1514012494,634,634
1514014370,640,640
1514016277,643,643
1514018198,638,638
1514020112,628,628
1514022031,619,619
1514023964,610,610
1514025875,606,606
1514027804,598,598
1514029722,591,591
1514031895,579,579
1514033875,578,578
1514035722,586,586
1514037693,595,595
1514039565,611,611
1514041490,616,616
1514043400,614,614
1514045311,618,618
1514047232,625,625
1514049157,626,626
1514051076,616,616
1514053107,619,619
1514054926,638,638
1514056840,654,654
1514058771,668,668
1514060681,678,678
1514062601,692,692
1514064531,707,707
1514066496,748,748
1514068377,786,786
1514070193,829,829
1514072220,862,862
1514074154,903,903
1514076065,935,935
1514077980,946,946
1514080043,937,937
1514082282,940,940
1514084218,935,935
1514086146,934,934
1514088095,934,934
1514089976,931,931
1514091898,927,927
1514094052,928,928
1514095980,928,928
1514097870,932,932
1514099841,932,932
1514102055,928,928
1514103888,924,924
1514105859,924,924
1514107807,924,924
1514109950,922,922
1514111805,916,916
1514114040,904,904
1514116014,898,898
1514117906,888,888
1514119836,882,882
1514121697,878,878
1514123734,872,872
1514125548,869,869
1514127532,861,861
1514129403,860,860
1514131457,857,857
1514133286,853,853
1514135321,848,848
1514137486,848,848
1514139431,849,849
1514141348,849,849
1514143689,842,842
1514145697,830,830
1514147566,815,815
1514149518,804,804
1514151658,784,784
1514153572,726,726
1514155497,675,675
1514157429,584,584
1514159252,496,496
1514161263,425,425
1514163258,352,352
1514165084,334,334
1514167102,323,323
1514168924,330,330
1514170913,341,341
1514172763,350,350
1514174810,363,363
1514176625,387,387
1514178660,436,436
1514180464,478,478
1514182572,517,517
1514184522,514,514
1514186418,530,530
1514188612,538,538
1514190540,541,541
1514192497,547,547
1514194384,553,553
1514196294,561,561
1514198218,574,574
1514200144,582,582
1514202660,594,594
1514204694,597,597
1514206585,610,610
1514208619,613,613
1514210582,611,611
1514212584,627,627
1514214435,648,648
1514216681,669,669
1514218957,665,665
1514221296,666,666
1514223171,669,669
1514225079,666,666
1514227011,658,658
1514228926,656,656
1514230848,653,653
1514232778,663,663
1514234694,670,670
1514236601,683,683
1514238443,690,690
1514240445,695,695
1514242254,706,706
1514244070,708,708
1514246132,712,712
1514248099,714,714
1514249938,718,718
1514251941,727,727
1514253750,728,728
1514255588,732,732
1514257594,722,722
1514259402,730,730
1514261493,741,741
1514263465,760,760
1514265277,769,769
1514267094,775,775
1514269171,774,774
1514271153,773,773
1514273264,771,771
1514275297,759,759
1514277287,757,757
1514279090,763,763
1514281140,774,774
1514283111,774,774
1514285166,775,775
1514287005,780,780
1514289047,783,783
1514290863,787,787
1514292848,784,784
1514294700,785,785
1514296735,794,794
1514298555,785,785
1514300555,767,767
1514302377,772,772
1514304370,794,794
1514306222,801,801
1514308270,836,836
1514310541,856,856
1514312687,871,871
1514314915,870,870
1514317024,882,882
1514319216,894,894
1514321095,912,912
1514323050,915,915
1514324955,916,916
1514326872,923,923
1514328746,920,920
1514330733,925,925
1514333491,934,934
1514336213,931,931
1514338280,932,932
1514340155,940,940
1514342204,977,977
1514344375,984,984
1514346298,985,985
1514348228,979,979
1514350133,967,967
1514352051,959,959
1514354507,951,951
1514356373,956,956
1514358280,953,953
1514360217,962,962
1514362131,959,959
1514364035,951,951
1514365957,945,945
1514368138,938,938
1514370035,951,951
1514371991,960,960
1514373895,954,954
1514376101,949,949
1514378219,943,943
1514380124,942,942
1514382060,962,962
1514384238,979,979
1514386373,980,980
1514388296,962,962
1514390220,934,934
1514392131,922,922
1514394094,903,903
1514395994,893,893
1514397808,865,865
1514399839,880,880
1514401920,896,896
1514403871,881,881
1514405828,873,873
1514407704,862,862
1514409720,890,890
1514411568,916,916
1514413408,936,936
1514415419,947,947
1514417336,941,941
1514419515,952,952
1514421420,945,945
1514423347,942,942
1514425498,939,939
1514427435,917,917
1514429322,881,881
1514431277,876,876
1514433427,858,858
1514435333,858,858
1514437494,852,852
1514439645,859,859
1514441551,857,857
1514443485,850,850
1514445395,838,838
1514447307,841,841
1514449239,840,840
1514451167,847,847
1514453081,855,855
1514455296,851,851
1514457160,845,845
1514459328,844,844
1514461248,858,858
1514463424,868,868
1514465460,880,880
1514467465,878,878
1514469469,842,842
1514471828,831,831
1514473717,831,831
1514475572,833,833
1514477569,837,837
1514479669,835,835
1514481624,848,848
1514483537,861,861
1514485483,867,867
1514487743,864,864
1514489569,863,863
1514491503,872,872
1514493420,888,888
1514495353,868,868
1514497233,837,837
1514499155,807,807
1514501084,777,777
1514503097,778,778
1514505179,774,774
1514507090,809,809
1514509014,829,829
1514510930,860,860
1514512904,942,942
1514514795,985,985
1514516685,1017,1017
1514518629,1066,1066
1514520529,1107,1107
1514522715,1146,1146
1514524620,1168,1168
1514526536,1182,1182
1514528439,1191,1191
1514530379,1206,1206
1514532308,1209,1209
1514534232,1214,1214
1514536123,1216,1216
1514538087,1213,1213
1514539928,1208,1208
1514541944,1210,1210
1514543812,1207,1207
1514545677,1211,1211
1514547634,1220,1220
1514549722,1241,1241
1514551733,1236,1236
1514553634,1239,1239
1514555538,1234,1234
1514557805,1230,1230
1514559700,1225,1225
1514562094,1226,1226
1514563999,1278,1278
1514565914,1276,1276
1514567824,1267,1267
1514569991,1264,1264
1514571876,1264,1264
1514573856,1266,1266
1514575736,1276,1276
1514577707,1280,1280
1514579816,1267,1267
1514581769,1265,1265
1514583634,1269,1269
1514585842,1275,1275
1514587732,1277,1277
1514590000,1282,1282
1514592142,1287,1287
1514594103,1286,1286
1514596129,1294,1294
1514598157,1282,1282
1514600135,1257,1257
1514602024,1231,1231
1514603954,1213,1213
1514605865,1185,1185
1514607771,1133,1133
1514609754,1073,1073
1514611670,1062,1062
1514613497,1047,1047
1514615555,996,996
1514617412,975,975
1514619469,970,970
1514621315,964,964
1514623299,968,968
1514625420,963,963
1514627338,962,962
1514629259,957,957
1514631178,1005,1005
1514633084,1064,1064
1514635027,1048,1048
1514636869,1045,1045
1514638906,1044,1044
1514641017,1051,1051
1514642924,1054,1054
1514644852,1047,1047
1514646775,1054,1054
1514649371,1066,1066
1514651573,1017,1017
1514653474,1030,1030
1514655405,1041,1041
1514657322,1046,1046
1514659245,1058,1058
1514661423,1046,1046
1514663520,1042,1042
1514665475,1032,1032
1514667545,1027,1027
1514669876,1024,1024
1514672041,1029,1029
1514673994,1043,1043
1514675817,1037,1037
1514677865,1034,1034
1514679885,1038,1038
1514682117,1026,1026
1514683971,1019,1019
1514685890,1011,1011
1514688131,1020,1020
1514689992,1020,1020
1514691893,1036,1036
1514694053,1039,1039
1514695991,1059,1059
1514697882,1083,1083
1514699811,1057,1057
1514701757,1055,1055
1514703897,1073,1073
1514705822,1093,1093
1514707734,1102,1102
1514709640,1108,1108
1514711576,1123,1123
1514713499,1130,1130
1514715425,1141,1141
1514717314,1130,1130
1514719255,1107,1107
