DateTime,AddedIPs,RemovedIPs
1514285551,9,7
1514286257,11,7
1514286981,9,2
1514287951,9,3
1514288914,7,5
1514289611,1,1
1514290351,10,8
1514291051,5,6
1514291773,3,8
1514292765,4,6
1514293716,12,6
1514294427,4,5
1514295147,5,6
1514296098,7,6
1514297080,8,9
1514297771,7,0
1514298524,8,15
1514299220,6,5
1514300192,7,0
1514300915,7,7
1514301613,3,0
1514302346,3,6
1514303053,10,0
1514303791,5,9
1514304754,5,17
1514305458,10,6
1514306192,5,7
1514306903,9,0
1514307638,9,13
1514308604,6,0
1514309550,3,5
1514310515,13,7
1514311731,8,15
1514312660,7,3
1514313383,11,4
1514314115,5,3
1514315331,13,19
1514316035,9,6
1514316998,10,7
1514317958,10,5
1514319157,11,14
1514320106,16,9
1514321071,7,4
1514322046,4,8
1514322992,9,0
1514323960,10,17
1514324929,8,4
1514325889,12,13
1514326832,4,0
1514327803,9,14
1514328507,4,8
1514329225,9,3
1514329929,4,11
1514330661,7,0
1514331863,7,17
1514333443,10,19
1514334286,3,2
1514335651,14,13
1514336918,14,11
1514337751,13,6
1514339078,13,10
1514340016,7,8
1514341008,4,4
1514341934,16,13
1514342914,13,23
1514343618,11,0
1514344350,8,14
1514345309,12,8
1514346268,11,10
1514346972,2,7
1514347703,3,6
1514348794,10,7
1514349614,8,6
1514350596,4,7
1514351553,8,5
1514352525,8,10
1514353471,6,2
1514354425,17,7
1514355147,0,3
1514355868,7,7
1514356834,7,4
1514357793,7,8
1514358760,0,7
1514359738,10,1
1514360662,8,4
1514361864,2,9
1514362604,6,5
1514363555,10,7
1514364516,8,2
1514365463,4,10
1514366439,12,11
1514367641,8,3
1514368600,4,8
1514369557,5,15
1514370526,17,3
1514371168,5,9
1514371962,4,2
1514372919,9,3
1514373865,7,7
1514374835,12,8
1514375556,13,6
1514376269,1,5
1514377003,1,3
1514377729,14,6
1514378673,12,0
1514379645,9,15
1514380602,2,18
1514381557,14,0
1514382252,3,0
1514383239,21,13
1514384212,1,0
1514385158,10,11
1514385877,6,1
1514386583,8,3
1514387317,4,7
1514388268,8,8
1514389230,17,7
1514390194,8,6
1514391153,4,10
1514391849,9,11
1514392588,7,3
1514393551,6,8
1514394258,5,6
1514395000,2,9
1514395966,16,6
1514396655,12,9
1514398141,11,4
1514398826,9,10
1514399810,5,5
1514400757,10,6
1514401718,7,9
1514402679,9,6
1514403633,14,8
1514404591,7,10
1514405550,2,12
1514406510,14,10
1514407481,8,8
1514408437,9,8
1514409404,4,13
1514410116,13,5
1514411060,9,9
1514412050,10,11
1514413717,15,28
1514414433,9,6
1514415392,7,3
1514416352,8,7
1514417063,8,10
1514417901,9,3
1514418519,6,10
1514419489,7,9
1514420443,8,6
1514421395,7,5
1514422351,3,6
1514423318,4,13
1514424257,15,4
1514425473,11,17
1514426438,13,9
1514427407,2,7
1514428352,14,15
1514429056,10,7
1514429789,10,16
1514430502,3,0
1514431251,16,17
1514432198,9,13
1514433399,9,23
1514434349,6,0
1514435305,10,4
1514436005,9,4
1514437010,9,7
1514437693,8,7
1514438436,5,7
1514439159,9,4
1514439854,6,3
1514440567,3,3
1514441319,2,6
1514442008,3,6
1514442760,4,9
1514443461,5,3
1514444183,8,2
1514445150,2,7
1514446096,8,6
1514447075,7,2
1514448041,3,4
1514448743,1,3
1514449478,9,4
1514450170,8,2
1514450905,10,3
1514451630,4,4
1514452351,2,10
1514453055,10,0
1514453787,8,0
1514454763,11,0
1514455727,7,16
1514456657,12,3
1514457621,6,3
1514458843,14,20
1514459802,7,0
1514460523,3,6
1514461224,4,11
1514461948,3,6
1514462990,10,11
1514463880,9,0
1514464610,8,7
1514465294,2,0
1514466264,8,11
1514466984,7,9
1514467703,8,8
1514468443,4,5
1514469393,9,6
1514470353,6,9
1514471085,13,3
1514472026,8,10
1514472740,8,9
1514473467,1,2
1514474184,4,5
1514474906,10,5
1514476128,10,11
1514476820,3,0
1514477545,4,10
1514478520,11,10
1514479455,11,5
1514480446,14,6
1514481398,8,18
1514482358,15,6
1514483315,10,7
1514484306,7,7
1514485252,13,5
1514486224,10,7
1514487171,8,5
1514488195,7,16
1514489068,12,6
1514490034,11,8
1514490730,10,6
1514491469,6,2
1514492182,13,10
1514492940,0,10
1514493861,10,22
1514494585,4,0
1514495322,5,15
1514496008,7,0
1514497719,13,25
1514498664,4,6
1514499639,10,4
1514500595,7,16
1514501555,14,8
1514502514,1,4
1514504060,14,17
1514504842,5,0
1514505639,4,0
1514506591,10,16
1514507554,11,2
1514508518,13,9
1514509480,7,12
1514510435,5,9
1514511395,8,5
1514512373,9,9
1514513309,4,9
1514514012,15,4
1514514761,12,13
1514515450,8,10
1514516191,8,5
1514517155,7,6
1514517850,7,14
1514518599,14,9
1514519305,3,5
1514520045,8,2
1514521004,7,11
1514521956,11,4
1514522680,9,6
1514523382,3,8
1514525064,12,13
1514525785,6,5
1514526507,3,2
1514527224,3,15
1514527932,4,1
1514528915,11,11
1514529856,11,3
1514530840,9,11
1514531542,4,8
1514532269,9,7
1514532969,8,0
1514533698,6,8
1514534678,5,11
1514535393,7,5
1514536100,5,5
1514536874,11,8
1514537819,10,7
1514538826,6,5
1514539894,9,12
1514540612,10,0
1514541386,4,8
1514542112,7,0
1514543083,6,21
1514543788,5,4
1514544512,7,0
1514545221,10,4
1514545955,2,8
1514546920,9,7
1514547608,4,0
1514548351,0,10
1514549400,5,5
1514550054,11,7
1514550993,11,10
1514551708,7,4
1514552449,11,5
1514553400,7,8
1514554117,3,7
1514554810,7,7
1514555811,5,8
1514556756,0,7
1514557711,11,5
1514558662,5,9
1514559636,11,5
1514561059,9,21
1514562522,19,13
1514563223,8,3
1514564901,16,15
1514565867,11,18
1514566841,9,15
1514567799,6,4
1514568756,14,13
1514569473,6,9
1514570187,4,4
1514571148,2,9
1514571852,15,0
1514572586,5,10
1514573317,8,10
1514574282,4,20
1514574972,4,0
1514575695,8,4
1514576912,9,13
1514577626,8,13
1514578595,3,6
1514579318,7,10
1514580280,6,8
1514580992,7,15
1514581707,5,28
1514582671,6,0
1514583370,9,7
1514584107,6,16
1514584839,7,8
1514586757,13,25
1514587709,6,11
1514588920,6,22
1514589877,8,0
1514590586,6,0
1514591295,4,9
1514592033,6,14
1514592994,10,0
1514593956,6,49
1514594922,3,10
1514595880,2,0
1514596606,12,7
1514597291,9,0
1514598029,10,7
1514598988,4,14
1514599948,4,8
1514600982,9,17
1514601873,21,18
1514602841,4,8
1514603547,4,10
1514604275,13,11
1514604969,2,4
1514605701,9,10
1514606679,12,7
1514607371,3,12
1514608096,8,6
1514608809,6,5
1514609548,5,3
1514610519,4,9
1514611210,11,4
1514611969,7,11
1514612651,5,11
1514613384,6,5
1514614351,8,13
1514615052,5,0
1514615796,4,13
1514616502,5,0
1514617226,6,14
1514618203,9,5
1514619154,9,5
1514619853,4,4
1514620584,2,5
1514621289,0,8
1514622040,14,5
1514622742,4,10
1514623469,7,10
1514624180,8,0
1514625865,12,15
1514626827,12,8
1514627788,7,14
1514628750,8,8
1514629714,5,7
1514630658,3,2
1514631644,14,6
1514632608,5,11
1514633557,15,7
1514634251,8,9
1514634993,6,11
1514635774,9,0
1514636670,12,18
1514637633,9,0
1514638360,11,3
1514639059,5,0
1514639776,13,12
1514640495,11,6
1514641473,9,5
1514642168,7,9
1514642894,6,0
1514643608,11,10
1514644352,5,9
1514645305,3,13
1514646021,9,3
1514646740,4,13
1514647451,7,3
1514648194,3,8
1514649882,11,35
1514650601,2,0
1514651549,6,0
1514652507,16,3
1514653209,3,7
1514654200,6,11
1514654903,14,9
1514655613,11,8
1514656345,7,0
1514657055,1,5
1514657864,7,16
1514658756,10,6
1514659713,14,7
1514660922,10,12
1514661876,11,6
1514662582,9,16
1514663304,2,0
1514664039,13,1
1514665002,0,6
1514665958,16,13
1514666656,3,10
1514667385,5,4
1514668352,6,8
1514669309,13,9
1514670257,7,23
1514670978,3,0
1514672018,2,14
1514672905,6,5
1514673876,9,6
1514674574,4,14
1514675301,3,13
1514676255,6,11
1514676983,8,9
1514677710,7,8
1514678688,5,12
1514679637,10,3
1514680343,6,3
1514681055,4,10
1514682023,7,16
1514682745,3,10
1514683471,8,0
1514684431,12,15
1514685140,6,9
1514685860,8,4
1514686575,8,9
1514687557,6,7
1514688502,16,9
1514689236,5,8
1514689962,9,15
1514690907,10,9
1514691871,12,13
1514692832,10,5
1514693548,2,9
1514694258,7,14
1514695229,6,11
1514695969,3,7
1514696655,3,1
1514697401,12,12
1514698092,5,0
1514698827,8,7
1514699785,8,7
1514700751,7,8
1514701728,7,0
1514702670,2,9
1514703392,3,3
1514704098,1,7
1514704839,5,0
1514705793,5,3
1514706754,10,8
1514707709,8,7
1514708419,10,9
1514709149,6,0
1514709856,3,6
1514710572,4,6
1514711551,7,4
1514712505,5,6
1514713475,7,11
1514714435,12,9
1514715399,8,7
1514716421,10,15
1514717052,6,0
1514717778,7,2
1514718755,3,6
1514719453,7,13
