DateTime,AddedIPs,RemovedIPs
1514285551,57,58
1514286257,56,38
1514286981,42,50
1514287951,72,57
1514288914,66,64
1514289611,42,42
1514290351,52,51
1514291051,52,39
1514291773,42,48
1514292765,44,37
1514293716,55,66
1514294427,53,38
1514295147,42,43
1514296098,88,40
1514297080,69,70
1514297771,51,48
1514298524,57,53
1514299220,53,51
1514300192,47,58
1514300915,52,65
1514301613,38,35
1514302346,55,39
1514303053,57,37
1514303791,40,37
1514304754,46,47
1514305458,54,64
1514306192,66,66
1514306903,61,43
1514307638,50,61
1514308604,50,59
1514309550,50,65
1514310515,73,73
1514311731,66,58
1514312660,75,65
1514313383,52,60
1514314115,45,33
1514315331,68,80
1514316035,72,73
1514316998,73,58
1514317958,72,81
1514319157,69,67
1514320106,76,86
1514321071,54,49
1514322046,53,62
1514322992,52,79
1514323960,54,96
1514324929,96,65
1514325889,68,55
1514326832,32,150
1514327803,166,66
1514328507,61,45
1514329225,62,56
1514329929,27,37
1514330661,50,54
1514331863,61,67
1514333443,69,95
1514334286,34,33
1514335651,83,88
1514336918,68,60
1514337751,48,51
1514339078,63,81
1514340016,52,54
1514341008,41,65
1514341934,63,59
1514342914,63,56
1514343618,57,49
1514344350,34,35
1514345309,63,50
1514346268,53,61
1514346972,30,42
1514347703,31,43
1514348794,68,55
1514349614,56,41
1514350596,44,60
1514351553,52,37
1514352525,51,76
1514353471,50,76
1514354425,89,58
1514355147,35,41
1514355868,50,53
1514356834,46,55
1514357793,68,59
1514358760,36,52
1514359738,69,49
1514360662,67,51
1514361864,48,112
1514362604,130,65
1514363555,57,47
1514364516,64,103
1514365463,80,48
1514366439,64,75
1514367641,80,56
1514368600,50,48
1514369557,53,51
1514370526,76,77
1514371168,46,28
1514371962,47,67
1514372919,54,61
1514373865,72,77
1514374835,94,84
1514375556,89,59
1514376269,33,30
1514377003,34,65
1514377729,67,52
1514378673,62,48
1514379645,45,61
1514380602,37,54
1514381557,114,57
1514382252,34,34
1514383239,72,67
1514384212,41,57
1514385158,65,53
1514385877,62,48
1514386583,52,57
1514387317,37,34
1514388268,84,75
1514389230,75,68
1514390194,65,60
1514391153,43,37
1514391849,71,83
1514392588,61,60
1514393551,64,37
1514394258,63,58
1514395000,28,52
1514395966,98,79
1514396655,65,55
1514398141,86,81
1514398826,50,64
1514399810,60,56
1514400757,56,69
1514401718,45,59
1514402679,76,65
1514403633,83,94
1514404591,43,47
1514405550,47,31
1514406510,86,106
1514407481,60,70
1514408437,75,53
1514409404,42,54
1514410116,67,59
1514411060,50,64
1514412050,79,79
