DateTime,AddedIPs,RemovedIPs
1514140946,7,8
1514141786,4,0
1514142637,3,7
1514143471,3,0
1514144444,4,4
1514145332,3,1
1514146470,4,2
1514148476,1,7
1514149281,2,7
1514150133,1,2
1514151633,2,11
1514152532,0,4
1514153385,0,10
1514155535,2,15
1514157038,4,17
1514158239,1,6
1514159133,2,7
1514160643,4,12
1514162548,9,17
1514164470,6,7
1514165311,5,2
1514166344,6,21
1514166991,15,1
1514168073,18,10
1514169634,12,15
1514170504,6,5
1514171681,2,17
1514173361,10,20
1514174486,7,8
1514175346,5,3
1514176233,8,15
1514176964,2,7
1514177787,8,3
1514178639,5,9
1514179712,8,2
1514180546,5,14
1514182468,20,7
1514183467,4,10
1514184339,9,4
1514184987,4,1
1514186071,9,8
1514186918,11,4
1514187933,9,5
1514189443,8,17
1514190520,7,5
1514191539,3,14
1514192187,8,4
1514193039,3,9
1514194003,10,3
1514194954,8,10
1514195789,6,2
1514196645,7,3
1514197528,8,5
1514198434,6,11
1514199331,3,5
1514200474,7,11
1514201443,11,9
1514202329,11,10
1514204069,18,8
1514205454,9,6
1514206595,5,7
1514207392,5,17
1514208511,11,5
1514209359,5,9
1514210927,6,10
1514212938,0,1322
1514214079,1314,0
1514214937,6,4
1514215815,3,6
1514216553,3,2
1514218838,15,5
1514219868,8,11
1514220933,0,1321
1514222067,1329,0
1514223034,8,2
1514223753,5,2
1514225436,4,2
1514226332,2,0
1514227243,1,10
1514228132,2,1
1514229035,7,6
1514230241,7,5
1514231136,2,1
1514232619,0,1338
1514233725,1341,0
1514234553,1,6
1514236733,6,0
1514238041,4,5
1514239836,12,13
1514240734,4,6
1514242183,5,6
1514243211,6,17
1514244042,4,7
1514245531,14,5
1514247335,10,6
1514248243,3,4
1514249140,3,0
1514250207,5,4
1514251244,2,0
1514252441,4,6
1514253335,1,1
1514254237,1,1
1514255311,2,1
1514256241,1,6
1514256985,1,0
1514257834,0,1336
1514258826,1328,0
1514259752,0,3
1514261442,0,5
1514262500,2,2
1514265042,4,5
1514266112,3,2
1514266946,3,5
1514268641,6,14
1514269711,4,1
1514270551,5,15
1514271364,0,1303
1514272240,1300,0
1514273444,3,1
1514274147,2,1
1514274958,7,1
1514275837,3,2
1514277572,4,5
1514278536,3,0
1514279445,0,6
1514280626,1,5
1514281347,1,1
1514283272,5,3
1514284232,1,3
1514285135,2,0
1514285785,1,1
1514286638,1,5
1514287558,2,0
1514288443,1,3
1514289327,1,1
1514290236,2,3
1514291420,1,7
1514292498,1,1
1514293704,0,3
1514296310,5,9
1514297441,2,13
1514299240,0,5
1514300476,2,3
1514301338,4,1
1514302549,2,14
1514303728,7,21
1514304641,12,4
1514305625,13,0
1514306547,16,4
1514307579,14,9
1514308541,13,2
1514310146,3,14
1514311815,3,3
1514313050,0,4
1514313951,9,1
1514315646,0,1288
1514316651,1287,0
1514317347,5,2
1514319280,8,5
1514320535,12,6
1514322637,4,7
1514323853,9,3
1514324734,4,1
1514325386,2,3
1514326241,11,3
1514327436,10,1
1514328337,3,0
1514329836,2,11
1514331021,0,1315
1514331764,1319,0
1514333422,12,12
1514335329,6,16
1514337037,8,22
1514337923,9,1
1514338953,2,10
1514340642,1,7
1514341834,2,0
1514342706,0,1291
1514344471,1292,0
1514346044,8,7
1514346939,14,1
1514347838,4,4
1514348733,4,1
1514349641,5,3
1514351436,7,5
1514352645,2,7
1514354186,2,2
1514355031,0,5
1514356089,1,3
1514357145,8,8
1514358547,11,6
1514359712,9,0
1514360542,0,1315
1514362019,1313,0
1514362844,9,1
1514364026,6,6
1514366076,10,10
1514367041,12,5
1514368313,6,4
1514369442,3,7
1514370508,8,1
1514371370,9,15
1514372929,7,4
1514373837,5,1
1514374839,1,8
1514375801,2,1
1514376874,3,5
1514377712,4,1
1514378544,6,11
1514380472,14,4
1514381498,6,9
1514382332,2,0
1514384073,7,5
1514385744,7,8
1514387673,4,1
1514388509,2,0
1514389344,3,9
1514390380,1,10
1514391293,0,1324
1514392113,1331,0
1514393126,9,10
1514394865,5,4
1514395709,5,0
1514396732,1,6
1514398477,4,14
1514399447,5,9
1514400145,2,5
1514401133,0,1314
1514402043,1316,0
1514402909,5,0
1514403936,8,4
1514404877,6,7
1514405737,3,0
1514406538,2,0
1514407345,2,11
1514408185,10,0
1514409270,5,8
1514410116,5,1
1514410945,2,6
1514412641,7,6
1514413542,2,1
1514414552,1,8
1514416238,30,9
1514417311,5,0
1514419835,13,13
1514420916,8,1
1514421752,7,3
1514422876,3,5
1514423729,2,0
1514425239,4,5
1514426127,14,0
1514427031,9,1
1514428109,17,0
1514429877,18,1
1514430940,10,1
1514431842,6,2
1514432751,9,3
1514434236,7,2
1514435438,2,2
1514436334,2,0
1514438065,13,4
1514439756,2,9
1514440584,7,0
1514441650,5,3
1514442513,3,0
1514443348,5,3
1514444633,5,8
1514445457,2,0
1514446110,2,0
1514446965,2,3
1514448059,0,4
1514448952,1,0
1514449716,3,1
1514450545,3,2
1514451680,6,1
1514452471,3,0
1514453562,14,7
1514454696,1,4
1514455838,5,3
1514456741,1,1
1514457596,5,3
1514459418,2,3
1514460519,3,0
1514463036,11,4
1514464116,5,0
1514464959,3,2
1514466873,6,3
1514468126,6,2
1514469329,8,3
1514470466,3,2
1514471431,2,7
1514472147,5,4
1514473013,2,6
1514473835,1,12
1514474730,2,23
1514475932,1,6
1514477441,6,15
1514478329,1,0
1514479745,6,6
1514480694,4,6
1514481265,3,0
1514482106,2,0
1514482953,2,7
1514483970,6,3
1514484867,3,0
1514485825,0,1451
1514486743,1455,0
1514487875,2,3
1514488719,3,0
1514490131,0,1457
1514491009,1456,0
1514491844,4,2
1514492064,5,0
1514492905,2,0
1514493937,1,2
1514495289,11,6
1514496757,10,9
1514497838,9,4
1514499271,8,4
1514500111,6,0
1514501693,15,8
1514502639,10,6
1514504160,11,8
1514505035,5,2
1514506465,8,3
1514507305,6,1
1514508332,9,3
1514509812,0,1518
1514511134,1520,0
1514511937,4,2
1514512877,6,2
1514513689,1,0
1514514638,4,2
1514515541,1,0
1514517037,3,9
1514518966,6,7
1514519934,1,3
1514520865,4,0
1514521705,5,0
1514522561,6,2
1514523945,5,1
1514524842,1,0
1514525317,1,1
1514526335,3,2
1514528064,2,5
1514528904,2,0
1514529938,2,7
1514531442,1,2
1514532634,4,9
1514533538,8,3
1514535027,0,1533
1514536965,1528,0
1514538082,2,3
